dataset,field,old,new,kind
AB20MEN03,number::d18O,1,2,changed
AB20MEN03,number::year,2,1,changed
AB20MEN03,createdBy::year,,CoralHydro2k,added
AB20MEN03,variableType::d18O,,measured,added
AB20MEN03,proxy::d18O,,d18O,added
AB20MEN03,jcpCorrected::d18O,,0,added
AB20MEN03,jcpUsed::d18O,,0,added
AB20MEN03,datum::d18O,,0,added
AB20MEN03,coralExtensionRate::d18O,,13.7,added
AB20MEN03,coralExtensionRateNotes::d18O,,13.7 mm/year,added
AB20MEN03,createdBy::d18O,,CoralHydro2k,added
AB20MEN04,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN04,number::d18O,1,2,changed
AB20MEN04,number::year,2,1,changed
AB20MEN04,createdBy::year,,CoralHydro2k,added
AB20MEN04,variableType::d18O,,measured,added
AB20MEN04,proxy::d18O,,d18O,added
AB20MEN04,jcpCorrected::d18O,,0,added
AB20MEN04,jcpUsed::d18O,,0,added
AB20MEN04,datum::d18O,,0,added
AB20MEN04,coralExtensionRate::d18O,,12.6,added
AB20MEN04,coralExtensionRateNotes::d18O,,12.6 mm/year,added
AB20MEN04,createdBy::d18O,,CoralHydro2k,added
AB20MEN05,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN05,number::d18O,1,2,changed
AB20MEN05,number::year,2,1,changed
AB20MEN05,createdBy::year,,CoralHydro2k,added
AB20MEN05,variableType::d18O,,measured,added
AB20MEN05,proxy::d18O,,d18O,added
AB20MEN05,jcpCorrected::d18O,,0,added
AB20MEN05,jcpUsed::d18O,,0,added
AB20MEN05,datum::d18O,,0,added
AB20MEN05,coralExtensionRate::d18O,,11.7,added
AB20MEN05,coralExtensionRateNotes::d18O,,11.7 mm/year,added
AB20MEN05,createdBy::d18O,,CoralHydro2k,added
AB20MEN06,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN06,number::d18O,1,2,changed
AB20MEN06,number::year,2,1,changed
AB20MEN06,createdBy::year,,CoralHydro2k,added
AB20MEN06,variableType::d18O,,measured,added
AB20MEN06,proxy::d18O,,d18O,added
AB20MEN06,jcpCorrected::d18O,,0,added
AB20MEN06,jcpUsed::d18O,,0,added
AB20MEN06,datum::d18O,,0,added
AB20MEN06,coralExtensionRate::d18O,,11.7,added
AB20MEN06,coralExtensionRateNotes::d18O,,11.7 mm/year,added
AB20MEN06,createdBy::d18O,,CoralHydro2k,added
AB20MEN07,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN07,number::d18O,1,2,changed
AB20MEN07,number::year,2,1,changed
AB20MEN07,createdBy::year,,CoralHydro2k,added
AB20MEN07,variableType::d18O,,measured,added
AB20MEN07,proxy::d18O,,d18O,added
AB20MEN07,jcpCorrected::d18O,,0,added
AB20MEN07,jcpUsed::d18O,,0,added
AB20MEN07,datum::d18O,,0,added
AB20MEN07,coralExtensionRate::d18O,,14.3,added
AB20MEN07,coralExtensionRateNotes::d18O,,14.3 mm/year,added
AB20MEN07,createdBy::d18O,,CoralHydro2k,added
AB20MEN08,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN08,number::d18O,1,2,changed
AB20MEN08,number::year,2,1,changed
AB20MEN08,createdBy::year,,CoralHydro2k,added
AB20MEN08,variableType::d18O,,measured,added
AB20MEN08,proxy::d18O,,d18O,added
AB20MEN08,jcpCorrected::d18O,,0,added
AB20MEN08,jcpUsed::d18O,,0,added
AB20MEN08,datum::d18O,,0,added
AB20MEN08,coralExtensionRate::d18O,,14.9,added
AB20MEN08,coralExtensionRateNotes::d18O,,14.9 mm/year,added
AB20MEN08,createdBy::d18O,,CoralHydro2k,added
AB20MEN09,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN09,number::d18O,1,2,changed
AB20MEN09,number::year,2,1,changed
AB20MEN09,createdBy::year,,CoralHydro2k,added
AB20MEN09,variableType::d18O,,measured,added
AB20MEN09,proxy::d18O,,d18O,added
AB20MEN09,jcpCorrected::d18O,,0,added
AB20MEN09,jcpUsed::d18O,,0,added
AB20MEN09,datum::d18O,,0,added
AB20MEN09,coralExtensionRate::d18O,,11.3,added
AB20MEN09,coralExtensionRateNotes::d18O,,11.3 mm/year,added
AB20MEN09,createdBy::d18O,,CoralHydro2k,added
AL16PUR01,pub1_citation,"Alpert, A. E., Cohen, A. L., Oppo, D. W., DeCarlo, T. M., Gaetani, G. A., Hernandez-Delgad","Alpert, A. E., Cohen, A. L., Oppo, D. W., DeCarlo, T. M., Gaetani, G. A., Hernandez-Delgad",changed
AL16PUR01,pub1_title,Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometryn,Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometry,changed
AL16PUR01,number::Sr/Ca,1,2,changed
AL16PUR01,measurementTableName::year,measurementTable2,measurementTable1,changed
AL16PUR01,TSid::year,RPRdwZqzEwVURcD2N,R3TtrFdghTD75fMYs,changed
AL16PUR01,hasTimeTsid::year,RPRdwZqzEwVURcD2N,R3TtrFdghTD75fMYs,changed
AL16PUR01,number::year,2,1,changed
AL16PUR01,analyticalError::uncertainty,0.035,,removed
AL16PUR01,analyticalErrorUnits::uncertainty,mmol/mol,,removed
AL16PUR01,archiveSpecies::uncertainty,Orbicella faveolata,,removed
AL16PUR01,ch2kCoreCode::uncertainty,AL16PUR01,,removed
AL16PUR01,coralExtensionRate::uncertainty,NA,,removed
AL16PUR01,coralHydro2kGroup::uncertainty,6,,removed
AL16PUR01,coreName::uncertainty,PR-OF-001,,removed
AL16PUR01,isAnomaly::uncertainty,0,,removed
AL16PUR01,isComposite::uncertainty,0,,removed
AL16PUR01,isPrimary::uncertainty,FALSE,,removed
AL16PUR01,jcpCorrected::uncertainty,1,,removed
AL16PUR01,jcpMeasured::uncertainty,8.87,,removed
AL16PUR01,jcpUsed::uncertainty,1,,removed
AL16PUR01,longName::uncertainty,SrCa,,removed
AL16PUR01,measurementMaterial::uncertainty,Sr/Ca,,removed
AL16PUR01,measurementTableName::uncertainty,measurementTable2,,removed
AL16PUR01,medianRes12k::uncertainty,NA,,removed
AL16PUR01,notes::uncertainty,Study focuses on use of Sr/U rather than Sr/Ca,,removed
AL16PUR01,samplingResolution::uncertainty,0.6 - 1.0 mm,,removed
AL16PUR01,TSid::uncertainty,AL16PUR01_SrCaUncertainty,AL16PUR01_SrCa_err,changed
AL16PUR01,primaryAgeColumn::uncertainty,FALSE,,removed
AL16PUR01,hasTimeTsid::uncertainty,RPRdwZqzEwVURcD2N,,removed
AL16PUR01,interpretation::uncertainty,NA; climate; NA; climate,,removed
AL16PUR01,hasResolution::uncertainty,bimonthly_uneven,,removed
AL16PUR01,number::uncertainty,1,3,changed
AL16PUR01,distinctYearsInCommonEra::uncertainty,97,,removed
AL16PUR01,createdBy::year,,CoralHydro2k,added
AL16PUR01,variableType::Sr/Ca,,measured,added
AL16PUR01,proxy::Sr/Ca,,Sr/Ca,added
AL16PUR01,jcpCorrected::Sr/Ca,,1,added
AL16PUR01,jcpMeasured::Sr/Ca,,8.87,added
AL16PUR01,jcpUsed::Sr/Ca,,1,added
AL16PUR01,datum::Sr/Ca,,0,added
AL16PUR01,createdBy::Sr/Ca,,CoralHydro2k,added
AL16PUR01,variableType::uncertainty,,measured,added
AL16PUR01,uncertaintyFor::uncertainty,,Sr/Ca,added
AL16PUR01,createdBy::uncertainty,,CoralHydro2k,added
AL16PUR02,pub1_citation,"Alpert, A. E., Cohen, A. L., Oppo, D. W., DeCarlo, T. M., Gaetani, G. A., Hernandez-Delgad","Alpert, A. E., Cohen, A. L., Oppo, D. W., DeCarlo, T. M., Gaetani, G. A., Hernandez-Delgad",changed
AL16PUR02,pub1_title,Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometryn,Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometry,changed
AL16PUR02,number::Sr/Ca,1,2,changed
AL16PUR02,measurementTableName::year,measurementTable2,measurementTable1,changed
AL16PUR02,TSid::year,RvA9ZtCERIZRugbOi,RXVmjbKLNy5XpHbU5,changed
AL16PUR02,hasTimeTsid::year,RvA9ZtCERIZRugbOi,RXVmjbKLNy5XpHbU5,changed
AL16PUR02,number::year,2,1,changed
AL16PUR02,analyticalError::uncertainty,0.035,,removed
AL16PUR02,analyticalErrorUnits::uncertainty,mmol/mol,,removed
AL16PUR02,archiveSpecies::uncertainty,Orbicella faveolata,,removed
AL16PUR02,ch2kCoreCode::uncertainty,AL16PUR02,,removed
AL16PUR02,coralExtensionRate::uncertainty,NA,,removed
AL16PUR02,coralHydro2kGroup::uncertainty,6,,removed
AL16PUR02,coreName::uncertainty,PR-OF-002,,removed
AL16PUR02,isAnomaly::uncertainty,0,,removed
AL16PUR02,isComposite::uncertainty,0,,removed
AL16PUR02,isPrimary::uncertainty,FALSE,,removed
AL16PUR02,jcpCorrected::uncertainty,1,,removed
AL16PUR02,jcpMeasured::uncertainty,8.87,,removed
AL16PUR02,jcpUsed::uncertainty,1,,removed
AL16PUR02,longName::uncertainty,SrCa,,removed
AL16PUR02,measurementMaterial::uncertainty,Sr/Ca,,removed
AL16PUR02,measurementTableName::uncertainty,measurementTable2,,removed
AL16PUR02,medianRes12k::uncertainty,NA,,removed
AL16PUR02,notes::uncertainty,Study focuses on use of Sr/U rather than Sr/Ca,,removed
AL16PUR02,samplingResolution::uncertainty,0.6 - 1.0 mm,,removed
AL16PUR02,TSid::uncertainty,AL16PUR02_SrCaUncertainty,AL16PUR02_SrCa_err,changed
AL16PUR02,primaryAgeColumn::uncertainty,FALSE,,removed
AL16PUR02,hasTimeTsid::uncertainty,RvA9ZtCERIZRugbOi,,removed
AL16PUR02,interpretation::uncertainty,NA; climate; NA; climate,,removed
AL16PUR02,hasResolution::uncertainty,bimonthly_uneven,,removed
AL16PUR02,number::uncertainty,1,3,changed
AL16PUR02,distinctYearsInCommonEra::uncertainty,38,,removed
AL16PUR02,createdBy::year,,CoralHydro2k,added
AL16PUR02,variableType::Sr/Ca,,measured,added
AL16PUR02,proxy::Sr/Ca,,Sr/Ca,added
AL16PUR02,jcpCorrected::Sr/Ca,,1,added
AL16PUR02,jcpMeasured::Sr/Ca,,8.87,added
AL16PUR02,jcpUsed::Sr/Ca,,1,added
AL16PUR02,datum::Sr/Ca,,0,added
AL16PUR02,createdBy::Sr/Ca,,CoralHydro2k,added
AL16PUR02,variableType::uncertainty,,measured,added
AL16PUR02,uncertaintyFor::uncertainty,,Sr/Ca,added
AL16PUR02,createdBy::uncertainty,,CoralHydro2k,added
AL16YUC01,pub1_citation,"Alpert, A. E., Cohen, A. L., Oppo, D. W., DeCarlo, T. M., Gaetani, G. A., Hernandez-Delgad","Alpert, A. E., Cohen, A. L., Oppo, D. W., DeCarlo, T. M., Gaetani, G. A., Hernandez-Delgad",changed
AL16YUC01,pub1_title,Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometryn,Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometry,changed
AL16YUC01,pub2_author,"Rodriguez, L. G., Cohen, A. L.,Ramirez, W., Oppo, D. W., Pourmand,A., Edwards, R. L., et a","Rodriguez, L. G., Cohen, A. L.,Ramirez, W., Oppo, D. W., Pourmand,A., Edwards, R. L., et a",changed
AL16YUC01,pub2_citation,"Rodriguez, L. G., Cohen, A. L.,Ramirez, W., Oppo, D. W., Pourmand,A., Edwards, R. L., et a","Rodriguez, L. G., Cohen, A. L.,Ramirez, W., Oppo, D. W., Pourmand,A., Edwards, R. L., et a",changed
AL16YUC01,pub2_title,"MidHolocene, CoralBased Sea Surface Temperatures in the Western Tropical Atlantic","Mid‐Holocene, Coral‐Based Sea Surface Temperatures in the Western Tropical Atlantic",changed
AL16YUC01,number::Sr/Ca,1,2,changed
AL16YUC01,measurementTableName::year,measurementTable2,measurementTable1,changed
AL16YUC01,TSid::year,RZeLaMkMS38vvZnwL,RhfTA7TNUqVCsdcbl,changed
AL16YUC01,hasTimeTsid::year,RZeLaMkMS38vvZnwL,RhfTA7TNUqVCsdcbl,changed
AL16YUC01,number::year,2,1,changed
AL16YUC01,analyticalError::uncertainty,0.06,,removed
AL16YUC01,analyticalErrorUnits::uncertainty,mmol/mol,,removed
AL16YUC01,archiveSpecies::uncertainty,Siderastrea siderea,,removed
AL16YUC01,ch2kCoreCode::uncertainty,AL16YUC01,,removed
AL16YUC01,coralExtensionRate::uncertainty,NA,,removed
AL16YUC01,coralExtensionRateNotes::uncertainty,<5 mm/yr,,removed
AL16YUC01,coralHydro2kGroup::uncertainty,6,,removed
AL16YUC01,coreName::uncertainty,Jardin C,,removed
AL16YUC01,isAnomaly::uncertainty,0,,removed
AL16YUC01,isComposite::uncertainty,0,,removed
AL16YUC01,isPrimary::uncertainty,FALSE,,removed
AL16YUC01,jcpCorrected::uncertainty,1,,removed
AL16YUC01,jcpMeasured::uncertainty,NA,,removed
AL16YUC01,jcpUsed::uncertainty,1,,removed
AL16YUC01,longName::uncertainty,SrCa,,removed
AL16YUC01,measurementMaterial::uncertainty,Sr/Ca,,removed
AL16YUC01,measurementTableName::uncertainty,measurementTable2,,removed
AL16YUC01,medianRes12k::uncertainty,NA,,removed
AL16YUC01,notes::uncertainty,Study focuses on use of Sr/U rather than Sr/Ca,,removed
AL16YUC01,samplingNotes::uncertainty,Laser ablation,,removed
AL16YUC01,samplingResolution::uncertainty,100 um diameter spot size centered 200 um apart,,removed
AL16YUC01,TSid::uncertainty,AL16YUC01_SrCaUncertainty,AL16YUC01_SrCa_err,changed
AL16YUC01,primaryAgeColumn::uncertainty,FALSE,,removed
AL16YUC01,hasTimeTsid::uncertainty,RZeLaMkMS38vvZnwL,,removed
AL16YUC01,hasResolution::uncertainty,monthly_uneven,,removed
AL16YUC01,number::uncertainty,1,3,changed
AL16YUC01,createdBy::year,,CoralHydro2k,added
AL16YUC01,variableType::Sr/Ca,,measured,added
AL16YUC01,proxy::Sr/Ca,,Sr/Ca,added
AL16YUC01,jcpCorrected::Sr/Ca,,1,added
AL16YUC01,jcpUsed::Sr/Ca,,1,added
AL16YUC01,datum::Sr/Ca,,0,added
AL16YUC01,coralExtensionRateNotes::Sr/Ca,,<5 mm/yr,added
AL16YUC01,createdBy::Sr/Ca,,CoralHydro2k,added
AL16YUC01,variableType::uncertainty,,measured,added
AL16YUC01,uncertaintyFor::uncertainty,,Sr/Ca,added
AL16YUC01,createdBy::uncertainty,,CoralHydro2k,added
AS05GUA01,pub1_citation,"Asami, R., Yamada, T., Iryu, Y., Quinn, T. M., Meyer, C. P. and Paulay, G. 2005. Interannu","Asami, R., Yamada, T., Iryu, Y., Quinn, T. M., Meyer, C. P. and Paulay, G. 2005. Interannu",changed
AS05GUA01,pub1_title,Interannual and decadal variability of the western Pacific sea surface condition for the y,Interannual and decadal variability of the western Pacific sea surface condition for the y,changed
AS05GUA01,samplingNotes::d18O,0.5 mm (19702000) and 1 mm (17871969),0.5 mm (1970–2000) and 1 mm (1787–1969),changed
AS05GUA01,number::d18O,1,2,changed
AS05GUA01,number::year,2,1,changed
AS05GUA01,createdBy::year,,CoralHydro2k,added
AS05GUA01,variableType::d18O,,measured,added
AS05GUA01,proxy::d18O,,d18O,added
AS05GUA01,jcpCorrected::d18O,,0,added
AS05GUA01,jcpUsed::d18O,,0,added
AS05GUA01,coralExtensionRate::d18O,,12,added
AS05GUA01,coralExtensionRateNotes::d18O,,1.2 cm/yr,added
AS05GUA01,createdBy::d18O,,CoralHydro2k,added
BA04FIJ01,number::d18O,1,2,changed
BA04FIJ01,measurementTableName::year,measurementTable2,measurementTable1,changed
BA04FIJ01,TSid::year,RWYto0HmGRx6WGfAc,RmBjO9NKZDgupJ26Y,changed
BA04FIJ01,hasTimeTsid::year,RWYto0HmGRx6WGfAc,RmBjO9NKZDgupJ26Y,changed
BA04FIJ01,number::year,2,1,changed
BA04FIJ01,analyticalError::Sr/Ca,0.22,0.07,changed
BA04FIJ01,number::Sr/Ca,1,3,changed
BA04FIJ01,createdBy::year,,CoralHydro2k,added
BA04FIJ01,variableType::d18O,,measured,added
BA04FIJ01,proxy::d18O,,d18O,added
BA04FIJ01,jcpCorrected::d18O,,0,added
BA04FIJ01,jcpUsed::d18O,,0,added
BA04FIJ01,datum::d18O,,0,added
BA04FIJ01,coralExtensionRate::d18O,,5.6,added
BA04FIJ01,coralExtensionRateNotes::d18O,,5.6±0.9 mm/yr,added
BA04FIJ01,createdBy::d18O,,CoralHydro2k,added
BA04FIJ01,variableType::Sr/Ca,,measured,added
BA04FIJ01,proxy::Sr/Ca,,Sr/Ca,added
BA04FIJ01,jcpCorrected::Sr/Ca,,0,added
BA04FIJ01,jcpUsed::Sr/Ca,,0,added
BA04FIJ01,datum::Sr/Ca,,0,added
BA04FIJ01,coralExtensionRate::Sr/Ca,,5.6,added
BA04FIJ01,coralExtensionRateNotes::Sr/Ca,,5.6±0.9 mm/yr,added
BA04FIJ01,createdBy::Sr/Ca,,CoralHydro2k,added
BA04FIJ02,number::d18O,1,2,changed
BA04FIJ02,measurementTableName::year,measurementTable2,measurementTable1,changed
BA04FIJ02,TSid::year,RJlctmxMUuxNYxBo5,RJBbOIPqZZ5YhBdmq,changed
BA04FIJ02,hasTimeTsid::year,RJlctmxMUuxNYxBo5,RJBbOIPqZZ5YhBdmq,changed
BA04FIJ02,number::year,2,1,changed
BA04FIJ02,analyticalError::Sr/Ca,0.22,0.07,changed
BA04FIJ02,number::Sr/Ca,1,3,changed
BA04FIJ02,createdBy::year,,CoralHydro2k,added
BA04FIJ02,variableType::d18O,,measured,added
BA04FIJ02,proxy::d18O,,d18O,added
BA04FIJ02,jcpCorrected::d18O,,0,added
BA04FIJ02,jcpUsed::d18O,,0,added
BA04FIJ02,datum::d18O,,0,added
BA04FIJ02,coralExtensionRate::d18O,,5.5,added
BA04FIJ02,coralExtensionRateNotes::d18O,,5.5±1.0 mm/year,added
BA04FIJ02,createdBy::d18O,,CoralHydro2k,added
BA04FIJ02,variableType::Sr/Ca,,measured,added
BA04FIJ02,proxy::Sr/Ca,,Sr/Ca,added
BA04FIJ02,jcpCorrected::Sr/Ca,,0,added
BA04FIJ02,jcpUsed::Sr/Ca,,0,added
BA04FIJ02,datum::Sr/Ca,,0,added
BA04FIJ02,coralExtensionRate::Sr/Ca,,5.5,added
BA04FIJ02,coralExtensionRateNotes::Sr/Ca,,5.5±1.0 mm/year,added
BA04FIJ02,createdBy::Sr/Ca,,CoralHydro2k,added
BO14HTI01,pub1_citation,"Bolton, A., Goodkin, N. F., Hughen, K., Ostermann, D. R., Vo, S. T. and Phan, H. K. 2014. ","Bolton, A., Goodkin, N. F., Hughen, K., Ostermann, D. R., Vo, S. T. and Phan, H. K. 2014. ",changed
BO14HTI01,number::d18O,1,2,changed
BO14HTI01,measurementTableName::year,measurementTable3,measurementTable2,changed
BO14HTI01,TSid::year,RT0u2QgqCgA0Wg68l,RrqGTJR6apksx40z2,changed
BO14HTI01,hasTimeTsid::year,RT0u2QgqCgA0Wg68l,RrqGTJR6apksx40z2,changed
BO14HTI01,number::year,2,1,changed
BO14HTI01,analyticalError::Sr/Ca,0.35,0.08,changed
BO14HTI01,number::Sr/Ca,1,2,changed
BO14HTI01,analyticalError::uncertainty,0.35,,removed
BO14HTI01,analyticalErrorUnits::uncertainty,% RSD,,removed
BO14HTI01,archiveSpecies::uncertainty,Porites lutea,,removed
BO14HTI01,ch2kCoreCode::uncertainty,BO14HTI01,,removed
BO14HTI01,coralExtensionRate::uncertainty,8.84,,removed
BO14HTI01,coralExtensionRateNotes::uncertainty,8.84 mm/year,,removed
BO14HTI01,coralHydro2kGroup::uncertainty,2,,removed
BO14HTI01,coreName::uncertainty,TN,,removed
BO14HTI01,isAnomaly::uncertainty,0,,removed
BO14HTI01,isComposite::uncertainty,0,,removed
BO14HTI01,isPrimary::uncertainty,FALSE,,removed
BO14HTI01,jcpCorrected::uncertainty,0,,removed
BO14HTI01,jcpMeasured::uncertainty,8.851,,removed
BO14HTI01,jcpUsed::uncertainty,1,,removed
BO14HTI01,longName::uncertainty,SrCa,,removed
BO14HTI01,measurementMaterial::uncertainty,Sr/Ca,,removed
BO14HTI01,measurementTableName::uncertainty,measurementTable3,,removed
BO14HTI01,medianRes12k::uncertainty,NA,,removed
BO14HTI01,notes::uncertainty,A composite of cores TN and BB (CoralHydro2k ID BO14HTI02) was used from 2010-1977 for the,,removed
BO14HTI01,samplingResolution::uncertainty,0.5 mm,,removed
BO14HTI01,TSid::uncertainty,BO14HTI01_SrCaUncertainty,BO14HTI01_SrCa_err,changed
BO14HTI01,primaryAgeColumn::uncertainty,FALSE,,removed
BO14HTI01,hasTimeTsid::uncertainty,RT0u2QgqCgA0Wg68l,,removed
BO14HTI01,interpretation::uncertainty,NA; climate; NA; climate,,removed
BO14HTI01,calibration::uncertainty,HadISST1.1; 10.532; 0.7; -0.054; 0.002; OLS,,removed
BO14HTI01,hasResolution::uncertainty,monthly,,removed
BO14HTI01,number::uncertainty,1,3,changed
BO14HTI01,minYear::uncertainty,1600.04,,removed
BO14HTI01,distinctYearsInCommonEra::uncertainty,400,,removed
BO14HTI01,dataSource,,https://www.ncdc.noaa.gov/paleo/study/32392,added
BO14HTI01,createdBy::year,,CoralHydro2k,added
BO14HTI01,variableType::d18O,,measured,added
BO14HTI01,proxy::d18O,,d18O,added
BO14HTI01,jcpCorrected::d18O,,0,added
BO14HTI01,jcpMeasured::d18O,,8.851,added
BO14HTI01,jcpUsed::d18O,,1,added
BO14HTI01,datum::d18O,,0,added
BO14HTI01,coralExtensionRate::d18O,,8.84,added
BO14HTI01,coralExtensionRateNotes::d18O,,8.84 mm/year,added
BO14HTI01,createdBy::d18O,,CoralHydro2k,added
BO14HTI01,variableType::Sr/Ca,,measured,added
BO14HTI01,proxy::Sr/Ca,,Sr/Ca,added
BO14HTI01,jcpCorrected::Sr/Ca,,0,added
BO14HTI01,jcpMeasured::Sr/Ca,,8.851,added
BO14HTI01,jcpUsed::Sr/Ca,,1,added
BO14HTI01,datum::Sr/Ca,,0,added
BO14HTI01,coralExtensionRate::Sr/Ca,,8.84,added
BO14HTI01,coralExtensionRateNotes::Sr/Ca,,8.84 mm/year,added
BO14HTI01,createdBy::Sr/Ca,,CoralHydro2k,added
BO14HTI01,variableType::uncertainty,,measured,added
BO14HTI01,uncertaintyFor::uncertainty,,Sr/Ca,added
BO14HTI01,createdBy::uncertainty,,CoralHydro2k,added
BO14HTI02,pub1_citation,"Bolton, A., Goodkin, N. F., Hughen, K., Ostermann, D. R., Vo, S. T. and Phan, H. K. 2014. ","Bolton, A., Goodkin, N. F., Hughen, K., Ostermann, D. R., Vo, S. T. and Phan, H. K. 2014. ",changed
BO14HTI02,number::d18O,1,2,changed
BO14HTI02,measurementTableName::year,measurementTable2,measurementTable1,changed
BO14HTI02,TSid::year,R9FqzV3NdQEaJMcaN,RVIjLR5NT07Q4IcQP,changed
BO14HTI02,hasTimeTsid::year,R9FqzV3NdQEaJMcaN,RVIjLR5NT07Q4IcQP,changed
BO14HTI02,number::year,2,1,changed
BO14HTI02,analyticalError::Sr/Ca,0.35,0.08,changed
BO14HTI02,number::Sr/Ca,1,3,changed
BO14HTI02,dataSource,,https://www.ncdc.noaa.gov/paleo/study/32392,added
BO14HTI02,createdBy::year,,CoralHydro2k,added
BO14HTI02,variableType::d18O,,measured,added
BO14HTI02,proxy::d18O,,d18O,added
BO14HTI02,jcpCorrected::d18O,,0,added
