dataset,field,old,new,kind
AB08MEN01,number::d18O,1,2,changed
AB08MEN01,number::year,2,1,changed
AB08MEN01,createdBy::year,,CoralHydro2k,added
AB08MEN01,variableType::d18O,,measured,added
AB08MEN01,proxy::d18O,,d18O,added
AB08MEN01,jcpCorrected::d18O,,0,added
AB08MEN01,jcpUsed::d18O,,0,added
AB08MEN01,createdBy::d18O,,CoralHydro2k,added
AB15BHB01,pub1_citation,"Abram, N. J., Dixon, B. C., Rosevear, M. G., Plunkett, B., Gagan, M. K., Hantoro, W. S. an","Abram, N. J., Dixon, B. C., Rosevear, M. G., Plunkett, B., Gagan, M. K., Hantoro, W. S. an",changed
AB15BHB01,number::d18O,1,2,changed
AB15BHB01,number::year,2,1,changed
AB15BHB01,createdBy::year,,CoralHydro2k,added
AB15BHB01,variableType::d18O,,measured,added
AB15BHB01,proxy::d18O,,d18O,added
AB15BHB01,jcpCorrected::d18O,,0,added
AB15BHB01,jcpUsed::d18O,,0,added
AB15BHB01,datum::d18O,,0,added
AB15BHB01,createdBy::d18O,,CoralHydro2k,added
AB20MEN01,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN01,pub2_citation,"Abram, N. J., Dixon, B. C., Rosevear, M. G., Plunkett, B., Gagan, M. K., Hantoro, W. S. an","Abram, N. J., Dixon, B. C., Rosevear, M. G., Plunkett, B., Gagan, M. K., Hantoro, W. S. an",changed
AB20MEN01,number::d18O,1,2,changed
AB20MEN01,number::year,2,1,changed
AB20MEN01,createdBy::year,,CoralHydro2k,added
AB20MEN01,variableType::d18O,,measured,added
AB20MEN01,proxy::d18O,,d18O,added
AB20MEN01,jcpCorrected::d18O,,0,added
AB20MEN01,jcpUsed::d18O,,0,added
AB20MEN01,datum::d18O,,0,added
AB20MEN01,coralExtensionRate::d18O,,20,added
AB20MEN01,coralExtensionRateNotes::d18O,,20 mm/year,added
AB20MEN01,createdBy::d18O,,CoralHydro2k,added
AB20MEN02,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
AB20MEN02,number::d18O,1,2,changed
AB20MEN02,number::year,2,1,changed
AB20MEN02,createdBy::year,,CoralHydro2k,added
AB20MEN02,variableType::d18O,,measured,added
AB20MEN02,proxy::d18O,,d18O,added
AB20MEN02,jcpCorrected::d18O,,0,added
AB20MEN02,jcpUsed::d18O,,0,added
AB20MEN02,datum::d18O,,0,added
AB20MEN02,coralExtensionRate::d18O,,8.8,added
AB20MEN02,coralExtensionRateNotes::d18O,,"10.4 mm/year prior to 1797, 7.5 mm/year after 1797",added
AB20MEN02,createdBy::d18O,,CoralHydro2k,added
AB20MEN03,pub1_citation,"Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh","Abram, N.J., Wright, N.M., Ellis, B., Dixon, B. C., Wurtzel, J. B., England, M. H., Ummenh",changed
