dataSetName,datasetId,TSid,field_path,class,old_value,new_value
MD84_551,3eIsVIT23FMTtvFbecVk,T2L_MD84_551_d18o_pachyderma_SST_from_d18o_pachyderma,paleoData.inCompilation,only_old,Tverse,
DomeF.Kawamura.2007,ZJubZDpLBZWFcDS347Ck,GHb1defdc8,paleoData.inCompilation,only_old,Tverse,
Ocn-TongueoftheOceanExuma.Rosenheim.2005,0uFbi6ioaAGZauZPIe49,PYT5N0WM66V,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
2004-804-009-PC.Ledu.2008,1LtLORdtCZmWpSqVPvS4,RR1D3ksUcLq,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
2004-804-009-PC.Ledu.2008,1LtLORdtCZmWpSqVPvS4,WEB-509f2-4795-4ee2-9ad5-fbfdd,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
2004-804-009-PC.Ledu.2008,1LtLORdtCZmWpSqVPvS4,WEB-69b23-ca1b-4595-8c13-f2ddf,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
2004-804-009-PC.Ledu.2008,1LtLORdtCZmWpSqVPvS4,WEB-96a26-5333-4f87-a681-5e4d7,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
2004-804-009-PC.Ledu.2008,1LtLORdtCZmWpSqVPvS4,WEB-c5ed2-c95c-4d31-bd89-317ce,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
2004-804-009-PC.Ledu.2008,1LtLORdtCZmWpSqVPvS4,WEB-cde29-b386-4445-bc80-cb716,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
2004-804-009-PC.Ledu.2008,1LtLORdtCZmWpSqVPvS4,WEB-f2096-02bd-4ce3-a687-9ee1a,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
NAm-GraniteMountain.Graumlich.2003,3RJU0QBcxU8Evlr8htuT,PYTV1GL8IVF,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
MD84_551,3eIsVIT23FMTtvFbecVk,T2L_MD84_551_age_median,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
MD84_551,3eIsVIT23FMTtvFbecVk,T2L_MD84_551_age_medianMedianBacon,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
MD84_551,3eIsVIT23FMTtvFbecVk,T2L_MD84_551_age_original,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
MD84_551,3eIsVIT23FMTtvFbecVk,T2L_MD84_551_d18o_pachyderma,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
MD84_551,3eIsVIT23FMTtvFbecVk,T2L_MD84_551_d18o_pachyderma_SST_from_d18o_pachyderma,paleoData.inCompilation[1].compilationName,only_new,,Tverse
MD84_551,3eIsVIT23FMTtvFbecVk,T2L_MD84_551_depth,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
Tysons.Bowler.1976,3ibnvezNJ6SHWLXlOTIx,OLS_RSFNf6f2GVA,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
Tysons.Bowler.1976,3ibnvezNJ6SHWLXlOTIx,OLS_RW349j9iJOj,paleoData.inCompilation[1].compilationName,only_new,,lipdverseTest
