V1,V2,shared,n1,n2,containment,name_sim
GeoB12610_2.RIPPERT.2015,GeoB12610-2.Rippert.2015,8,16,8,1,1
TTR-12_293G.Rodrigo-Gamiz.2014,TTR12_293G.Rodrigo‐Gamiz.2013,4,4,9,1,0.96
MD98_2188.Dang.2011,MD98_2188.Dang.2012,4,14,4,1,0.94
117_723A.Godad.2010,117_723A.Godad.2011,3,5,3,1,0.94
Aljojuca.Bhattacharya.2015,LagunaDeAljojuca.Bhattacharya.2015,4,11,4,1,0.75
M75_3_137_3.Wang.2013,M75_3_137_3.Wang.Palmod.2013,4,4,14,1,0.73
IzabalLake.Duarte.2021,LakeIzabal.Duarte.2021,10,10,10,1,0.6
Aden.Tierney.2013,P178_15P.Tierney.2016,3,3,21,1,0.56
GeoB6211_2,GeoB6211_2.Voigt.2015,9,9,17,1,0.5
MD05_2904,MD05_2904.Steinke.2011,4,4,12,1,0.42
SP10WINZ,SP10WINZ.Williams.2010,3,3,13,1,0.4
HornbyCabin.DArrigo.1989,Thelon.DArrigo.2012,42,42,415,1,0.36
MD99_2304,MD99_2304.Risebrobakken.2011,6,6,8,1,0.32
GeoTu_SL148.lastname.year,SL148.Kuhnt.2008,4,6,4,1,0.27
Hakluytvatnet.Balascio.2018,LS17BAHA01,8,12,8,1,0.24
D13902,D13902.Bartels-Jonsdottir.2015,5,5,10,1,0.22
LS13YUSA,SanLuisLake.Yuan.2013,3,3,3,1,0.21
Ghirla.Wirth.2016,LS16WIGH,5,7,5,1,0.2
CO09FEOG,Ocn-Miyanohama.Felis.2009,3,3,3,1,0.18
LS16THN301,N3.Thomas.2016,13,13,30,1,0.17
GeoB10069-3.Gibbons.2014,MS14GFSS,4,5,4,1,0.14
CO11NUPM,Ocn-Palmyra.Nurhati.2011,3,3,3,1,0.14
IC13THQU,SAm-QuelccayaIceCap.Thompson.2013,12,12,12,1,0.13
IC95THHU,NevadoHuascaran.Thompson.1995,7,7,7,1,0.11
AKIII.Terwilliger.2013,SL13TEAK,3,3,3,1,0.1
MS07RCNA,ODP984C.Praetorius.2008,3,3,11,1,0.1
CO04KIVA,Ocn-MaloChannelEspirituSantoIsland.Kilbourne.2004,3,3,3,1,0.09
DempsterPeatland.Porter.2019,GI19POYU,9,9,9,1,0.08
