source_field,target,scope,translator_sheet,note,decision
pub2_firstauthor,pub2_firstauthor,sheet,pub2_firstauthor,from the translator sheet,
pub2_journal,pub2_journal,sheet,pub2_journal,from the translator sheet,
pub2_title,pub2_title,sheet,pub2_title,from the translator sheet,
pub2_year,pub2_year,sheet,pub2_year,from the translator sheet,
pub3_authorlist,pub3_author,sheet,pub3_author,from the translator sheet,
pub3_citation,pub3_citation,sheet,pub3_citation,from the translator sheet,
pub3_doi,pub3_doi,sheet,pub3_doi,from the translator sheet,
pub3_firstauthor,pub3_firstauthor,sheet,pub3_firstauthor,from the translator sheet,
pub3_journal,pub3_journal,sheet,pub3_journal,from the translator sheet,
pub3_title,pub3_title,sheet,pub3_title,from the translator sheet,
pub3_year,pub3_year,sheet,pub3_year,from the translator sheet,
pub4_authorlist,pub4_authorlist,global,,LiPD holds any number of publications (Nick),
pub4_citation,pub4_citation,global,,LiPD holds any number of publications (Nick),
pub4_doi,pub4_doi,global,,LiPD holds any number of publications (Nick),
pub4_journal,pub4_journal,global,,LiPD holds any number of publications (Nick),
pub4_title,pub4_title,global,,LiPD holds any number of publications (Nick),
pub_SrCa_int,calibration_equationIntercept,variable,calibration_equationIntercept,"calibration parameter, written as its own key rather than a joined string",
pub_SrCa_rsq,calibration_r2,variable,calibration_uncertainty,"calibration parameter, written as its own key rather than a joined string",
pub_SrCa_slope,calibration_equationSlope,variable,calibration_equationSlope,"calibration parameter, written as its own key rather than a joined string",
pub_SrCa_unc,calibration_uncertainty,variable,calibration_equationSlopeUncertainty,"calibration parameter, written as its own key rather than a joined string",
pub_amt,,DROP,,LiPD counts publications from the pub array,
pub_d18O_int,calibration_equationIntercept,variable,calibration_equationIntercept,"calibration parameter, written as its own key rather than a joined string",
pub_d18O_rsq,calibration_r2,variable,calibration_uncertainty,"calibration parameter, written as its own key rather than a joined string",
pub_d18O_slope,calibration_equationSlope,variable,calibration_equationSlope,"calibration parameter, written as its own key rather than a joined string",
pub_d18O_unc,calibration_uncertainty,variable,calibration_equationSlopeUncertainty,"calibration parameter, written as its own key rather than a joined string",
pub_notes,paleoData_notes,sheet,paleoData_notes,from the translator sheet,
pub_reg,calibration_method,variable,calibration_method,"calibration parameter, written as its own key rather than a joined string",
pub_sst_prod,calibration_sstProduct,variable,,"calibration parameter, written as its own key rather than a joined string",
pub_sst_range,calibration_sstRange,variable,,"calibration parameter, written as its own key rather than a joined string",
res_SrCa,nominalResolution,csm,hasResolution_median,csm as of 6f75b84; applies to the Sr/Ca column,
res_SrCa_max,,DROP,,recomputed every run,
res_SrCa_min,,DROP,,recomputed every run,
res_d18O,nominalResolution,csm,hasResolution_median,csm as of 6f75b84; applies to the d18O column,
res_d18O_max,,DROP,,recomputed every run,
res_d18O_min,,DROP,,recomputed every run,
res_d18O_sw,nominalResolution,csm,,csm as of 6f75b84; applies to the d18O_sw column,
res_d18O_sw_max,,DROP,,recomputed every run,
res_d18O_sw_min,,DROP,,recomputed every run,
samp_notes,paleoData_samplingNotes,sheet,paleoData_samplingNotes,from the translator sheet,
samp_res,paleoData_samplingResolution,sheet,paleoData_samplingResolution,from the translator sheet,
site,geo_siteName,sheet,geo_siteName,from the translator sheet,
site2,geo_secondarySiteName,sheet,geo_secondarySiteName,from the translator sheet,
site_type,geo_description,sheet,geo_description,from the translator sheet,
species,paleoData_archiveSpecies,sheet,paleoData_archiveSpecies,from the translator sheet,
units_SrCa,paleoData_units,sheet,paleoData_units,from the translator sheet,
units_SrCa_errAnalytic,paleoData_analyticalErrorUnits,variable,,passed through,
units_d18O,paleoData_units,sheet,paleoData_units,from the translator sheet,
units_d18O_errAnalytic,paleoData_analyticalErrorUnits,variable,,normalise the per-mille sign to 'permil',
units_depth,,DROP,depthUnits,implied by the axis,
units_time,,DROP,yearUnits,implied by the axis,
version_added,coralHydro2kVersionAdded,csm,,what CoralHydro2k says about the record (Nick),
