source_field,target,scope,translator_sheet,note,decision
JCP_corrected,paleoData_jcpCorrected,sheet,paleoData_jcpCorrected,from the translator sheet,
JCP_measured,paleoData_jcpMeasured,sheet,paleoData_jcpMeasured,from the translator sheet,
JCP_notes,paleoData_jcpNotes,sheet,paleoData_jcpNotes,from the translator sheet,
JCP_used,paleoData_jcpUsed,sheet,paleoData_jcpUsed,from the translator sheet,
SrCa,,MEASUREMENT,paleoData_values,becomes a column,
SrCa_annual,,MEASUREMENT,paleoData_values,becomes a column,
SrCa_err,,STRUCTURAL,,uncertainty vector -> its own column on the parent's year axis,
SrCa_errAnalytic,paleoData_analyticalError,sheet,paleoData_analyticalError,from the translator sheet,
SrCa_maxYear,,DROP,,recomputed every run,
SrCa_minYear,,DROP,,recomputed every run,
anom_SrCa,paleoData_datum,sheet,paleoData_datum,from the translator sheet,
anom_d18O,paleoData_datum,sheet,paleoData_datum,from the translator sheet,
coral_ext_rate,paleoData_coralExtensionRate,sheet,paleoData_coralExtensionRate,from the translator sheet,
coral_ext_rate_notes,paleoData_coralExtensionRateNotes,sheet,paleoData_coralExtensionRateNotes,from the translator sheet,
coral_tissue_thickness,paleoData_coralTissueThickness,variable,paleoData_coralTissueThickness,translator sheet; 5 records,
core,paleoData_coreName,sheet,paleoData_coreName,from the translator sheet,
d18O,,MEASUREMENT,paleoData_values,becomes a column,
d18O_annual,,MEASUREMENT,paleoData_values,becomes a column,
d18O_err,,STRUCTURAL,,uncertainty vector -> its own column on the parent's year axis,
d18O_errAnalytic,paleoData_analyticalError,sheet,paleoData_analyticalError,from the translator sheet,
d18O_maxYear,,DROP,,recomputed every run,
d18O_minYear,,DROP,,recomputed every run,
d18O_sw,,MEASUREMENT,paleoData_values,becomes a column,
d18O_sw_annual,,MEASUREMENT,paleoData_values,becomes a column,
data_additional,dataSource,sheet,dataSource,from the translator sheet,
data_composite,paleoData_isComposite,variable,,239/239 against the shipped files,
data_original,originalDataUrl,sheet,originalDataUrl,from the translator sheet,
depth,geo_elevation,sheet,geo_elevation,from the translator sheet,
group,coralHydro2kGroup,csm,,QC sheet + registry: already csm/curator,
lat,geo_latitude,sheet,geo_latitude,from the translator sheet,
lon,geo_longitude,sheet,geo_longitude,from the translator sheet,
ocean,geo_ocean,sheet,geo_ocean,from the translator sheet,
ocean2,geo_ocean2,sheet,geo_ocean2,from the translator sheet,
pub1_authorlist,pub1_author,sheet,pub1_author,from the translator sheet,
pub1_citation,pub1_citation,sheet,pub1_citation,from the translator sheet,
pub1_doi,pub1_doi,sheet,pub1_doi,from the translator sheet,
pub1_firstauthor,pub1_firstauthor,sheet,pub1_firstauthor,from the translator sheet,
pub1_journal,pub1_journal,sheet,pub1_journal,from the translator sheet,
pub1_title,pub1_title,sheet,pub1_title,from the translator sheet,
pub1_year,pub1_year,sheet,pub1_year,from the translator sheet,
pub2_authorlist,pub2_author,sheet,pub2_author,from the translator sheet,
pub2_citation,pub2_citation,sheet,pub2_citation,from the translator sheet,
pub2_doi,pub2_doi,sheet,pub2_doi,from the translator sheet,
