tsid,field,value
Ocean2kHR_194_iso2k,pub1_citation,"Calvo, E., Marshall, J. F., Pelejero, C., McCulloch, M. T., Gagan, M. K. and Lough, J. M.: Interdecadal climate variability in the Coral Sea since 1708 A.D., Palaeogeography, Palaeoclimatology, Palaeoecology, 248(1-2), 190–201, doi:10.1016/j.palaeo.2006.12.003, 2007."
missRm0BmVwSjvaxk4g2f,description,Scaled d18O values. (Coral F4 contained enhanced variance that likely reflects the influence of localized (lagoonal) mixing on the coral isotopic variability. The F4 δ18O variations (relative to its mean) were scaled by a factor of 0.56 such that the running 3‐year standard deviation matches that of corresponding interval of the available Palmyra coral and closely resembles the interannual variability in the instrumental record
missRMhswFx0fmkywIUqp,pub1_citation,"Thomas, E. K., McGrane, S., Briner, J. P. and Huang, Y.: Leaf wax δ2H and varve-thickness climate proxies from proglacial lake sediments, Baffin Island, Arctic Canada, Journal of Paleolimnology, 48(1), 193–207, doi:10.1007/s10933-012-9584-7, 2012."
missRHwIjhPDtG0oKnGMB,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRVAoSzRhh7kfnrwuQ,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missR8e2BdMCVKvzxnP6z,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRnYpHc6GlWbmTJuqM,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missR1CK2d6IpH3Qxc7pP,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRUUWW04tx9H2e4rLe,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missR0Wb3BIlN7ykqTXSJ,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRPQemJxQkRyFyegcl,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRJELBajRpykFRIBr6,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRY9E3Nfvr58k9Atpw,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRU3VE8WlVDVbJNR6S,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRjx5eMxo8gwbw0kXV,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missR05tYFx2c2y9c3WUg,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRY4yVAh0HfWJt48dr,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRhimC6YWPn6nToeTc,pub1_citation,"Zhang, Z., Leduc, G. and Sachs, J. P.: El Nino evolution during the Holocene revealed by a biomarker rain gauge in the Galapagos Islands, Earth and Planetary Science Letters, 404, 420–434, doi:10.1016/j.epsl.2014.07.013, 2014."
missRhimC6YWPn6nToeTc,description,C30 keto-ol ratio (ω16/ω20)
missRBzFpFOpCHM1hoCOd,description,"The derived tree‐ring chronology is strongly correlated with the Palmer Drought Severity Index (PDSI) over most of central and southern Mexico, peaking in the early growing season"
WEB-7b982-6800-4ade-bb29-4c976,pub1_citation,"Rodriguez‐Morata, C., Requena‐Rojas, E. J., Ticse‐Otarola, G., Morales, M. S., D’Arrigo, R., Crispin‐DelaCruz, D. B., & Andreu‐Hayles, L. (2025). Oxygen isotopes as a key proxy of equatorial Pacific SST variability in a multiparametric tree‐ring approach in the low‐latitude Andes. Paleoceanography and Paleoclimatology, 40, e2024PA005045. https://doi.org/10.1029/ 2024PA005045"
WEB-e602d-65e4-421f-8e88-1a1bc,pub1_citation,"Rodriguez‐Morata, C., Requena‐Rojas, E. J., Ticse‐Otarola, G., Morales, M. S., D’Arrigo, R., Crispin‐DelaCruz, D. B., & Andreu‐Hayles, L. (2025). Oxygen isotopes as a key proxy of equatorial Pacific SST variability in a multiparametric tree‐ring approach in the low‐latitude Andes. Paleoceanography and Paleoclimatology, 40, e2024PA005045. https://doi.org/10.1029/ 2024PA005045"
WEB-e9bff-435c-4e46-8e38-81dfa,description,normalized to the 1920–2021 period
WEB-1d388-edf7-4ed9-bbd5-76020,description,The combined monthly precipitation anomalies (1918–2009) from the stations used in the regional construction correlate significantly with at least one of the four site chronologies for September of the year before growth through August of the year of growth.
