term,family,priority,ownership,nullable_by_curator,suggested_ownership,suggested_nullable,rationale,n_compilations,compilations,n_filled,max_distinct,n_conflict_subst,ts_name,convo_type,same_across_dataset,example_values
archiveType,archiveType,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,297030,14,19,archiveType,character,TRUE,coral | MarineSediment | Coral
geo_elevation,geo_elevation,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,290025,1648,,,,,
geo_latitude,geo_latitude,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,297030,3973,,,,,
geo_longitude,geo_longitude,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,297030,4189,,,,,
geo_siteName,geo_siteName,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,296967,4201,,,,,
inCompilationBeta_struct,inCompilationBeta_struct,1. decides behaviour (11+ compilations),,,REVIEW,FALSE,no rule matched,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,34287,2,,,,,
maxYear,maxYear,1. decides behaviour (11+ compilations),,,machine,FALSE,derived or written by the pipeline; file is authoritative,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,287977,3745,3211,maxYear,numeric,FALSE,1997.96 | 2012.375 | 2001.54167 | 1820.45833
minYear,minYear,1. decides behaviour (11+ compilations),,,machine,FALSE,derived or written by the pipeline; file is authoritative,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,287977,2013,3223,minYear,numeric,FALSE,1858.29 | 1989.791666 | 1936.375 | 1770.79167
paleoData_TSid,paleoData_TSid,1. decides behaviour (11+ compilations),,,key,FALSE,"identifier; never merged, disagreement is an error",18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,297030,83877,,,,,
paleoData_units,paleoData_units,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,292859,74,,,,,
paleoData_variableName,paleoData_variableName,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,297030,431,,,,,
pub1_doi,pub*_doi,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,279566,2336,3484,pub1_doi,character,TRUE,10.1038/ngeo357 | 10.1002/2015PA002810 | 10.1038/s41586-020-2084-4 | 10.1002/2016PA002976
pub2_doi,pub*_doi,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,18,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,243452,315,1292,pub2_doi,character,TRUE,10.1002/2015PA002810 | 10.1016/j.epsl.2015.10.002 | 10.1029/2019PA003571 | 10.1029/2021PA004233
lipdverseLink,lipdverseLink,1. decides behaviour (11+ compilations),,,machine,FALSE,derived or written by the pipeline; file is authoritative,17,CoralHydro2k;FreeSoda;GBRCD;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,230266,4731,,,,,
originalDataUrl,originalDataUrl,1. decides behaviour (11+ compilations),,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,17,CoralHydro2k;FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;iso2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,282178,466,14168,originalDataUrl,character,TRUE,https://www.ncdc.noaa.gov/paleo/study/8607 | https://www.ncdc.noaa.gov/paleo/study/18895 | https://www.ncdc.noaa.gov/paleo/study/28451 | https://www.ncdc.noaa.gov/paleo/study/22056
climateInterpretation1_variable,climateInterpretation*_variable,1. decides behaviour (11+ compilations),,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,16,FreeSoda;GBRCD;HoloceneAbruptChange;HoloceneHydroclimate;Hydro21k;hydroclimate2k;LakeStatus21k;LegacyClimate-LiPD;NAm21k-noPollen;Nam2kDendro;Pages2kTemperature;PalMod;RapidArcticWarming;SISAL-LiPD;Temp24k;test,211446,26,,,,,
