datasetId,pubIndex,doi_raw,doi,ref_source,authors_now,year_now,title_now,journal_now,resolved,source,authors_found,year_found,title_found,journal_found,kind_found,decision,from_store
pmHiPfXkDww9LqYPXiedy3,2,https://doi.pangaea.de/10.1594/PANGAEA.967046,10.1594/pangaea.967046,,,,,,TRUE,datacite,"Panmei, Champoungam; Naidu, Pothuri Divakar; Mohtadi, Mahyar",2024,Radiocarbon ages of sediment core MD161-17,PANGAEA,Dataset,,FALSE
pmIF9K9vw4wfxO7hQzCaVX,5,https://doi.pangaea.de/10.1594/PANGAEA.965866,10.1594/pangaea.965866,,,,,,TRUE,datacite,"Dong, Liang; Li, Li; Li, Qianyu; Wang, Hui; Zhang, Chuanlun L",2024,Radiocarbon ages of sediment core MD05-2896,PANGAEA,Dataset,,FALSE
pmJ8TVzMPLgkCXOJFY6TOv,2,https://doi.pangaea.de/10.1594/PANGAEA.80224,10.1594/pangaea.80224,,,,,,TRUE,datacite,"Steinke, Stephan; Kienast, Markus; Pflaumann, Uwe; Weinelt, Mara; Stattegger, Karl",2001,(Table 1) Age determination of sediment core GIK18287-3,PANGAEA,Dataset,,FALSE
pmJc8hCezIDRIQUJLFUe0n,4,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/98PA01792,10.1029/98pa01792,,,,,,TRUE,crossref,"Elliot, Mary; Labeyrie, Laurent; Bond, Gerard; Cortijo, Elsa; Turon, Jean‐Louis; Tisnerat, Nadine; Duplessy, Jean‐Claude",1998,Millennial‐scale iceberg discharges in the Irminger Basin during the Last Glacial Period: Relationship with the Heinrich events and environmental settings,Paleoceanography,journal-article,,FALSE
pmJf26Iokova1UUy6niW9U,2,https://doi.pangaea.de/10.1594/PANGAEA.855376,10.1594/pangaea.855376,,,,,,TRUE,datacite,"Oppo, Delia W; Horowitz, Michael",2000,Stable isotope ratios of Cibicidoides wuellerstorfi of sediment core RC16-119,PANGAEA,Dataset,,FALSE
pmJs1wutLKE9C5vBMoseWH,2,https://link.springer.com/article/10.1007/s00531-015-1227-6,10.1007/s00531-015-1227-6,,,,,,TRUE,crossref,"Sadatzki, Henrik; Sarnthein, Michael; Andersen, Nils",2015,Changes in monsoon-driven upwelling in the South China Sea over glacial Terminations I and II: a multi-proxy record,International Journal of Earth Sciences,journal-article,,FALSE
pmK1L5TBsK5FALod1HMXki,4,https://doi.pangaea.de/10.1594/PANGAEA.206864,10.1594/pangaea.206864,,,,,,TRUE,datacite,"Sarnthein, Michael; Gebhardt, Holger; Kiefer, Thorsten; Kucera, Michal; Cook, M; Erlenkeuser, Helmut",2004,Age model of sediment core MD01-2416,PANGAEA,Dataset,,FALSE
pmK1L5TBsK5FALod1HMXki,6,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007PA001513,10.1029/2007pa001513,,,,,,TRUE,crossref,"Gebhardt, Holger; Sarnthein, Michael; Grootes, Pieter M.; Kiefer, Thorsten; Kuehn, Hartmut; Schmieder, Frank; Röhl, Ursula",2008,Paleonutrient and productivity records from the subarctic North Pacific for Pleistocene glacial terminations I to V,Paleoceanography,journal-article,,FALSE
pmKYtnraFzGebY6EwuMvlH,2,https://journals.sagepub.com/doi/10.1191/0959683603hl634rp,10.1191/0959683603hl634rp,,,,,,TRUE,crossref,"Emeis, Kay-Christian; Struck, Ulrich; Blanz, Thomas; Kohly, Alexander; Voβ, Maren",2003,Salinity changes in the central Baltic Sea (NW Europe) over the last 10000 years,The Holocene,journal-article,,FALSE
pmKvjCpkOPB42PYevniq9Q,2,https://doi.pangaea.de/10.1594/PANGAEA.52730,10.1594/pangaea.52730,,,,,,TRUE,datacite,"Labeyrie, Laurent D; Labracherie, Monique; Gorfti, N; Pichon, Jean-Jacques; Vautravers, Maryline J; Arnold, Maurice; Duplessy, Jean-Claude; Paterne, Martine; Michel, Elisabeth; Duprat, Josette M; Caralp, M; Turon, Jean-Louis",1996,(Table 3) Age determination of sediment core MD88-770,PANGAEA,Dataset,,FALSE
pmLsi42Kt1ykWrpxnyG9cj,2,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017PA003095,10.1002/2017pa003095,,,,,,TRUE,crossref,"Voigt, I.; Cruz, A. P. S.; Mulitza, S.; Chiessi, C. M.; Mackensen, A.; Lippold, J.; Antz, B.; Zabel, M.; Zhang, Y.; Barbosa, C. F.; Tisserand, A. A.",2017,Variability in mid‐depth ventilation of the western Atlantic Ocean during the last deglaciation,Paleoceanography,journal-article,,FALSE
pmLuwt8TuaTy3DySB99uIA,3,https://doi.pangaea.de/10.1594/PANGAEA.845131,10.1594/pangaea.845131,,,,,,TRUE,datacite,"Sikes, Elisabeth L; Howard, William R; Neil, Helen L; Volkman, John K",2002,(Table 2) Age determination of Chatham Rise sediments,PANGAEA,Dataset,,FALSE
pmLzn2YflxFidTwIqxd2t1,2,https://doi.pangaea.de/10.1594/PANGAEA.114683,10.1594/pangaea.114683,,,,,,TRUE,datacite,"Sarnthein, Michael; van Kreveld, Shirley A; Erlenkeuser, Helmut; Grootes, Pieter Meiert; Kucera, Michal; Pflaumann, Uwe; Schulz, Michael",2003,Sea surface temperatures of sediment core GIK23258-2,PANGAEA,Dataset,,FALSE
pmM3TDrGD1xufwY3Rx5yCX,4,https://doi.pangaea.de/10.1594/PANGAEA.965851,10.1594/pangaea.965851,,,,,,TRUE,datacite,"Zhang, Shuai; Li, Tiegang; Chang, Fengming; Yu, Zhoufei; Xiong, Zhifang; Wang, H; Wang, Yue; Gong, Xun; Holbourn, Ann E; Liu, Heng; Cheng, Xuhua",2024,Radiocarbon ages of sediment core KX973-22-4,PANGAEA,Dataset,,FALSE
pmMHoO5dWbD7ao3IDvmcq2,2,https://doi.pangaea.de/10.1594/PANGAEA.809912,10.1594/pangaea.809912,,,,,,TRUE,datacite,"Pivel, Maria Alejandra G; Santarosa, Ana Cláudia Aoki; Toledo, Felipe Antonio L; Costa, Karen Badaraco",2013,(Table 1) Age determination of sediment core LaPAS-KF02,PANGAEA,Dataset,,FALSE
pmMNIeNEDTGPcb1Hv4wFP3,2,https://doi.pangaea.de/10.1594/PANGAEA.819094,10.1594/pangaea.819094,,,,,,TRUE,datacite,"Fink, Hiske G; Wienberg, Claudia; De Pol-Holz, Ricardo; Wintersteller, Paul; Hebbeln, Dierk",2013,(Supplement Table 2) Stable oxygen isotope analysis on benthic foraminifera Cibicidoides kullenbergi of sediment core GeoB13731-1,PANGAEA,Dataset,,FALSE
pmN5fDMjF0l0JUDNo9LagX,4,https://doi.pangaea.de/10.1594/PANGAEA.965886,10.1594/pangaea.965886,,,,,,TRUE,datacite,"Dong, Liang; Li, Li; Li, Qianyu; Wang, Hui; Zhang, Chuanlun L",2024,Radiocarbon ages of sediment core MD05-2897,PANGAEA,Dataset,,FALSE
pmNCctI0ehH1Nj7IIkWKsR,2,https://doi.pangaea.de/10.1594/PANGAEA.797447,10.1594/pangaea.797447,,,,,,TRUE,datacite,"Arz, Helge Wolfgang; Lamy, Frank; Ganopolski, Andrey; Nowaczyk, Norbert R; Pätzold, Jürgen",2007,"(Table 1) Age model of GeoB5844-2, northern Red Sea, including 14C AMS datings and paleomagnetic tie-points to the NAPIS stack (Stoner et al., 2002)",PANGAEA,Dataset,,FALSE
pmP8oYxvfARSutERzAO9EY,4,https://doi.pangaea.de/10.1594/PANGAEA.358348,10.1594/pangaea.358348,,,,,,TRUE,datacite,"Labracherie, Monique; Labeyrie, Laurent D; Duprat, Josette M; Bard, Edouard; Arnold, Maurice; Pichon, Jean-Jacques; Duplessy, Jean-Claude",1989,(Table 4) Age determinations on sediment core MD73-025,PANGAEA,Dataset,,FALSE
pmPwI1WNPCLMrUnYHmR9xH,3,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/GM112p0059,10.1029/gm112p0059,,,,,,TRUE,crossref,"Curry, W. B.; Marchitto, T. M.; McManus, J. F.; Oppo, D. W.; Laarkamp, K. L.",1999,"Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic",Geophysical Monograph Series,book-chapter,,FALSE
pmQ9oQczVGOCGdRloEVoHH,2,https://doi.pangaea.de/10.1594/PANGAEA.810668,10.1594/pangaea.810668,,,,,,TRUE,datacite,"Martínez-Méndez, Gema; Zahn, Rainer; Hall, Ian R; Peeters, Frank J C; Pena, Leopoldo D; Cacho, Isabel; Negre, César",2010,(Table S1) Globorotalia inflata 14C AMS ages and calibrated calendar year ages for core MD02-2594,PANGAEA,Dataset,,FALSE
pmQYqWB16idRXN9wfkL0qb,2,https://doi.pangaea.de/10.1594/PANGAEA.271549,10.1594/pangaea.271549,,,,,,TRUE,datacite,"Millo, Christian; Sarnthein, Michael; Voelker, Antje H L; Erlenkeuser, Helmut",2006,Stable carbon and oxygen isotope ratios of foraminifera and ages determination of sediment core GIK23519-5,PANGAEA,Dataset,,FALSE
pmRFLMN6eIZ9nsWtJdz4vZ,2,https://doi.pangaea.de/10.1594/PANGAEA.727571,10.1594/pangaea.727571,,,,,,TRUE,datacite,"Pedersen, Thomas F; Nielsen, B; Pickering, Mark",1991,(Table 2) Age determination of sediment core P07,PANGAEA,Dataset,,FALSE
pmSYGAhTGIKAyLxYK3kkLA,1,10.1098/rstb.1995.0067,10.1098/rstb.1995.0067,,,,,,TRUE,crossref,"Labeyrie, L.; Vidal, L.; Cortijo, E.; Paterne, M.; Arnold, M.; Duplessy, J. C.; Vautravers, M.; Labracherie, M.; Duprat, J.; Turon, J. L.; Grousset, F.; van Weering, T.",1995,Surface and deep hydrology of the Northern Atlantic Ocean during the past 150000 years,Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,journal-article,,FALSE
pmTC4EYLjSbKs6sGEuuvWQ,2,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2000GL012543,10.1029/2000gl012543,,,,,,TRUE,crossref,"Kienast, Stephanie S.; McKay, Jennifer L.",2001,Sea surface temperatures in the subarctic northeast Pacific reflect millennial‐scale climate oscillations during the last 16 kyrs,Geophysical Research Letters,journal-article,,FALSE
pmTJX2nluDtBdEVYjlXEO2,2,https://journals.sagepub.com/doi/10.1191/0959683603hl634rp,10.1191/0959683603hl634rp,,,,,,TRUE,crossref,"Emeis, Kay-Christian; Struck, Ulrich; Blanz, Thomas; Kohly, Alexander; Voβ, Maren",2003,Salinity changes in the central Baltic Sea (NW Europe) over the last 10000 years,The Holocene,journal-article,,FALSE
pmUalP6o0yd0TFqKUX7u89,2,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2002PA000780,10.1029/2002pa000780,,,,,,TRUE,crossref,"Dolven, Jane K.; Cortese, Giuseppe; Bjørklund, Kjell R.",2002,A high‐resolution radiolarian‐derived paleotemperature record for the Late Pleistocene‐Holocene in the Norwegian Sea,Paleoceanography,journal-article,,FALSE
pmUc5qZ2ZpbKPEnFGzkeWg,2,"10.1016/j.yqres.2003.07.008, 10.1029/98PA01501",10.1016/j.yqres.2003.07.008,,,,,,TRUE,crossref,"Knies, Jochen; Vogt, Christoph",2003,Freshwater pulses in the eastern Arctic Ocean during Saalian and Early Weichselian ice-sheet collapse,Quaternary Research,journal-article,,FALSE
pmUc5qZ2ZpbKPEnFGzkeWg,5,https://doi.pangaea.de/10.1594/PANGAEA.762393,10.1594/pangaea.762393,,,,,,TRUE,datacite,"Nowaczyk, Norbert R; Antonow, Martin; Knies, Jochen; Spielhagen, Robert F",2003,(Table 2) Age determination of sediment core PS2138-1,PANGAEA,Dataset,,FALSE
pmUrnYK1Hho6DNqfGotXsV,1,10.3289/GEOMAR_REP_95_1999,10.3289/geomar_rep_95_1999,,,,,,TRUE,datacite,"Hüls, Christian Matthias",1999,Millennial-scale SST variability as inferred from planktonic foraminiferal census counts in the western subtropical Atlantic,GEOMAR Forschungszentrum für marine Geowissenschaften,Text,,FALSE
pmUuuL1ooibfbfncehcYsu,3,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/95GL02558,10.1029/95gl02558,,,,,,TRUE,crossref,"Naidu, Pothuri Divakar; Malmgren, Björn A.",1995,"A 2,200 years periodicity in the Asian Monsoon System",Geophysical Research Letters,journal-article,,FALSE
pmWIwxpFWpQXJUD1RA7ssT,5,https://doi.pangaea.de/10.1594/PANGAEA.726765,10.1594/pangaea.726765,,,,,,TRUE,datacite,"Mulitza, Stefan",2009,(Table 2) Radiocarbon dates and age model of sediment core GeoB9508-5,PANGAEA,Dataset,,FALSE
pmWPEDQxellhDdxA3tMo8k,2,https://doi.pangaea.de/10.1594/PANGAEA.855373,10.1594/pangaea.855373,,,,,,TRUE,datacite,"Oppo, Delia W; Horowitz, Michael",2000,Stable isotope ratios of Cibicidoides wuellerstorfi of sediment core RC16-84,PANGAEA,Dataset,,FALSE
pmWYCsTOJX89CZVIv4MfqP,2,https://doi.pangaea.de/10.1594/PANGAEA.966830,10.1594/pangaea.966830,,,,,,TRUE,datacite,"Jian, Zhimin; Wang, Yue; Dang, Haowen; Lea, David W; Liu, Zhengyu; Jin, Haiyan; Yin, Yaqian",2024,Radiocarbon ages of sediment core MD01-2386,PANGAEA,Dataset,,FALSE
pmWoUa7EZ3wwik7unJd656,4,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2008GC002367,10.1029/2008gc002367,,,,,,TRUE,crossref,"Rodrigues, Teresa; Grimalt, Joan O.; Abrantes, Fátima G.; Flores, Jose A.; Lebreiro, Susana M.",2009,"Holocene interdependences of changes in sea surface temperature, productivity, and fluvial inputs in the Iberian continental shelf (Tagus mud patch)","Geochemistry, Geophysics, Geosystems",journal-article,,FALSE
