datasetId,pubIndex,doi_raw,doi,ref_source,authors_now,year_now,title_now,journal_now,resolved,source,authors_found,year_found,title_found,journal_found,kind_found,decision,from_store
5wD23ne0CEAt7SzgnO3J,2,https://doi.org/10.1016/j.gloplacha.2015.12.021,10.1016/j.gloplacha.2015.12.021,,,,,,TRUE,crossref,"Anderson, Lesleigh; Berkelhammer, Max; Barron, John A.; Steinman, Byron A.; Finney, Bruce P.; Abbott, Mark B.",2016,Lake oxygen isotopes as recorders of North American Rocky Mountain hydroclimate: Holocene patterns and variability at multi-decadal to millennial time scales,Global and Planetary Change,journal-article,,FALSE
8UJSqMWgoCeOVHSCN362,1,10.5194/cp-2017-146,10.5194/cp-2017-146,,,2017,,,TRUE,crossref,"Denniston, Rhawn F.; Houts, Amanda N.; Asmerom, Yemane; Wanamaker, Alan D.; Haws, Jonathon A.; Polyak, Victor J.; Thatcher, Diana L.; Altan-Ochir, Sestsen; Borowske, Alyssa C.; Breitenbach, Sebastian F. M.; Ummenhofer, Caroline C.; Regala, Frederico T.; Benedetti, Michael M.; Bicho, Nuno",2017,A Stalagmite Test of North Atlantic SST and Iberian Hydroclimate Linkages over the Last Two Glacial Cycles,,posted-content,,FALSE
DQNXPoAMzaxQBUgeP5Jm,1,https://doi.org/10.1080/15230430.2018.1496565,10.1080/15230430.2018.1496565,,missing,,,,TRUE,crossref,"Anderson, Lesleigh; Finney, Bruce P.; Shapley, Mark D.",2018,"Lake levels in a discontinuous permafrost landscape: Late Holocene variations inferred from sediment oxygen isotopes, Yukon Flats, Alaska","Arctic, Antarctic, and Alpine Research",journal-article,,FALSE
Dd3xWVBBzdNfjXIg5x6h,2,https://doi.org/10.1016/j.gloplacha.2015.12.021,10.1016/j.gloplacha.2015.12.021,,,,,,TRUE,crossref,"Anderson, Lesleigh; Berkelhammer, Max; Barron, John A.; Steinman, Byron A.; Finney, Bruce P.; Abbott, Mark B.",2016,Lake oxygen isotopes as recorders of North American Rocky Mountain hydroclimate: Holocene patterns and variability at multi-decadal to millennial time scales,Global and Planetary Change,journal-article,,FALSE
GCXPVlgERS5fu3JrsUwj,2,"Byron A. Steinman, David P. Pompeani, Mark B. Abbott, Joseph D. Ortiz, Nathan D. Stansell, Matthew S. Finkenbinder, Lorita N. Mihindukulasooriya, Aubrey L. Hillman, Oxygen isotope records of Holocene climate variability in the Pacific Northwest, Quaternary Science Reviews, Volume 142, 2016, Pages 40-60, ISSN 0277-3791, https://doi.org/10.1016/j.quascirev.2016.04.012.",10.1016/j.quascirev.2016.04.012,,,,,,TRUE,crossref,"Steinman, Byron A.; Pompeani, David P.; Abbott, Mark B.; Ortiz, Joseph D.; Stansell, Nathan D.; Finkenbinder, Matthew S.; Mihindukulasooriya, Lorita N.; Hillman, Aubrey L.",2016,Oxygen isotope records of Holocene climate variability in the Pacific Northwest,Quaternary Science Reviews,journal-article,,FALSE
GtaQfVzeDU1H8ksSWa1m,1,"10.1016/0031-0182(95)00078-X, 10.1016/0168-9622(91)90055-2, 10.1002/2014PA002717",10.1016/0031-0182(95)00078-x,,Swart,,,,TRUE,crossref,"Swart, Peter K.; Healy, Genevieve F.; Dodge, Richard E.; Kramer, Philip; Hudson, J. Harold; Halley, Robert B.; Robblee, Michael B.",1996,The stable oxygen and carbon isotopic record from a coral growing in Florida Bay: a 160 year record of climatic and anthropogenic influence,"Palaeogeography, Palaeoclimatology, Palaeoecology",journal-article,,FALSE
HClv7zX1upKPBnUFeZwl,1,10.1029/2004JD005575,10.1029/2004jd005575,,Masson-Delmotte,2005,,,TRUE,crossref,"Masson‐Delmotte, V.; Landais, A.; Stievenard, M.; Cattani, O.; Falourd, S.; Jouzel, J.; Johnsen, S. J.; Dahl‐Jensen, D.; Sveinsbjornsdottir, A.; White, J. W. C.; Popp, T.; Fischer, H.",2005,Holocene climatic changes in Greenland: Different deuterium excess signals at Greenland Ice Core Project (GRIP) and NorthGRIP,Journal of Geophysical Research: Atmospheres,journal-article,,FALSE
J1KkvIAen5ZGZ8SiGPO3,1,10.5194/cp-2016-137,10.5194/cp-2016-137,,,2017,,,TRUE,crossref,"Voarintsoa, Ny Riavo G.; Railsback, L. Bruce; Brook, George A.; Wang, Lixin; Kathayat, Gayatri; Cheng, Hai; Li, Xianglei; Edwards, R. Lawrence; Rakotondrazafy, Amos Fety Michel; Madison Razanatseheno, Marie Olga",2017,"Three distinct Holocene intervals revealed in NW Madagascar: evidence from two stalagmites from two caves, and implications for ITCZ dynamics",,posted-content,,FALSE
Uq6nzXzFimFs5qsjOnWx,1,"10.1029/98PA00401, 10.1029/96PA01859, 10.1029/97PA01348, 10.1029/1999PA900032, 10.1038/nclimate1583, 10.1016/j.palaeo.2012.08.019",10.1029/98pa00401,,"Quinn, T. M.",,,,TRUE,crossref,"Quinn, Terrence M.; Crowley, Thomas J.; Taylor, Frederick W.; Henin, Christian; Joannot, Pascale; Join, Yvan",1998,A multicentury stable isotope record from a New Caledonia coral: Interannual and decadal sea surface temperature variability in the southwest Pacific since 1657 A.D,Paleoceanography,journal-article,,FALSE
pm0rbfiCj2WhbZkajBiFJq,2,https://doi.pangaea.de/10.1594/PANGAEA.81613,10.1594/pangaea.81613,,,,,,TRUE,datacite,"Arz, Helge Wolfgang; Pätzold, Jürgen; Wefer, Gerold",1999,Stable oxygen and carbon isotopes of foraminifera from sediment core GeoB3202-1,PANGAEA,Dataset,,FALSE
pm2ISQ0UdOHwSaiUjPvnyn,3,https://doi.pangaea.de/10.1594/PANGAEA.114681,10.1594/pangaea.114681,,,,,,TRUE,datacite,"Sarnthein, Michael; van Kreveld, Shirley A; Erlenkeuser, Helmut; Grootes, Pieter Meiert; Kucera, Michal; Pflaumann, Uwe; Schulz, Michael",2003,(Table 1) Age determination of sediment cores GIK23258-2/-3,PANGAEA,Dataset,,FALSE
pm2ISQ0UdOHwSaiUjPvnyn,4,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1502-3885.2003.tb01227.x,10.1111/j.1502-3885.2003.tb01227.x,,,,,,TRUE,crossref,"SARNTHEIN, M.; VAN KREVELD, S.; ERLENKEUSER, H.; GROOTES, P. M.; KUCERA, M.; PFLAUMANN, U.; SCHULZ, M.",2003,"Centennial‐to‐millennial‐scale periodicities of Holocene climate and sediment injections off the western Barents shelf, 75°N",Boreas,journal-article,,FALSE
pm3TlsZhtQgVlvoO1PaIrq,1,10.1098/rstb.1995.0067,10.1098/rstb.1995.0067,,,,,,TRUE,crossref,"Labeyrie, L.; Vidal, L.; Cortijo, E.; Paterne, M.; Arnold, M.; Duplessy, J. C.; Vautravers, M.; Labracherie, M.; Duprat, J.; Turon, J. L.; Grousset, F.; van Weering, T.",1995,Surface and deep hydrology of the Northern Atlantic Ocean during the past 150000 years,Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,journal-article,,FALSE
pm3jowalxg9CVex4XLiCNq,4,https://doi.pangaea.de/10.1594/PANGAEA.465021,10.1594/pangaea.465021,,,,,,TRUE,datacite,"Voelker, Antje H L; Lebreiro, Susana Martin; Schönfeld, Joachim; Cacho, Isabel; Erlenkeuser, Helmut; Abrantes, Fatima F",2006,(Table 1) Age determination of sediment core MD99-2339,PANGAEA,Dataset,,FALSE
pm4OK6VcO1mQ9TB4W9ubO4,2,https://doi.pangaea.de/10.1594/PANGAEA.847823,10.1594/pangaea.847823,,,,,,TRUE,datacite,"McKay, Claire L; Filipsson, Helena L; Romero, Oscar E; Stuut, Jan-Berend W; Donner, Barbara",2014,(Table 1) AMS 14C dates and calibrated calendar dates of sediment core GeoB7926-2,PANGAEA,Dataset,,FALSE
pm5I7bvHj7sW7TOJgilQuq,2,https://doi.pangaea.de/10.1594/PANGAEA.833021,10.1594/pangaea.833021,,,,,,TRUE,datacite,"Kuhnert, Henning; Kuhlmann, Holger; Mohtadi, Mahyar; Meggers, Helge; Baumann, Karl-Heinz; Pätzold, Jürgen",2014,(Table 1) Radiometric ages of sediment core GeoB12605-3,PANGAEA,Dataset,,FALSE
pm6Momy7jPyoxVSQOGzJPf,2,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2000PA000502,10.1029/2000pa000502,,,,,,TRUE,crossref,"Cacho, Isabel; Grimalt, Joan O.; Canals, Miquel; Sbaffi, Laura; Shackleton, Nick J.; Schönfeld, Joachim; Zahn, Rainer",2001,"Variability of the western Mediterranean Sea surface temperature during the last 25,000 years and its connection with the Northern Hemisphere climatic changes",Paleoceanography,journal-article,,FALSE
pm7EpFrb2eas0rfpLF3HS0,2,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2005GL024093,10.1029/2005gl024093,,,,,,TRUE,crossref,"Saraswat, R.; Nigam, R.; Weldeab, S.; Mackensen, A.; Naidu, P. D.",2005,A first look at past sea surface temperatures in the equatorial Indian Ocean from Mg/Ca in foraminifera,Geophysical Research Letters,journal-article,,FALSE
pm7IH6F0NBSKWcWjOP0TQx,2,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2009PA001740,10.1029/2009pa001740,,,,,,TRUE,crossref,"Castañeda, Isla S.; Schefuß, Enno; Pätzold, Jürgen; Sinninghe Damsté, Jaap S.; Weldeab, Syee; Schouten, Stefan",2010,"Millennial-scale sea surface temperature changes in the eastern Mediterranean (Nile River Delta region) over the last 27,000 years",Paleoceanography,journal-article,,FALSE
pm7w452pIVzGEVu9xfXlnL,2,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2009PA001833,10.1029/2009pa001833,,,,,,TRUE,crossref,"Thornalley, David J. R.; Elderfield, Harry; McCave, I. Nick",2010,"Intermediate and deep water paleoceanography of the northern North Atlantic over the past 21,000 years",Paleoceanography,journal-article,,FALSE
pm9HhHbCgMTnO6T8R8ZOqm,2,https://doi.pangaea.de/10.1594/PANGAEA.965912,10.1594/pangaea.965912,,,,,,TRUE,datacite,"Singh, Arun Deo; Kroon, Dick; Ganeshram, Raja S; Anand, Pallavi",2024,Radiocarbon ages of sediment core SK17,PANGAEA,Dataset,,FALSE
pmAo7GTSCSF9tArW2CSpIq,3,doi.org/10.1594/PANGAEA.816862,10.1594/pangaea.816862,,,,,,TRUE,datacite,"Toucanne, Samuel; Zaragosi, Sebastien; Bourillet, Jean Francois; Cremer, Michel; Eynaud, Frédérique; van Vliet-Lanoe, B; Penaud, Aurélie; Fontanier, Christophe; Turon, Jean-Louis; Cortijo, Elsa; Gibbard, Philip L",2009,(Table 2) Age determination of sediments from the Bay of Biscay,PANGAEA,Dataset,,FALSE
pmAzx3I1b7vzEXhwrjcL59,2,https://doi.pangaea.de/10.1594/PANGAEA.726950,10.1594/pangaea.726950,,,,,,TRUE,datacite,"Broecker, Wallace S; Andree, Michael; Bonani, Georges; Wolfli, Willy; Klas, Mieczyslawa; Mix, Alan C; Oeschger, Hans",1988,(Table 3) Radiocarbon ages on coexisting planktonic foraminifera from sediment core KNR110-0082GGC,PANGAEA,Dataset,,FALSE
pmBPqGyevpTkHRZR5yo6MK,2,https://doi.pangaea.de/10.1594/PANGAEA.849322,10.1594/pangaea.849322,,,,,,TRUE,datacite,"Werner, Kirstin; Müller, Juliane; Husum, Katrine; Spielhagen, Robert F; Kandiano, Evgenia S; Polyak, Leonid",2015,Age determination on sediment core MSM05/5_723-2,PANGAEA,Dataset,,FALSE
pmBjJ73g3onnPqBe6EvGJn,3,https://doi.pangaea.de/10.1594/PANGAEA.57808,10.1594/pangaea.57808,,,,,,TRUE,datacite,"van Kreveld, Shirley A; Sarnthein, Michael; Erlenkeuser, Helmut; Grootes, Pieter Meiert; Jung, Simon J A; Pflaumann, Uwe; Voelker, Antje H L",2000,(Table 1a) Age determinations of sediment core SO82_5-2,PANGAEA,Dataset,,FALSE
pmDVHzkDIDLCU9CpeDK2qA,2,https://doi.pangaea.de/10.1594/PANGAEA.55568,10.1594/pangaea.55568,,,,,,TRUE,datacite,"Curry, William B; Oppo, Delia W",1999,(Table 1) Age determination of sediment core EW9209-1JPC,PANGAEA,Dataset,,FALSE
pmEm7TneiJlCaaCJaw4KCR,5,https://doi.pangaea.de/10.1594/PANGAEA.756415,10.1594/pangaea.756415,,,,,,TRUE,datacite,"Zarriess, Michelle; Johnstone, Heather J H; Prange, Matthias; Steph, Silke; Groeneveld, Jeroen; Mulitza, Stefan; Mackensen, Andreas",2011,Age determination of sediment core GeoB9526-5,PANGAEA,Dataset,,FALSE
pmFlHV0xAOMhv9CkOnF9Tz,3,https://doi.pangaea.de/10.1594/PANGAEA.833653,10.1594/pangaea.833653,,,,,,TRUE,datacite,"Ronge, Thomas A; Tiedemann, Ralf; Lamy, Frank; Köhler, Peter; Alloway, Brent V; De Pol-Holz, Ricardo; Pahnke, Katharina; Southon, John; Wacker, Lukas",2016,Radiocarbon datings on Globigerina bulloides of sediment core SO213/2_84-1,PANGAEA,Dataset,,FALSE
pmFlHV0xAOMhv9CkOnF9Tz,4,https://doi.pangaea.de/10.1594/PANGAEA.833660,10.1594/pangaea.833660,,,,,,TRUE,datacite,"Ronge, Thomas A; Tiedemann, Ralf; Lamy, Frank; Köhler, Peter; Alloway, Brent V; De Pol-Holz, Ricardo; Pahnke, Katharina; Southon, John; Wacker, Lukas",2016,Radiocarbon datings on benthic forminifera of sediment core SO213/2_84-1,PANGAEA,Dataset,,FALSE
pmG33HbWLwX44htzWebfeN,2,"10.1038/s41467-018-07076-2, 10.1002/2014GC005586",10.1038/s41467-018-07076-2,,,,,,TRUE,crossref,"Gebregiorgis, D.; Hathorne, E. C.; Giosan, L.; Clemens, S.; Nürnberg, D.; Frank, M.",2018,Southern Hemisphere forcing of South Asian monsoon precipitation over the past ~1 million years,Nature Communications,journal-article,,FALSE
pmGuXQZoixQgex9ipRZMwb,3,https://doi.pangaea.de/10.1594/PANGAEA.186488,10.1594/pangaea.186488,,,,,,TRUE,datacite,"Jung, Simon J A",2004,Radiocarbon age determinations on sediment core GIK17049-6,PANGAEA,Dataset,,FALSE
