dataSetName,datasetId,TSid,field_path,class,old_value,new_value
EasternEquatorialAmazon.GranatoSouza.2018,1BVULOfms9ukbUckkUoB,,Interpretation1_direction,only_old,,
BAP82-30BC.Harris.2025,1X5Um4RLaubaHJ4NeTQH,,Interpretation1_direction,only_old,,
NeuquenRiver.Mundo.2012,38YflFKxWz6CVSloNL0D,,Interpretation1_direction,only_old,,
ElJunco.Zhang.2014,5E6SEDAAEpI4Llv1TdfK,,Interpretation1_direction,only_old,,
ElJunco.Conroy.2008,7SumlqQmOTxvlEdbkmqk,,Interpretation1_direction,only_old,,
Palmyra.Sanchez.2020,7cMQD22Jg12wquYlnbvY,,Interpretation1_direction,only_old,,
EasternAmazonBasin.GuimaraesPereira.2025,8inVEw46fQ9vtT4t0roY,,Interpretation1_direction,only_old,,
MainRegion.Land.2019,9nvT9at1SMGIdevcHk0O,,Interpretation1_direction,only_old,,
Pomamanta.Rodriguez-Morata_2025,AYOtiRg3FBRvGBVc4bnu,,Interpretation1_direction,only_old,,
Smolikas.Esper.2021,AyQ5EC0YJnjd2ZPmT8pf,,Interpretation1_direction,only_old,,
Weinviertel.Karanitsch-Ackerl.2019,B3XLnbFojPvjvetUJ1WI,,Interpretation1_direction,only_old,,
SouthernAmazonBasin.Lopez.2017,BZ7buHntr34jW2NrrpZp,,Interpretation1_direction,only_old,,
Corsica.Esper.2022,CDvBphC8WVyUJecM95Z9,,Interpretation1_direction,only_old,,
Track,DQNXPoAMzaxQBUgeP5Jm,,Interpretation1_direction,only_old,,
Atlas.Esper.2007,E0gUHg8jrcrhgjzYMxX1,,Interpretation1_direction,only_old,,
InnValley.Oberhuber.2002,EYQVUivPyBfwbAKhry7C,,Interpretation1_direction,only_old,,
WCyprus.Griggs.2013,EzLImvSGlpKmY5xWxxCW,,Interpretation1_direction,only_old,,
Vietnam.Buckley.2010,FMJhUM9g564hj0yTTgqX,,Interpretation1_direction,only_old,,
NorthernPatagonia.Hadad.2021,I04f8Loq1VFyNj4uMcE8,,Interpretation1_direction,only_old,,
TacuaremboRiver.Lucas.2022,ITMvPnOqpSLCtJJvem1T,,Interpretation1_direction,only_old,,
NETurkey.MartinBenito.2016,JtV9mZbr5sohKxrzTZNd,,Interpretation1_direction,only_old,,
Caquellas.Morales.20121,JzEFTgw9gntS1qQZI676,,Interpretation1_direction,only_old,,
EsternAmazon.Granato-Souza.2020,K3drH0wQ5GyqtKk3XkAt,,Interpretation1_direction,only_old,,
Guallatire.Morales.2012,L60tah8OOGt9k5gt73Bo,,Interpretation1_direction,only_old,,
AguadeNieves.Humanes-Fuente.2020,L6tQfyYkjCveguv4Z4px,,Interpretation1_direction,only_old,,
Fanning.Sanchez.2020,LhxL2dEkeaXxA9ID0sRh,,Interpretation1_direction,only_old,,
NightcliffReef.Patterson.2023,LsIr2FsjrdSTxXYQIZGS,,Interpretation1_direction,only_old,,
Uturunco.Morales.2012,McwW73N6k9wItpjA5tkM,,Interpretation1_direction,only_old,,
Queniza.Morales.2012,Qc0zA4vIJhqzrl3jkNUH,,Interpretation1_direction,only_old,,
Zimbawe.Therrell.2006,RVlLKqVsiYDDwmvtUpMb,,Interpretation1_direction,only_old,,
Laduo.Cai.2026,RqKABxIfMRl9GIfyHjEl,,Interpretation1_direction,only_old,,
Rewalsar.Singh.2020,SVkYdQjui87HzAxHG2cd,,Interpretation1_direction,only_old,,
LakeBarrine.Sun.2023,TxHiWEzA0lRX5gQydgvo,,Interpretation1_direction,only_old,,
CentralAlps.Arosio.2025,U1A5uFuPCLBvVJkPIO19,,Interpretation1_direction,only_old,,
AndesPeru.Humanes-Fuente.2020,UAMrwlkobiRs63dSP3U2,,Interpretation1_direction,only_old,,
Kongtong.Fang.2012,W3PFPpYRUSmmRzSDrRDK,,Interpretation1_direction,only_old,,
Surire.Morales.2012,WFI0jK00NPzbCc2u0GUl,,Interpretation1_direction,only_old,,
BAM80-E17.Harris.2025,WIExJgJF9RYbv9PD3526,,Interpretation1_direction,only_old,,
NAegean.Griggs.2007,WXkkK0eoYhSlmu1b38At,,Interpretation1_direction,only_old,,
