file,key,value,disposition,remove
AB08MEN01.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AB08MEN01.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AB20MEN01.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AB20MEN01.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AB20MEN02.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AB20MEN02.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AB20MEN04.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AB20MEN04.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AB20MEN05.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AB20MEN05.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AB20MEN06.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AB20MEN06.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AB20MEN07.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AB20MEN07.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AguadeNieves.Humanes-Fuente.2020.lpd,Interpretation1_direction,,empty,TRUE
AguadeNieves.Humanes-Fuente.2020.lpd,Interpretation1_scope,,empty,TRUE
AguadeNieves.Humanes-Fuente.2020.lpd,Interpretation1_variableDetail,,empty,TRUE
AL16PUR01.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AL16PUR01.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
AL16PUR02.lpd,environmentInterpretation1_interpretationApplies,NA,duplicate,TRUE
AL16PUR02.lpd,environmentInterpretation2_interpretationApplies,NA,duplicate,TRUE
Altiplano.Morales.2012.lpd,Interpretation1_direction,,empty,TRUE
Altiplano.Morales.2012.lpd,Interpretation1_scope,,empty,TRUE
Altiplano.Morales.2012.lpd,Interpretation1_variableDetail,,empty,TRUE
Alumine.Hadad.2021.lpd,Interpretation1_direction,,empty,TRUE
Alumine.Hadad.2021.lpd,Interpretation1_scope,,empty,TRUE
