from,to,n_base,n_sheet,n_expected,n_compared,n_agree,n_differ,pct_agree,n_conflicts,compilation
0_0_1,0_0_2,39393,39483,40845,41008,36080,4928,87.98,0,hydroclimate2k
0_0_2,0_0_3,40845,41065,40933,41065,39459,1606,96.09,0,hydroclimate2k
0_0_3,0_0_4,40933,41151,29880,30012,28623,1389,95.37,0,hydroclimate2k
0_0_4,0_0_5,29880,29991,30525,30525,28770,1755,94.25,0,hydroclimate2k
0_0_5,0_1_0,30525,29991,32839,32839,24999,7840,76.13,0,hydroclimate2k
0_1_0,0_2_0,32839,32993,32567,32670,30703,1967,93.98,0,hydroclimate2k
0_2_0,0_2_1,32567,32670,122660,122660,31096,91564,25.35,0,hydroclimate2k
0_2_1,0_2_2,122660,122660,122660,122660,113832,8828,92.8,0,hydroclimate2k
0_2_2,0_2_3,122660,122660,122529,122660,118372,4288,96.5,0,hydroclimate2k
0_2_3,0_2_4,122529,122660,122678,122678,112269,10409,91.52,0,hydroclimate2k
0_2_4,0_2_5,122678,128425,109313,109313,104154,5159,95.28,0,hydroclimate2k
0_2_5,0_2_6,109313,114615,122678,122678,104177,18501,84.92,0,hydroclimate2k
0_2_6,0_2_7,122678,122488,598745,600877,105150,495727,17.5,0,hydroclimate2k
0_2_7,0_3_0,598745,666639,91147,95282,89174,6108,93.59,0,hydroclimate2k
0_3_0,0_4_0,91147,103598,94298,96907,90652,6255,93.55,0,hydroclimate2k
