family,term,suggested_category,suggested_canonical,suggested_scope,decision,canonical_if_synonym,nick_notes,rationale,note,aliases,alias_n_filled,alias_compilations,in_convo,ts_name,convo_type,same_across_dataset,n_compilations,ubiquity,compilations,n_filled,fill_rate,max_distinct,n_shared_tsids,n_conflict,n_conflict_subst,conflict_rate,example_values
paleoData_description,paleoData_description,review,,,,,,used by 3/18 compilations; in convo,,description,,,TRUE,,,,3,0.17,GBRCD;hydroclimate2k;iso2k,6528,0.908,202,,,,,
pub*_citation,pub1_citation,review,,,,,,used by 3/18 compilations; in convo,1 substantive cross-compilation conflicts,,6837,GBRCD;hydroclimate2k;iso2k,TRUE,pub1_citation,character,TRUE,3,0.17,GBRCD;hydroclimate2k;iso2k,6837,0.951,431,715,2,1,0.0028,"Alibert, C., Kinsley, L., Fallon, S.J., McCulloch, M.T., Berkelmans, R. & McAllister, F. (2003), 'Source of trace element variability in Great Barrier Reef corals affected by the Burdekin flood plumes', Geochimica et Cosmochimica Acta, 67 (2), 231-246, 10.1016/S0016-7037(02)01055-4. | Arzey, A.K., McGregor, H.V., Clark, T.R., Webster, J.M., Lewis, S.E., Mallela, J., McKay, N.P., Fahey, H.W., Chakraborty, S., Razak, T.B. & Fischer, M.J. (2024), 'Coral skeletal proxy records database for the Great Barrier Reef, Australia', Earth System Science Data, 16 (10), 4869-4930, 10.5194/essd-16-4869-2024. | Brenner, L.D., Linsley, B.K. & Potts, D.C. (2017), 'A modern Sr/Ca-δ18O-sea surface temperature calibration for Isopora corals on the Great Barrier Reef', Paleoceanography, 32 (2), 182-194, 10.1002/2016pa002973. | Calvo, E., Marshall, J.F., Pelejero, C., McCulloch, M.T., Gagan, M.K. & Lough, J.M. (2007), 'Interdecadal climate variability in the Coral Sea since 1708 A.D', Palaeogeography, Palaeoclimatology, Palaeoecology, 248 (1-2), 190-201, 10.1016/j.palaeo.2006.12.003."
pub*_citation,pub2_citation,review,,,,,,used by 3/18 compilations; in convo,,,3403,GBRCD;hydroclimate2k;iso2k,TRUE,pub2_citation,character,TRUE,3,0.17,GBRCD;hydroclimate2k;iso2k,3403,0.474,99,214,0,0,0,"Alibert, C. & McCulloch, M.T. (1997), 'Strontium/calcium ratios in modern Porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO', Paleoceanography, 12 (3), 345-363, 10.1029/97PA00318. | Chakraborty, S., Ramesh, R. & Lough, J.M. (2000), 'Effect of intraband variability on stable isotope and density time series obtained from banded corals', Journal of Earth System Science, 109, no. 1, 145-151, 10.1007/BF02719158. | Wang, Z., Li, J., Wei, G., Deng, W., Chen, X., Zeng, T., Wang, X., Ma, J., Zhang, L., Tu, X., Wang, Q. & McCulloch, M. (2019), 'Biologically controlled Mo isotope fractionation in coral reef systems', Geochimica et Cosmochimica Acta, 262, 128-142, 10.1016/j.gca.2019.07.037. | Chen, X., Deng, W., Kang, H., Zeng, T., Zhang, L., Zhao, J.-x. & Wei, G. (2021), 'A Replication Study on Coral δ11B and B/Ca and Their Variation in Modern and Fossil Porites: Implications for Coral Calcifying Fluid Chemistry and Seawater pH Changes Over the Last Millennium', Paleoceanography and Paleoclimatology, 36 (10), e2021PA004319, 10.1029/2021PA004319."
additionalDataUrl,additionalDataUrl,compilation,,,,,,only CoralHydro2k; in convo but unadopted,,,72,CoralHydro2k,TRUE,additionalDataUrl,character,TRUE,1,0.06,CoralHydro2k,72,0.237,22,,,,,https://www.ncdc.noaa.gov/paleo/study/32392 | https://agupubs.onlinelibrary.wiley.com/doi/suppl/10.1002/2018GL077619 | Information is also available in the supplemental information of Xiao et al. 2017 (doi: 10.1016/j.jseaes.2016.12.012) | https://www.ncdc.noaa.gov/paleo/study/16217
calibration_datasetRange,calibration_datasetRange,compilation,,,,,,only GBRCD; in convo but unadopted,,,276,GBRCD,TRUE,calibration_datasetRange,character,FALSE,1,0.06,GBRCD,276,0.23,59,,,,,1990-1993 | 1988-1993 | 1973-1976 | 1971-1976
calibration_equationIntercept,calibration_equationIntercept,compilation,,,,,,only GBRCD; in convo but unadopted,,,109,GBRCD,TRUE,calibration_equationIntercept,character,FALSE,1,0.06,GBRCD,109,0.091,57,,,,,10.46 | 10.29 | 0.65 | 11.37
calibration_equationSlope,calibration_equationSlope,compilation,,,,,,only GBRCD; in convo but unadopted,,,109,GBRCD,TRUE,calibration_equationSlope,character,FALSE,1,0.06,GBRCD,109,0.091,50,,,,,-0.06 | -0.0537 | -0.185 | -0.083
calibration_equationSlopeUncertainty,calibration_equationSlopeUncertainty,compilation,,,,,,only GBRCD; in convo but unadopted,,,93,GBRCD,TRUE,calibration_equationSlopeUncertainty,character,FALSE,1,0.06,GBRCD,93,0.078,26,,,,,0.001 | 6.00E-04 | 0.014 | 0.007
calibration_gbrCentredEquationNotes,calibration_gbrCentredEquationNotes,compilation,,,,,,only GBRCD; in convo but unadopted,,,20,GBRCD,TRUE,calibration_gbrCentredEquationNotes,character,FALSE,1,0.06,GBRCD,20,0.017,3,,,,,RMA; SrCa = 1.56 - 0.061 * SST; r2 = 0.5929; d18O = 4.66-0.184*SST; r2 = 0.4489 | Method NA; SrCa = -0.0615*SST; r2 = NA; UCa =- 0.00223*SST; r2 = NA | WLS; SrCa slope = -0.048; SrCa slope uncertainty = 0.0001; r2= 0.65
calibration_notes,calibration_notes,compilation,,,,,,only GBRCD; in convo but unadopted,,,1129,GBRCD,TRUE,calibration_notes,character,FALSE,1,0.06,GBRCD,1129,0.942,36,,,,,"No calibration applied. | Centred SrCa-SST and d18O-SST RMA equations available in paper were the author preferred option. | Combined equation from this study (fit period 1986-1988), Alibert & McCulloch (1997), Gagan et al. (1998) and Marshall & McCulloch (2002). | Calibration based on data and age model from Chakraborty et al. (2000); calibration may not align with archived data."
calibration_targetDataset,calibration_targetDataset,compilation,,,,,,only GBRCD; in convo but unadopted,,,268,GBRCD,TRUE,calibration_targetDataset,character,FALSE,1,0.06,GBRCD,268,0.224,22,,,,,AIMS in situ logger | GBRMPA in situ loggers averaged and blended | ERSST v3b | HadISST1.1
climateInterpretation*_basis,climateInterpretation1_basis,compilation,,,,,,only hydroclimate2k;RapidArcticWarming; in convo but unadopted,,basis,,,TRUE,,,,2,0.11,hydroclimate2k;RapidArcticWarming,442,0.049,175,,,,,
climateInterpretation*_basis,climateInterpretation2_basis,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,17,hydroclimate2k,TRUE,climateInterpretation2_basis,character,FALSE,1,0.06,hydroclimate2k,17,0.003,11,,,,,High elevation snowfall is the primary control on the d18O of groundwater and this lake. | Summer air temperature and its effects on relative humidity control evaporation rates | The amount of high elevation snowfall is the primary control on the d18O of groundwater and this lake. | ...shows distinct episodes of relatively cool and wet as well as warmer and drier climates over the last 4200 years.
climateInterpretation*_direction,climateInterpretation2_direction,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,17,hydroclimate2k,TRUE,climateInterpretation2_direction,character,FALSE,1,0.06,hydroclimate2k,17,0.003,2,,,,,negative | positive
climateInterpretation*_dynamical,climateInterpretation1_dynamical,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,dynamicalSystem,,,TRUE,,,,1,0.06,hydroclimate2k,11,0.002,8,,,,,
climateInterpretation*_seasonality,climateInterpretation2_seasonality,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,17,hydroclimate2k,TRUE,climateInterpretation2_seasonality,character,FALSE,1,0.06,hydroclimate2k,17,0.003,9,,,,,Nov-April | Apr-Sep | Apri-Oct | Annual
climateInterpretation*_variable,climateInterpretation2_variable,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,17,hydroclimate2k,TRUE,climateInterpretation2_variable,character,FALSE,1,0.06,hydroclimate2k,17,0.003,7,,,,,Precipitation amount | Air Temperature | Precipitation | effectivePrecipitation
climateInterpretation*_variableDetail,climateInterpretation2_variableDetail,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,7,hydroclimate2k,TRUE,climateInterpretation2_variableDetail,character,FALSE,1,0.06,hydroclimate2k,7,0.001,4,,,,,air@surface | @surface | surface temperature | atmospheric surface temperature
collectionYear,collectionYear,compilation,,,,,,only GBRCD; in convo but unadopted,,,1102,GBRCD,TRUE,collectionYear,character,TRUE,1,0.06,GBRCD,1102,0.919,59,,,,,1993-10 | 1998-10 | 1988 | 2012-05
distinctYearsInCommonEra,distinctYearsInCommonEra,compilation,,,,,,only hydroclimate2k; not in convo,,,4738,hydroclimate2k,FALSE,,,,1,0.06,hydroclimate2k,4738,0.956,372,,,,,209 | 131 | 88 | 75
dynamicalSystemBasis,dynamicalSystemBasis,compilation,,,,,,only hydroclimate2k; not in convo,,,9,hydroclimate2k,FALSE,,,,1,0.06,hydroclimate2k,9,0.002,9,,,,,"Higher streamflow is associated with preferred modes of atmospheric circulation. For the southwestern United States, this preferred mode is similar to the positive, or warm phase of the Pacific Decadal Oscillation; total sand records a combination of local (i.e. lake level/discharge) and regional (i.e. PDO-related) climate variability | Mountain precipitation is lower in d18O and higher in amount during positive phases of ENSO and PDO due to intensified long-distance southerly vapor transport and topographic rainout. | Higher mountain precipitation amounts are lower in d18O with intensified long-distance southerly flow and topographic rainout during positive phases of ENSO and PDO. | In this region, ENSO/PDO is a primary control of winter snowfall whereas the NAM is a primary control of summer rainfall."
dynamicalSystemDirection,dynamicalSystemDirection,compilation,,,,,,only hydroclimate2k; not in convo,,,10,hydroclimate2k,FALSE,,,,1,0.06,hydroclimate2k,10,0.002,4,,,,,positive | negative | non-stationary | Positive
