family,term,suggested_category,suggested_canonical,suggested_scope,decision,canonical_if_synonym,nick_notes,rationale,note,aliases,alias_n_filled,alias_compilations,in_convo,ts_name,convo_type,same_across_dataset,n_compilations,ubiquity,compilations,n_filled,fill_rate,max_distinct,n_shared_tsids,n_conflict,n_conflict_subst,conflict_rate,example_values
environmentInterpretation*_basis,environmentInterpretation1_basis,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,34,hydroclimate2k,TRUE,environmentInterpretation1_basis,character,FALSE,1,0.06,hydroclimate2k,34,0.007,27,,,,,"dark layers are formed during arid periods when reduced Ca2+ input from groundwater leads to a decline in aragonite precipitation | In Castor Lake the δ18O of aragonite primarily reflects lake water δ18O and hence the P/E influencing the system at the time of mineral formation. Most aragonite precipitates at similar temperatures during summer months, minimizing the influence of water temperature variations. | Seasonality 'summer-to-early-fall' (NH) | grain size reflect changes in run-off dynamics as coupled to changes in atmospheric circulation (i.e. climate)"
environmentInterpretation*_basis,environmentInterpretation2_basis,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,15,hydroclimate2k,TRUE,environmentInterpretation2_basis,character,FALSE,1,0.06,hydroclimate2k,15,0.003,11,,,,,pollen evidence and increase in sedimentation rate at 250 BCE-225 CE | The combined fractionation factors of calcite formation in lake water (~-0.25‰/˚C) and the average relation between precipiation-d18O and surface temperature (+0.3 to 0.6‰). | Watershed erosion goes down and brings less lithogenic material into the lake to dilute the %OM when vegetation is denser | Watershed erosion goes up and brings more lithogenic material into the lake when vegetation is less dense
environmentInterpretation*_direction,environmentInterpretation1_direction,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,730,hydroclimate2k,TRUE,environmentInterpretation1_direction,character,FALSE,1,0.06,hydroclimate2k,730,0.147,5,,,,,positive | negative | Positive | Negative
environmentInterpretation*_direction,environmentInterpretation2_direction,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,73,hydroclimate2k,TRUE,environmentInterpretation2_direction,character,FALSE,1,0.06,hydroclimate2k,73,0.015,3,,,,,negative | positive | increase
environmentInterpretation*_seasonality,environmentInterpretation1_seasonality,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,498,hydroclimate2k,TRUE,environmentInterpretation1_seasonality,character,FALSE,1,0.06,hydroclimate2k,498,0.1,36,,,,,subannual | Annual | Jun-Aug | Dec-Feb
environmentInterpretation*_seasonality,environmentInterpretation2_seasonality,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,16,hydroclimate2k,TRUE,environmentInterpretation2_seasonality,character,FALSE,1,0.06,hydroclimate2k,16,0.003,2,,,,,annual | sub-annual
environmentInterpretation*_variable,environmentInterpretation1_variable,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,809,hydroclimate2k,TRUE,environmentInterpretation1_variable,character,FALSE,1,0.06,hydroclimate2k,809,0.163,34,,,,,seawaterIsotope | sea surface temperature | effectivePrecipitation | precipitationIsotope
environmentInterpretation*_variable,environmentInterpretation2_variable,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,91,hydroclimate2k,TRUE,environmentInterpretation2_variable,character,FALSE,1,0.06,hydroclimate2k,91,0.018,17,,,,,temperature | anthropogenic disturbance | Temperature of lake water and atmospheric vapor condensation | precipitationIsotope
gbrCompositeCalibrationList,gbrCompositeCalibrationList,compilation,,,,,,only GBRCD; in convo but unadopted,,,85,GBRCD,TRUE,gbrCompositeCalibrationList,character,TRUE,1,0.06,GBRCD,85,0.071,13,,,,,"HER-1F; HER-13; GBR-538; GBR-637 ; GBR641A | KMN-03B-01, BRO-01A-02, BRT-01A-03, BRT-01B-01, HAV-01A-02, PAN-08B-02, GPI-02A-01, LOD-01A-01 | Havannah; Pandora | ACH01A; BRO01A; CID01A; CNR01B; COO01E; DUN02A; GPI02A; HAV01A; HKO01B; HMP01B; LUP01C; MAG01D; NOR01B; NMI01B; PAN07B; SMI01C; SNH01A"
gbrCoreIDOtherStudyList,gbrCoreIDOtherStudyList,compilation,,,,,,only GBRCD; in convo but unadopted,,,519,GBRCD,TRUE,gbrCoreIDOtherStudyList,character,TRUE,1,0.06,GBRCD,519,0.433,63,,,,,Fallon (2000); Fallon et al. (2003) | Alibert and McCulloch (1997); Fallon (2000); Fallon et al. (2003) | Chakraborty (1993); Chakraborty et al. (2000) | Linsley et al. (2019)
gbrHasAlternateCalibration,gbrHasAlternateCalibration,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,gbrHasAlternateCalibration,character,TRUE,1,0.06,GBRCD,1199,1,2,,,,,FALSE | TRUE
gbrIsCompositeCalibration,gbrIsCompositeCalibration,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,gbrIsCompositeCalibration,character,TRUE,1,0.06,GBRCD,1199,1,2,,,,,FALSE | TRUE
gbrIsCoreIDOtherStudy,gbrIsCoreIDOtherStudy,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,gbrIsCoreIDOtherStudy,character,TRUE,1,0.06,GBRCD,1199,1,2,,,,,TRUE | FALSE
gbrIsSstCalibration,gbrIsSstCalibration,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,gbrIsSstCalibration,character,TRUE,1,0.06,GBRCD,1199,1,2,,,,,TRUE | FALSE
gbrUseSstCalibration,gbrUseSstCalibration,compilation,,,,,,only GBRCD; in convo but unadopted,,,1199,GBRCD,TRUE,gbrUseSstCalibration,character,TRUE,1,0.06,GBRCD,1199,1,2,,,,,TRUE | FALSE
geo_area,geo_area,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,80,hydroclimate2k,TRUE,geo_area,character,TRUE,1,0.06,hydroclimate2k,80,0.016,13,,,,,1571 m2 | 0.07 km2 | 0.18 km2 | 115 km2
geo_basinType,geo_basinType,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,114,hydroclimate2k,TRUE,geo_basinType,character,TRUE,1,0.06,hydroclimate2k,114,0.023,9,,,,,closed | open groundwater lake | Closed groundwater lake | open
geo_depthCoring,geo_depthCoring,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,85,hydroclimate2k,TRUE,geo_depthCoring,character,TRUE,1,0.06,hydroclimate2k,85,0.017,14,,,,,7 m | 11.6m | 4.5m | 3.1m
geo_depthMax,geo_depthMax,compilation,,,,,,only hydroclimate2k; in convo but unadopted,,,70,hydroclimate2k,TRUE,geo_depthMax,character,TRUE,1,0.06,hydroclimate2k,70,0.014,20,,,,,13 m | <10 m | 3.6m | 1.5m
geo_location,geo_location,compilation,,,,,,only GBRCD; in convo but unadopted,,,216,GBRCD,TRUE,geo_location,character,TRUE,1,0.06,GBRCD,216,0.18,8,,,,,"Heron Island Reef | Geoffrey Bay | Pete's Bay, One Tree Island Lagoon | Iris Point"
geo_notes,geo_notes,compilation,,,,,,only GBRCD; in convo but unadopted,,,1053,GBRCD,TRUE,geo_notes,character,TRUE,1,0.06,GBRCD,1053,0.878,125,,,,,"GPS coordinates offset from Davies Reef. Reef located -18.82, 147.64 for reef from 'Reefs and shoals – Queensland' geodatabase. Upper surface 3.1 m below low tide mark. | GPS coordinates offset from Pandora Reef. Reef located at -18.813, 146.433 from 'Reefs and shoals – Queensland' geodatabase. | Latitude and longitude inferred for reef from 'Reefs and shoals – Queensland' geodatabase. | Latitude and longitude supplied by J. Mallela. Top of colony water depth 0.5 m and bottom of colony 1.7 m."
geo_ocean,geo_ocean,compilation,,,,,,only CoralHydro2k; in convo but unadopted,,ocean,,,TRUE,,,,1,0.06,CoralHydro2k,304,1,5,,,,,
geo_ocean2,geo_ocean2,compilation,,,,,,only CoralHydro2k; in convo but unadopted,,ocean2,,,TRUE,,,,1,0.06,CoralHydro2k,100,0.329,6,,,,,
geo_secondarySiteName,geo_secondarySiteName,compilation,,,,,,only CoralHydro2k; in convo but unadopted,,secondarySiteName,,,TRUE,,,,1,0.06,CoralHydro2k,197,0.648,56,,,,,
hasChron,hasChron,compilation,,,,,,only iso2k; in convo but unadopted,,Has chronology data,,,TRUE,,,,1,0.06,iso2k,1031,1,2,,,,,
hasDepth,hasDepth,compilation,,,,,,only iso2k; in convo but unadopted,,Has paleo depth data,,,TRUE,,,,1,0.06,iso2k,1031,1,2,,,,,
hasResolution_nominal,hasResolution_nominal,compilation,,,,,,only CoralHydro2k; in convo but unadopted,,nominalResolution,,,TRUE,,,,1,0.06,CoralHydro2k,285,0.938,11,,,,,
interpretationApplies,interpretationApplies,compilation,,,,,,only hydroclimate2k; not in convo,,,1,hydroclimate2k,FALSE,,,,1,0.06,hydroclimate2k,1,0,1,,,,,3ka to present
isotopeInterpretation*_basis,isotopeInterpretation1_basis,compilation,,,,,,only iso2k; in convo but unadopted,,,601,iso2k,TRUE,isotopeInterpretation1_basis,character,FALSE,1,0.06,iso2k,601,0.583,254,,,,,"precipitation occurs in closest proximity to the bulk of global cloud formation and its dD values are most influenced by its amount. dD values de- crease as precipitation amount increases (Risi et al., 2008). Additional factors shape the dD values of fatty acids in land-plants as well but their consideration below suggests that our dDn-C26 sequences were unambiguously if qualita- tively reflecting changes in amount of precipitation. | The coral 18O record from this site reflects primarily SST; a linear regression of coral 18O versus SST yields a slope of 0.24 per mil (a€°) 18O per 1A°C, explaining 47% of the SST variance (20). | The availability of instrumental climate data allow the comparison with the coral signal and supports the interpretation of reconstructed past temperature anomalies. The use of air temperatures is justified by the strong long-term correspondence between Bermuda SST (COADS) of a 2 latitude by 2 longitude area and Bermuda air temperature during a 40-year period. | This tracer responds to water temperature through a temperature- dependent fractionation [~ -0.2 permil d18O/degree C (19, 20)], as well as to changes in rainfall, due to the influence of isotopically light (more negative d18O) rainfall on surface ocean composition. Because SST and rainfall are intimately linked in tropical areas of strong convective rainfall such as the western equatorial Pacific, the two factors combine to produce an enhanced climatic signal in coral skeletal d18O."
isotopeInterpretation*_basis,isotopeInterpretation2_basis,compilation,,,,,,only iso2k; in convo but unadopted,,,159,iso2k,TRUE,isotopeInterpretation2_basis,character,FALSE,1,0.06,iso2k,159,0.154,71,,,,,"Plant to plant differences in fractionations between dD values of n-alkyl compounds and their precipitation source may introduce the greatest error in interpreting rainfall amount. | additional variability in coral 18O may arise from vari- ations in the 18O of seawater due to precip- itation, evaporation, or runoff, but at this site these changes are likely to be secondary be- cause local rainfall 18O is not strongly de- pleted from average seawater (21) and salin- ity gradients are small (22). Rainfall and SST influences are likely to be additive in terms of annual effect on coral 18O because warmer years tend to be wetter at this site. | the salinity effect on the isotopic pool of the ambient seawater is considered a negligible background signal and variations in coral d18O can be attributed to be primarily driven by changes in SST. | SSS linked to rainfall"
isotopeInterpretation*_basis,isotopeInterpretation3_basis,compilation,,,,,,only iso2k; in convo but unadopted,,,77,iso2k,TRUE,isotopeInterpretation3_basis,character,FALSE,1,0.06,iso2k,77,0.075,8,,,,,"Salinity_water (mostly P-E) | Permanent anoxia in the subsurface water confines phytoplankton, dominated by dinoflagellates and diatoms24, to the oxygenated, brackish and deuterium-depleted surface water where their lipid dD values can be expected to closely co-vary with the surface water dDvalues25,26. dD values of that water are controlled by the amount of rainfall, its isotopic composition and the amount of mixing with the underlying sea water. As rain also increases the density stratification in the lakes, decreasing mixing, surface water dD values are expected to be significantly lower during wet periods compared with dry periods.  Zhang and Sachs 2007, Organic Geochemistry, 38: 582-608. | Secondly, plant community changes in the catchment (or other ecological changes) may influence the dD record. Vegetation changes could reasonably have an influence on the mean catchment ewax/precip that lasts for decades, so this mecha- nism might operate too slowly to explain sample-to-sample vari- ability in the sediment, although it may contribute to the multi- decadal variability. We observed abundance variation in homo- logues downcore (Fig. 5), which could be consistent with ecological changes influencing dD values; however, the non-unique chain length distributions of different plant species (Bush and McIner- ney, 2013) make it impossible to draw unique solutions here. | While the isotopic composition of precipitation appears to be the primary control on the structure of the LT ?Dwax record, it is clear that secondary effects also contribute to this signal. Most notably, the much larger range at LT (102h) than at Illimani (58h) over the past 19 kyr suggests the influence of compounding effects on LT ?Dwax, such as decreased regional precipitation, resulting in a more enriched ?Dp, and low local humidity, which would tend to further enrich plant source water by soil water evaporation and/or leaf transpiration. Since such local evapotranspiration feedbacks would be expected to act in step with ?Dp changes, this would serve to amplify the ?Dwax signal and increase its sensitivity to ?Dp variability."
isotopeInterpretation*_coefficient,isotopeInterpretation1_coefficient,compilation,,,,,,only iso2k; in convo but unadopted,,,6,iso2k,TRUE,isotopeInterpretation1_coefficient,numeric,FALSE,1,0.06,iso2k,6,0.006,5,,,,,0.58 | -0.2 | -0.209 | 1.973
isotopeInterpretation*_direction,isotopeInterpretation1_direction,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,1299,hydroclimate2k;iso2k,TRUE,isotopeInterpretation1_direction,character,FALSE,2,0.11,hydroclimate2k;iso2k,1299,0.217,5,554,0,0,0,positive | negative | decrease
isotopeInterpretation*_direction,isotopeInterpretation2_direction,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,400,hydroclimate2k;iso2k,TRUE,isotopeInterpretation2_direction,character,FALSE,2,0.11,hydroclimate2k;iso2k,400,0.067,9,175,0,0,0,negative | positive | postive | increase
isotopeInterpretation*_direction,isotopeInterpretation3_direction,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,135,hydroclimate2k;iso2k,TRUE,isotopeInterpretation3_direction,character,FALSE,2,0.11,hydroclimate2k;iso2k,135,0.023,4,57,0,0,0,"negative | depends on plant type | positive | positive (more mixing, higher d2H in surface waters)"
isotopeInterpretation*_fraction,isotopeInterpretation1_fraction,compilation,,,,,,only iso2k; in convo but unadopted,,,14,iso2k,TRUE,isotopeInterpretation1_fraction,numeric,FALSE,1,0.06,iso2k,14,0.014,11,,,,,0.47 | 0.81 | 0.5 | 0.6
isotopeInterpretation*_fraction,isotopeInterpretation2_fraction,compilation,,,,,,only iso2k; in convo but unadopted,,,4,iso2k,TRUE,isotopeInterpretation2_fraction,numeric,FALSE,1,0.06,iso2k,4,0.004,4,,,,,0.5 | 0.22 | 0.29 | 0
isotopeInterpretation*_mathematicalRelation,isotopeInterpretation1_mathematicalRelation,compilation,,,,,,only iso2k; in convo but unadopted,,,544,iso2k,TRUE,isotopeInterpretation1_mathematicalRelation,character,FALSE,1,0.06,iso2k,544,0.528,7,,,,,linear | linear (MLR) | depends on the source area and transport path to the study site | nonlinear
isotopeInterpretation*_mathematicalRelation,isotopeInterpretation2_mathematicalRelation,compilation,,,,,,only iso2k; in convo but unadopted,,,172,iso2k,TRUE,isotopeInterpretation2_mathematicalRelation,character,FALSE,1,0.06,iso2k,172,0.167,7,,,,,linear | linear (MLR) | depends on which season provides source moisture for plants | nonlinear
isotopeInterpretation*_mathematicalRelation,isotopeInterpretation3_mathematicalRelation,compilation,,,,,,only iso2k; in convo but unadopted,,,66,iso2k,TRUE,isotopeInterpretation3_mathematicalRelation,character,FALSE,1,0.06,iso2k,66,0.064,2,,,,,Sr/Ca avaiable for select intervals | linear
isotopeInterpretation*_rank,isotopeInterpretation1_rank,compilation,,,,,,only iso2k; in convo but unadopted,,,579,iso2k,TRUE,isotopeInterpretation1_rank,numeric,FALSE,1,0.06,iso2k,579,0.562,2,,,,,1 | 2
isotopeInterpretation*_rank,isotopeInterpretation2_rank,compilation,,,,,,only iso2k; in convo but unadopted,,,203,iso2k,TRUE,isotopeInterpretation2_rank,numeric,FALSE,1,0.06,iso2k,203,0.197,2,,,,,2 | 1
isotopeInterpretation*_rank,isotopeInterpretation3_rank,compilation,,,,,,only iso2k; in convo but unadopted,,,24,iso2k,TRUE,isotopeInterpretation3_rank,numeric,FALSE,1,0.06,iso2k,24,0.023,2,,,,,3 | 1
isotopeInterpretation*_seasonality,isotopeInterpretation1_seasonality,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,1151,hydroclimate2k;iso2k,TRUE,isotopeInterpretation1_seasonality,character,FALSE,2,0.11,hydroclimate2k;iso2k,1151,0.192,37,515,0,0,0,subannual | Annual | Jun-Aug | Dec-Feb
isotopeInterpretation*_seasonality,isotopeInterpretation2_seasonality,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,181,hydroclimate2k;iso2k,TRUE,isotopeInterpretation2_seasonality,character,FALSE,2,0.11,hydroclimate2k;iso2k,181,0.03,10,70,0,0,0,Wet Season | Winter | Summer | Spring
isotopeInterpretation*_seasonality,isotopeInterpretation3_seasonality,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,117,hydroclimate2k;iso2k,TRUE,isotopeInterpretation3_seasonality,character,FALSE,2,0.11,hydroclimate2k;iso2k,117,0.02,3,51,0,0,0,Summer | Annual | May-Oct
isotopeInterpretation*_variable,isotopeInterpretation1_variable,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,1325,hydroclimate2k;iso2k,TRUE,isotopeInterpretation1_variable,character,FALSE,2,0.11,hydroclimate2k;iso2k,1325,0.221,11,556,0,0,0,seawaterIsotope | temperature | effectivePrecipitation | precipitationIsotope
isotopeInterpretation*_variable,isotopeInterpretation2_variable,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,459,hydroclimate2k;iso2k,TRUE,isotopeInterpretation2_variable,character,FALSE,2,0.11,hydroclimate2k;iso2k,459,0.077,12,196,0,0,0,temperature | seawaterIsotope | precipitationIsotope | groundWaterIsotope
isotopeInterpretation*_variable,isotopeInterpretation3_variable,compilation,,,,,,only hydroclimate2k;iso2k; in convo but unadopted,,,99,hydroclimate2k;iso2k,TRUE,isotopeInterpretation3_variable,character,FALSE,2,0.11,hydroclimate2k;iso2k,99,0.017,8,12,0,0,0,temperature | groundWaterIsotope | relativeHumidity | precipitation
