dataSetName,datasetId,TSid,field_path,class,old_value,new_value
TourbieredeSantaAnna.EPD,0TMhxiEqTfJDzhnYjgl8,RqT400awLAh,paleoData.inCompilation,only_old,Tverse,
TourbieredeSantaAnna.EPD,0TMhxiEqTfJDzhnYjgl8,RrmKrnG5oF2,paleoData.inCompilation,only_old,Tverse,
TourbieredeSantaAnna.EPD,0TMhxiEqTfJDzhnYjgl8,Rvvz8itcA42,paleoData.inCompilation,only_old,Tverse,
VitoshaMountainsPeatBog.EPD,1yRx9T7htVJrFLhq3J6a,RTeYtbDGOGe,paleoData.inCompilation,only_old,Tverse,
VitoshaMountainsPeatBog.EPD,1yRx9T7htVJrFLhq3J6a,RgdeBeLMjxA,paleoData.inCompilation,only_old,Tverse,
VitoshaMountainsPeatBog.EPD,1yRx9T7htVJrFLhq3J6a,Rp3NSN3Cos5,paleoData.inCompilation,only_old,Tverse,
MV1014_07MC,21ylNa4QaJvTSNb8K5bp,T2L_MV1014_07MC_tex86_SST_from_tex86,paleoData.inCompilation,only_old,Tverse,
O2kLR-Tagusmudpatc.Abrantes.2005,3evwI3IiVuzEGolloxWM,LPD1028d531xxx,paleoData.inCompilation,only_old,Tverse,
GeoB10069-3.Gibbons.2014,6c3KNQmoE2OAYaPCGmVg,LPD78bb3782,paleoData.inCompilation,only_old,Tverse,
GeoB3911_3,6fzEsp0uhFMPSsqJHZFr,T2L_GeoB3911_3_d18o_ruber_pink_SST_from_d18o_ruber_pink,paleoData.inCompilation,only_old,Tverse,
GeoB3911_3,6fzEsp0uhFMPSsqJHZFr,T2L_GeoB3911_3_d18o_sacculifer_SST_from_d18o_sacculifer,paleoData.inCompilation,only_old,Tverse,
MD03_2697,8l2HhRLHzYQaOHPaYxHx,T2L_MD03_2697_d18o_bulloides_SST_from_d18o_bulloides,paleoData.inCompilation,only_old,Tverse,
SK168_GC1,95UTC9MBs4wTfesCooCS,T2L_SK168_GC1_d18o_sacculifer_SST_from_d18o_sacculifer,paleoData.inCompilation,only_old,Tverse,
SK168_GC1,95UTC9MBs4wTfesCooCS,T2L_SK168_GC1_mgca_sacculifer_SST_from_mgca_sacculifer,paleoData.inCompilation,only_old,Tverse,
MV99_GC41,9PVPILRfUkLylVZf5RNk,T2L_MV99_GC41_mgca_bulloides_SST_from_mgca_bulloides,paleoData.inCompilation,only_old,Tverse,
RC24_11G,ALDweL5C8QF0w646efRs,T2L_RC24_11G_d18o_ruber_SST_from_d18o_ruber,paleoData.inCompilation,only_old,Tverse,
PicodelSertal.EPD,BIm7SxyEEOGfWHRQdm0M,RC8UhJSN4xp,paleoData.inCompilation,only_old,Tverse,
PicodelSertal.EPD,BIm7SxyEEOGfWHRQdm0M,RSch1vR2zFH,paleoData.inCompilation,only_old,Tverse,
PicodelSertal.EPD,BIm7SxyEEOGfWHRQdm0M,ReuuHoP1M2x,paleoData.inCompilation,only_old,Tverse,
GeoB7165_1,BSpxnACHx8jopaNBJcDr,T2L_GeoB7165_1_d18o_pachyderma_SST_from_d18o_pachyderma,paleoData.inCompilation,only_old,Tverse,
LacNoir.Pollen.Canada,C4XQ9YLIVJgygVOAlMSi,RW5NY4lp9VS,paleoData.inCompilation,only_old,Tverse,
Naroch.EPD,EB6hYZmARm51SaVDx1i7,R2YEd7jAM0l,paleoData.inCompilation,only_old,Tverse,
Naroch.EPD,EB6hYZmARm51SaVDx1i7,RPupPW84LAW,paleoData.inCompilation,only_old,Tverse,
Naroch.EPD,EB6hYZmARm51SaVDx1i7,RYNgsUHubcx,paleoData.inCompilation,only_old,Tverse,
DeltadelRioBesos.EPD,ERPP9QSnx9J2UZm39ISd,RhNgYiICliI,paleoData.inCompilation,only_old,Tverse,
DeltadelRioBesos.EPD,ERPP9QSnx9J2UZm39ISd,RhZtaE9y5I0,paleoData.inCompilation,only_old,Tverse,
DeltadelRioBesos.EPD,ERPP9QSnx9J2UZm39ISd,RoeTCQH78k5,paleoData.inCompilation,only_old,Tverse,
GIK17964_2,FXpAriFprDRWFbIqkePL,T2L_GIK17964_2_d18o_ruber_SST_from_d18o_ruber,paleoData.inCompilation,only_old,Tverse,
MD88_770,GJkj9hbGdMctm2Gl6DEP,T2L_MD88_770_d18o_pachyderma_SST_from_d18o_pachyderma,paleoData.inCompilation,only_old,Tverse,
MV1014_17JC,IB17ZHHLMf1vjB7L8lF5,T2L_MV1014_17JC_mgca_ruber_SST_from_mgca_ruber,paleoData.inCompilation,only_old,Tverse,
MV1014_17JC,IB17ZHHLMf1vjB7L8lF5,T2L_MV1014_17JC_tex86_SST_from_tex86,paleoData.inCompilation,only_old,Tverse,
LacdeBretaye.EPD,IMwIb75u904cMmLOFqYb,R0EzAucR8Yx,paleoData.inCompilation,only_old,Tverse,
LacdeBretaye.EPD,IMwIb75u904cMmLOFqYb,RPdaJunCjl6,paleoData.inCompilation,only_old,Tverse,
LacdeBretaye.EPD,IMwIb75u904cMmLOFqYb,RWwcsb7nuDx,paleoData.inCompilation,only_old,Tverse,
RC27_14,Ia1bDQn3KlZ3c9Kokvi4,T2L_RC27_14_d18o_bulloides_SST_from_d18o_bulloides,paleoData.inCompilation,only_old,Tverse,
VelkyMaj.EPD,KzG1Wnnznu87XjVIK46e,RLPfK8IMBHh,paleoData.inCompilation,only_old,Tverse,
VelkyMaj.EPD,KzG1Wnnznu87XjVIK46e,RTpadwJXWuR,paleoData.inCompilation,only_old,Tverse,
VelkyMaj.EPD,KzG1Wnnznu87XjVIK46e,RnYZK4rUvAJ,paleoData.inCompilation,only_old,Tverse,
GeoB10029_4,MIeUIWFtaLLV8VjDemPv,T2L_GeoB10029_4_d18o_ruber_SST_from_d18o_ruber,paleoData.inCompilation,only_old,Tverse,
GeoB10029_4,MIeUIWFtaLLV8VjDemPv,T2L_GeoB10029_4_mgca_ruber_lato_SST_from_mgca_ruber_lato,paleoData.inCompilation,only_old,Tverse,
GeoB10029_4,MIeUIWFtaLLV8VjDemPv,T2L_GeoB10029_4_mgca_ruber_stricto_SST_from_mgca_ruber_stricto,paleoData.inCompilation,only_old,Tverse,
RC08_102,MPjfjLKUlQDPcXyATfkL,T2L_RC08_102_d18o_ruber_SST_from_d18o_ruber,paleoData.inCompilation,only_old,Tverse,
RC08_102,MPjfjLKUlQDPcXyATfkL,T2L_RC08_102_d18o_sacculifer_SST_from_d18o_sacculifer,paleoData.inCompilation,only_old,Tverse,
M77_2_005_3,MevEMJGJCNGXmbV2NonW,T2L_M77_2_005_3_uk37_SST_from_uk37,paleoData.inCompilation,only_old,Tverse,
SK237-GC04.Saraswat.2013,MocHti3f4V1DR2lPLuU3,MS13RSAS01a,paleoData.inCompilation,only_old,Tverse,
SK237-GC04.Saraswat.2013,MocHti3f4V1DR2lPLuU3,MS13RSAS01b,paleoData.inCompilation,only_old,Tverse,
SK237-GC04.Saraswat.2013,MocHti3f4V1DR2lPLuU3,O2kLR_118_2,paleoData.inCompilation,only_old,Tverse,
SK237-GC04.Saraswat.2013,MocHti3f4V1DR2lPLuU3,O2kLR_118q,paleoData.inCompilation,only_old,Tverse,
SK237-GC04.Saraswat.2013,MocHti3f4V1DR2lPLuU3,O2kLR_120_2,paleoData.inCompilation,only_old,Tverse,
Kamenicky.EPD,SRq5BmFIXXPbKK0fTxgj,RPiT6xzQIBK,paleoData.inCompilation,only_old,Tverse,
Kamenicky.EPD,SRq5BmFIXXPbKK0fTxgj,RRSjZKAEXAL,paleoData.inCompilation,only_old,Tverse,
Kamenicky.EPD,SRq5BmFIXXPbKK0fTxgj,Rne2EJUfWbZ,paleoData.inCompilation,only_old,Tverse,
1670,Sa1HiHtcVeigIkQ3Nb5w,T2L_1670_d18o_pachyderma_SST_from_d18o_pachyderma,paleoData.inCompilation,only_old,Tverse,
SK157_4,SzKccCMKnIPM3yCVVjk9,T2L_SK157_4_mgca_ruber_SST_from_mgca_ruber,paleoData.inCompilation,only_old,Tverse,
GS07_150_10_3MC_B,WEJIhWKD4UkGZqZBPP40,T2L_GS07_150_10_3MC_B_d18o_ruber_SST_from_d18o_ruber,paleoData.inCompilation,only_old,Tverse,
Gerzensee.Pollen.Switzerland,WIK9Y9aNjZfjgnUbLgst,RfWsTYBdWqH,paleoData.inCompilation,only_old,Tverse,
Fougeres.EPD,WV9xd3Xo3v4ZS5shNxWV,R3U06XeeZi0,paleoData.inCompilation,only_old,Tverse,
Fougeres.EPD,WV9xd3Xo3v4ZS5shNxWV,R911b09Pi3c,paleoData.inCompilation,only_old,Tverse,
Fougeres.EPD,WV9xd3Xo3v4ZS5shNxWV,RlCeFfbwi5K,paleoData.inCompilation,only_old,Tverse,
KH_79_3_L3,WWamx2Qhazod6zV1jRNT,T2L_KH_79_3_L3_d18o_pachyderma_SST_from_d18o_pachyderma,paleoData.inCompilation,only_old,Tverse,
KH_79_3_L3,WWamx2Qhazod6zV1jRNT,T2L_KH_79_3_L3_uk37_SST_from_uk37,paleoData.inCompilation,only_old,Tverse,
Station_6_MC,YLP5qX9m5cd2fG5WYp8C,T2L_Station_6_MC_uk37_SST_from_uk37,paleoData.inCompilation,only_old,Tverse,
LakeMina.Pollen.USA,ZPiFP0BxtGvxjyNh1Ahy,R3YK7ZO5clD,paleoData.inCompilation,only_old,Tverse,
