key,scope,ownership,compilation,comp_key,current_field,proposed_field,proposed_flat_key,quality,converges_with_other_keys,n_datasets,count,approved_field,owner_resolved
paleoData_iso2kUI,column,shared - namespaced per writing compilation,iso2k,iso2k,iso2kUI,iso2kUI,iso2k_csm_iso2kUI,REVIEW: too short,TRUE,1747,25797,,
paleoData_SISALEntityID,column,single owner,SISAL-LiPD,SISALLiPD,SISALEntityID,SISALEntityID,SISALLiPD_csm_SISALEntityID,ok,TRUE,318,15483,,
paleoData_QCCertification,column,shared - namespaced per writing compilation,HoloceneAbruptChange,HoloceneAbruptChange,QCCertification,QCCertification,HoloceneAbruptChange_csm_QCCertification,ok,TRUE,4355,15231,,
paleoData_QCnotes,column,shared - namespaced per writing compilation,HoloceneAbruptChange,HoloceneAbruptChange,QCnotes,QCnotes,HoloceneAbruptChange_csm_QCnotes,ok,FALSE,3613,12608,,
paleoData_QCRemainingIssues,column,shared - namespaced per writing compilation,HoloceneAbruptChange,HoloceneAbruptChange,QCRemainingIssues,QCRemainingIssues,HoloceneAbruptChange_csm_QCRemainingIssues,ok,FALSE,1178,5678,,
paleoData_pages2kID,column,shared - namespaced per writing compilation,Pages2kTemperature,Pages2kTemperature,pages2kID,pages2kID,Pages2kTemperature_csm_pages2kID,REVIEW: too short,FALSE,851,3043,,
LegacyClimateDatasetId,root,shared - namespaced per writing compilation,LegacyClimate-LiPD,LegacyClimateLiPD,LegacyClimateDatasetId,LegacyClimateDatasetId,LegacyClimateLiPD_csm_LegacyClimateDatasetId,ok,TRUE,2653,2653,,
LegacyClimateSiteId,root,shared - namespaced per writing compilation,LegacyClimate-LiPD,LegacyClimateLiPD,LegacyClimateSiteId,LegacyClimateSiteId,LegacyClimateLiPD_csm_LegacyClimateSiteId,REVIEW: heavily shortened,FALSE,2653,2653,,
paleoData_iso2kPrimaryTimeseries,column,single owner,iso2k,iso2k,iso2kPrimaryTimeseries,useIn,iso2k_csm_useIn,ok,FALSE,516,1864,,
geo_pages2kRegion,geo,shared - namespaced per writing compilation,Pages2kTemperature,Pages2kTemperature,pages2kRegion,pages2kRegion,Pages2kTemperature_csm_pages2kRegion,ok,FALSE,956,956,,
paleoData_iso2kCertification,column,single owner,iso2k,iso2k,iso2kCertification,QCCertification,iso2k_csm_QCCertification,ok,TRUE,491,756,,
paleoData_coralExtensionRate,column,single owner,CoralHydro2k,CoralHydro2k,coralExtensionRate,coralExtensionRate,CoralHydro2k_csm_coralExtensionRate,unchanged,FALSE,179,608,,
paleoData_coralHydro2kGroup,column,single owner,CoralHydro2k,CoralHydro2k,coralHydro2kGroup,coralHydro2kGroup,CoralHydro2k_csm_coralHydro2kGroup,REVIEW: heavily shortened,FALSE,179,608,,
paleoData_jcpCorrected,column,single owner,CoralHydro2k,CoralHydro2k,jcpCorrected,jcpCorrected,CoralHydro2k_csm_jcpCorrected,unchanged,FALSE,179,608,,
paleoData_jcpMeasured,column,single owner,CoralHydro2k,CoralHydro2k,jcpMeasured,jcpMeasured,CoralHydro2k_csm_jcpMeasured,unchanged,FALSE,179,608,,
paleoData_jcpUsed,column,single owner,CoralHydro2k,CoralHydro2k,jcpUsed,jcpUsed,CoralHydro2k_csm_jcpUsed,unchanged,FALSE,179,608,,
geo_sisalSiteId,geo,shared - namespaced per writing compilation,SISAL-LiPD,SISALLiPD,sisalSiteId,sisalSiteId,SISALLiPD_csm_sisalSiteId,ok,FALSE,529,529,,
paleoDIVERDatasetId,root,shared - namespaced per writing compilation,Remove,,paleoDIVERDatasetId,paleoDIVERDatasetId,,ok,TRUE,458,458,,
paleoDIVERSiteId,root,shared - namespaced per writing compilation,Remove,,paleoDIVERSiteId,paleoDIVERSiteId,,REVIEW: heavily shortened,TRUE,458,458,,
paleoData_useInOnset,column,single owner,HoloceneAbruptChange,HoloceneAbruptChange,useInOnset,useIn,HoloceneAbruptChange_csm_useIn,unchanged,FALSE,124,457,,
paleoData_ch2kCoreCode,column,single owner,CoralHydro2k,CoralHydro2k,ch2kCoreCode,coreCode,CoralHydro2k_csm_coreCode,ok,FALSE,179,304,,
paleoData_coralExtensionRateNotes,column,single owner,CoralHydro2k,CoralHydro2k,coralExtensionRateNotes,coralExtensionRateNotes,CoralHydro2k_csm_coralExtensionRateNotes,unchanged,FALSE,124,209,,
geo_paleoDIVERSiteId,geo,OWNER UNRESOLVED - needs review,Remove,,paleoDIVERSiteId,paleoDIVERSiteId,,REVIEW: heavily shortened,TRUE,190,190,,
paleoData_ocean2kID,column,shared - namespaced per writing compilation,Pages2kTemperature,Pages2kTemperature,ocean2kID,ocean2kID,Pages2kTemperature_csm_ocean2kID,REVIEW: too short,FALSE,152,183,,
paleoData_pages2kId,column,single owner,Pages2kTemperature,Pages2kTemperature,pages2kId,pages2kID,Pages2kTemperature_csm_pages2kID,REVIEW: too short,FALSE,62,96,,
paleoData_QCLastUpdated,column,single owner,HoloceneAbruptChange,HoloceneAbruptChange,QCLastUpdated,lastUpdated,HoloceneAbruptChange_csm_lastUpdated,ok,FALSE,8,65,,
paleoData_useInNAm2kHydro,column,shared - namespaced per writing compilation,Remove,,useInNAm2kHydro,Remove,,ok,TRUE,28,53,,
paleoData_jcpNotes,column,single owner,CoralHydro2k,CoralHydro2k,jcpNotes,jcpNotes,CoralHydro2k_csm_jcpNotes,unchanged,FALSE,30,37,,
paleoData_coralTissueThickness,column,single owner,CoralHydro2k,CoralHydro2k,coralTissueThickness,coralTissueThickness,CoralHydro2k_csm_coralTissueThickness,unchanged,FALSE,5,9,,
paleoData_temp12kDkIndex,column,shared - namespaced per writing compilation,Temp12k,Temp12k,temp12kDkIndex,dkIndex,Temp12k_csm_dkIndex,ok,FALSE,1322,5584,,
chronData_SISALEntityID,column,single owner,SISAL-LiPD,SISALLiPD,SISALEntityID,SISALEntityID,SISALLiPD_csm_SISALEntityID,ok,TRUE,79,5355,,
paleoData_hydroclimate2kCertification,column,single owner,hydroclimate2k,hydroclimate2k,hydroclimate2kCertification,QCCertification,hydroclimate2k_csm_QCCertification,ok,TRUE,700,4911,,
paleoData_useInNAm2k,column,OWNER UNRESOLVED - needs review,Remove,,useInNAm2k,useIn,,ok,FALSE,230,1837,,
paleoData_iso2kHackathonNotes,column,single owner,iso2k,iso2k,iso2kHackathonNotes,QCnotes,iso2k_csm_QCnotes,ok,FALSE,195,421,,
chronData_SISALEntityID,table,single owner,SISAL-LiPD,SISALLiPD,SISALEntityID,SISALEntityID,SISALLiPD_csm_SISALEntityID,ok,TRUE,208,399,,
chronData_hasIso2kUI,column,single owner,iso2k,iso2k,hasIso2kUI,iso2kUI,iso2k_csm_iso2kUI,ok,FALSE,310,374,,
paleoData_meetsHoloceneHydroclimateCriteria,column,single owner,HoloceneHydroclimate,HoloceneHydroclimate,meetsHoloceneHydroclimateCriteria,QCCertification,HoloceneHydroclimate_csm_QCCertification,REVIEW: heavily shortened,FALSE,110,343,,
chronData_iso2kUI,column,single owner,iso2k,iso2k,iso2kUI,iso2kUI,iso2k_csm_iso2kUI,REVIEW: too short,TRUE,9,17,,
testField,root,single owner,test,test,testField,testField,test_csm_testField,unchanged,FALSE,6,6,,
paleoData_useInNam2kHydro,column,OWNER UNRESOLVED - needs review,Remove,,useInNam2kHydro,Remove,,ok,TRUE,1,1,,
calibration_gbrCentredEquationNotes,calibration,single owner,GBRCD,GBRCD,gbrCentredEquationNotes,centredEquationNotes,GBRCD_csm_centredEquationNotes,ok,FALSE,208,1407,,
paleoData_gbr14CDate,column,single owner,GBRCD,GBRCD,gbr14CDate,gbr14CDate,GBRCD_csm_gbr14CDate,REVIEW: would start with a digit,FALSE,208,1407,,
paleoData_gbr14CDateUncertainty,column,single owner,GBRCD,GBRCD,gbr14CDateUncertainty,gbr14CDateUncertainty,GBRCD_csm_gbr14CDateUncertainty,REVIEW: would start with a digit,FALSE,208,1407,,
paleoData_gbrChronologyNotes,column,single owner,GBRCD,GBRCD,gbrChronologyNotes,chronologyNotes,GBRCD_csm_chronologyNotes,ok,FALSE,208,1407,,
paleoData_gbrDataCoverageGroup,column,single owner,GBRCD,GBRCD,gbrDataCoverageGroup,dataCoverageGroup,GBRCD_csm_dataCoverageGroup,ok,FALSE,208,1407,,
paleoData_gbrDatingNotes,column,single owner,GBRCD,GBRCD,gbrDatingNotes,datingNotes,GBRCD_csm_datingNotes,ok,FALSE,208,1407,,
paleoData_gbrIsAnomaly,column,single owner,GBRCD,GBRCD,gbrIsAnomaly,isAnomaly,GBRCD_csm_isAnomaly,ok,FALSE,208,1407,,
paleoData_gbrIsDatabaseDuplicate,column,single owner,GBRCD,GBRCD,gbrIsDatabaseDuplicate,isDatabaseDuplicate,GBRCD_csm_isDatabaseDuplicate,ok,FALSE,208,1407,,
paleoData_gbrUThDate,column,single owner,GBRCD,GBRCD,gbrUThDate,UThDate,GBRCD_csm_UThDate,ok,FALSE,208,1407,,
paleoData_gbrUThDateUncertainty,column,single owner,GBRCD,GBRCD,gbrUThDateUncertainty,UThDateUncertainty,GBRCD_csm_UThDateUncertainty,ok,FALSE,208,1407,,
gbrCompositeCalibrationList,root,single owner,GBRCD,GBRCD,gbrCompositeCalibrationList,compositeCalibrationList,GBRCD_csm_compositeCalibrationList,ok,FALSE,208,208,,
gbrCoreIDOtherStudyList,root,single owner,GBRCD,GBRCD,gbrCoreIDOtherStudyList,coreIDOtherStudyList,GBRCD_csm_coreIDOtherStudyList,ok,FALSE,208,208,,
gbrHasAlternateCalibration,root,single owner,GBRCD,GBRCD,gbrHasAlternateCalibration,hasAlternateCalibration,GBRCD_csm_hasAlternateCalibration,ok,FALSE,208,208,,
gbrIsCompositeCalibration,root,single owner,GBRCD,GBRCD,gbrIsCompositeCalibration,isCompositeCalibration,GBRCD_csm_isCompositeCalibration,ok,FALSE,208,208,,
gbrIsCoreIDOtherStudy,root,single owner,GBRCD,GBRCD,gbrIsCoreIDOtherStudy,isCoreIDOtherStudy,GBRCD_csm_isCoreIDOtherStudy,ok,FALSE,208,208,,
gbrIsSstCalibration,root,single owner,GBRCD,GBRCD,gbrIsSstCalibration,isSstCalibration,GBRCD_csm_isSstCalibration,ok,FALSE,208,208,,
gbrUseSstCalibration,root,single owner,GBRCD,GBRCD,gbrUseSstCalibration,useSstCalibration,GBRCD_csm_useSstCalibration,ok,FALSE,208,208,,
additionalDataUrl,root,single owner,CoralHydro2k,CoralHydro2k,additionalDataUrl,additionalDataUrl,CoralHydro2k_csm_additionalDataUrl,unchanged,FALSE,,,,
distinctYearsInCommonEra,column,single owner,hydroclimate2k,hydroclimate2k,distinctYearsInCommonEra,distinctYearsInCommonEra,hydroclimate2k_csm_distinctYearsInCommonEra,unchanged,FALSE,,,,
paleoData_coralExtensionRate,column,single owner,GBRCD,GBRCD,coralExtensionRate,coralExtensionRate,GBRCD_csm_coralExtensionRate,unchanged,FALSE,179,608,,GBRCD
paleoData_jcpMeasured,column,single owner,GBRCD,GBRCD,jcpMeasured,jcpMeasured,GBRCD_csm_jcpMeasured,unchanged,FALSE,179,608,,GBRCD
paleoData_jcpUsed,column,single owner,GBRCD,GBRCD,jcpUsed,jcpUsed,GBRCD_csm_jcpUsed,unchanged,FALSE,179,608,,GBRCD
paleoData_coralExtensionRateNotes,column,single owner,GBRCD,GBRCD,coralExtensionRateNotes,coralExtensionRateNotes,GBRCD_csm_coralExtensionRateNotes,unchanged,FALSE,124,209,,GBRCD
paleoData_coralTissueThickness,column,single owner,GBRCD,GBRCD,coralTissueThickness,coralTissueThickness,GBRCD_csm_coralTissueThickness,unchanged,FALSE,5,9,,GBRCD
paleoData_NAm21k-noPollenCertification,column,single owner,NAm21k-noPollen,NAm21k-noPollen,NAm21k-noPollenCertification,QCCertification,NAm21k-noPollen_csm_QCCertification,ok,TRUE,0,0,,
paleoData_NAm21k-noPollenQCnotes,column,single owner,NAm21k-noPollen,NAm21k-noPollen,NAm21k-noPollenQCnotes,QCnotes,NAm21k-noPollen_csm_QCnotes,ok,FALSE,0,0,,
hasResolution_nominal,column,single owner,CoralHydro2k,CoralHydro2k,hasResolution_nominal,nominalResolution,CoralHydro2k_csm_nominalResolution,unchanged,FALSE,179,285,,
