tsid,dataSetName,class,suggested_action,suggested_value,decision,sheet_value,csm_value,appended,flat_value,is_member,sheet_membership,csm_in_sheet_vocabulary
IC00EIGG01A,IC00EIGG,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,TO,,,TRUE,TRUE,TRUE
IC00SC1601A,IC00SC16,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,AO,,,TRUE,TRUE,TRUE
IC00SC1801A,IC00SC18,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
NPM11111,IC00SC18,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,TO,,,TRUE,TRUE,TRUE
IC00SC2101A,IC00SC21,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC00SC2601A,IC00SC26,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,AO,,,TRUE,TRUE,TRUE
IC00SC2901A,IC00SC29,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC02HEWD01A,IC02HEWD,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC09KAD301A,IC09KAD3,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC09OPAN01C,IC09OPAN,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,"DVD, TO",,,TRUE,TRUE,TRUE
IC10VID302A,IC10VID3,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC10VIP100B,IC10VIP1,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC10VIP200B,IC10VIP2,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC10VIP300B,IC10VIP3,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DVD,,,TRUE,TRUE,TRUE
IC15GANK01B,IC15GANK,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,TO,,,TRUE,TRUE,TRUE
IC93BAGI02A,IC93BAGI,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,TO,,,TRUE,TRUE,TRUE
IC95THHU02D_iso2k,IC95THHU,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,TO,,,TRUE,TRUE,TRUE
LS09BAUM01a,LS09BAUM,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DK,,,TRUE,TRUE,TRUE
LS09RUWA01B,LS09RUWA,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS12THAY01B,LS12THAY,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS12THAY01D,LS12THAY,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS12THAY01E,LS12THAY,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS14FEZA01B,LS14FEZA,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS14FEZA01C,LS14FEZA,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS14FEZA01E,LS14FEZA,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS14FEZA01F,LS14FEZA,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS14FOTI01B,LS14FOTI,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
WEB00087524,LS16THN301,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
WEB13dc04eb,LS17BAHA01,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
WEBf388e826,LS17BAHA01,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,ET,,,TRUE,TRUE,TRUE
LS99CUVAb,LS99CUVA,"csm only, but a string this compilation uses","REVIEW: probably this compilation's own, recorded before the sheet column existed",,keep,,DK,,,TRUE,TRUE,TRUE
LPD7dc5b9ba,ClelandLake.Steinman.2016,"csm only, and not this compilation's vocabulary",remove from csm; not this compilation's value,,,,CR,,,TRUE,TRUE,FALSE
SAm_035_iso2k,IC13THQU,"csm only, and not this compilation's vocabulary",remove from csm; not this compilation's value,,,,"RN, IAM",,,TRUE,TRUE,FALSE
MS07MMNP01b,MS07MMNP,"csm only, and not this compilation's vocabulary",remove from csm; not this compilation's value,,,,REMOVE,,,TRUE,TRUE,FALSE
SL13TEAK01A,AKIII.Terwilliger.2013,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,BK 12/31/2019,,BK 12/31/2019,"BK 12/31/2019; CH, CR","; CH, CR",,TRUE,TRUE,FALSE
SL13TEAK01B,AKIII.Terwilliger.2013,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,BK 12/31/2019,,BK 12/31/2019,BK 12/31/2019; CH,; CH,,TRUE,TRUE,FALSE
SL13TEAK01C2,AKIII.Terwilliger.2013,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,BK 12/31/2019,,BK 12/31/2019,BK 12/31/2019; CH,; CH,,TRUE,TRUE,FALSE
LPD7dc5b9ba-dup,ClelandLake.Steinman.2016,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,MJ,,MJ,MJ; CR,; CR,,TRUE,TRUE,FALSE
IC00COPR01A,IC00COPR,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE0202A,IC00OE02,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE0302A,IC00OE03,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE0503A,IC00OE05,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1101A,IC00OE11,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1201A,IC00OE12,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1301A,IC00OE13,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1401A,IC00OE14,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1501A,IC00OE15,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1601A,IC00OE16,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1801A,IC00OE18,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE1901A,IC00OE19,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE2001A,IC00OE20,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE2101A,IC00OE21,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE2201A,IC00OE22,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OE2301A,IC00OE23,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00OEKC01A,IC00OEKC,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00STHN01A,IC00STHN,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC00STTY01A,IC00STTY,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC01JO0101A,IC01JO01,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC02GR0501A,IC02GR05,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC02GR0701A,IC02GR07,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC02GR1701A,IC02GR17,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AO (01/16/2019),,AO (01/16/2019),AO (01/16/2019); AO (01/15/2019),; AO (01/15/2019),,TRUE,TRUE,FALSE
IC05ISAU01A,IC05ISAU,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,TO,,TO,"TO; DVD, TO","; DVD, TO",,TRUE,TRUE,FALSE
IC76FIDE01A,IC76FIDE,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,ET (12/30/2019),,ET (12/30/2019),ET (12/30/2019); DVD,; DVD,,TRUE,TRUE,FALSE
LS09SAJU01An,LS09SAJU,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AA: This record should be removed: it is duplicated in LS14ZHJU (and is a shorter version of the latter record),,AA: This record should be removed: it is duplicated in LS14ZHJU (and is a shorter version of the latter record),AA: This record should be removed: it is duplicated in LS14ZHJU (and is a shorter version of the latter record); ET,; ET,,TRUE,TRUE,FALSE
LS14ATJU01B,LS14ATJU,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AA,,AA,AA; ET,; ET,,TRUE,TRUE,FALSE
MS02FLPC01a,MS02FLPC,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,LJ.,,LJ.,LJ.; LJ. Isotope data have depth,; LJ. Isotope data have depth,,TRUE,TRUE,FALSE
MS05ESCR01c,MS05ESCR,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,"GF 12/2019, BK 12/31/2019",,"GF 12/2019, BK 12/31/2019","GF 12/2019, BK 12/31/2019; GL and LJ",; GL and LJ,,TRUE,TRUE,FALSE
MS07MMNP01a,MS07MMNP,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,LJ,,LJ,"LJ; LJ, old O2k data lack depth","; LJ, old O2k data lack depth",,TRUE,TRUE,FALSE
MS09TCIS01,MS09TCIS,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,LJ 12/12/2018,,LJ 12/12/2018,"LJ 12/12/2018; LJ 12/12/2018 age model based on dated tephra layers, data available in 10.1038/sdata.2016.425","; LJ 12/12/2018 age model based on dated tephra layers, data available in 10.1038/sdata.2016.425",,TRUE,TRUE,FALSE
MS10BLMS01b,MS10BLMS,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,LJ 12/12/2018,,LJ 12/12/2018,LJ 12/12/2018; LJ 12/12/2018 isotope data have depth,; LJ 12/12/2018 isotope data have depth,,TRUE,TRUE,FALSE
MS13RSAS01b_iso2k,MS13RSAS,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,LJ 12/12/2018,,LJ 12/12/2018,LJ 12/12/2018; LJ 12/12/2018. Added raw d18O carbonate. isotope data have depth,; LJ 12/12/2018. Added raw d18O carbonate. isotope data have depth,,TRUE,TRUE,FALSE
SP04YUCN01A,SP04YUCN,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,ZK (07/01/2019): Pre-Holocene part of the D4 stal. No data from the past 2000yrs,,ZK (07/01/2019): Pre-Holocene part of the D4 stal. No data from the past 2000yrs,ZK (07/01/2019): Pre-Holocene part of the D4 stal. No data from the past 2000yrs; LCB,; LCB,,TRUE,TRUE,FALSE
SP04YUCN02A,SP04YUCN,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,"NM, ZK (07/01/2019)",,"NM, ZK (07/01/2019)","NM, ZK (07/01/2019); LCB",; LCB,,TRUE,TRUE,FALSE
SP04YUCN03A,SP04YUCN,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,AA (3/5/19): No data from last 2000 yrs.,,AA (3/5/19): No data from last 2000 yrs.,AA (3/5/19): No data from last 2000 yrs.; LCB,; LCB,,TRUE,TRUE,FALSE
SP09REPE01A,SP09REPE,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,"AA (2019-03-08), BM (15/03/2019)",,"AA (2019-03-08), BM (15/03/2019)","AA (2019-03-08), BM (15/03/2019); AA, BM","; AA, BM",,TRUE,TRUE,FALSE
SP09REPE02A,SP09REPE,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,"AA (2019-03-08, BM (15/03/2019)",,"AA (2019-03-08, BM (15/03/2019)","AA (2019-03-08, BM (15/03/2019); AA, BM","; AA, BM",,TRUE,TRUE,FALSE
SP13PAVU01A,SP13PAVU,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,ZK,,ZK,ZK; LCB,; LCB,,TRUE,TRUE,FALSE
TR11XUPH02,TR11XUPH,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,OCh-S: added,,OCh-S: added,"OCh-S: added; OCh-S, ZK, SM","; OCh-S, ZK, SM",,TRUE,TRUE,FALSE
TR12SAMU06,TR12SAMU,csm carries the sheet value plus an appended one,strip the appended value; the sheet and the baseline agree on what it should be,OCh-S: changed to P_E,,OCh-S: changed to P_E,"OCh-S: changed to P_E; OCh-S, ZK, SM","; OCh-S, ZK, SM",,TRUE,TRUE,FALSE
WEB0bc2e8c4,CO17RAPA,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEB908959f3,CO17RAPA,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEBa97612cc,CO17WUBO1A,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEBa97612cc2,CO17WUBO1B,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEBa97612cc22,CO17WUBO1C,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEBa97612cc222,CO17WUBO1D,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEBa97612cc2222,CO17WUBO1E,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEBa97612cc22222,CO17WUBO1F,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
WEBa97612cc222222,CO17WUBO1G,legacy flat key only,delete the legacy flat key,,,,,,DMT (1/14/19),FALSE,,FALSE
LS15DOCH01B,LS15DOCH,"sheet only, member",write the sheet value into csm,ET,,ET,,,ET,TRUE,TRUE,FALSE
LS15DOCH01C,LS15DOCH,"sheet only, member",write the sheet value into csm,ET,,ET,,,ET,TRUE,TRUE,FALSE
LS15DOSA01B,LS15DOSA,"sheet only, member",write the sheet value into csm,ET,,ET,,,ET,TRUE,TRUE,FALSE
LS15DOSA01C,LS15DOSA,"sheet only, member",write the sheet value into csm,ET,,ET,,,ET,TRUE,TRUE,FALSE
