dataset,blocker,compilations,block,tsid,variableName,units,n_values
BolshoiKhomusYuryakhRiver.Anderson.2002,compilation member,LegacyClimate-LiPD,paleoData,lcRNxjGUfF9dCQEMYyw,temperature,degC,2
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRj6MG8pd1FI,mineralogy,unitless,231
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LROvjPPFOjVC,correction,unitless,231
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRgUt1qxjegA,uncertainty,unitless,231
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRfeF9UMhrX5,uncertainty,unitless,231
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRjMoarI0zf0,mineralogy,unitless,689
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRrrvkfaEXHG,correction,unitless,689
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRXuQU3F8fkW,uncertainty,unitless,689
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRdEAzaVHTNN,uncertainty,unitless,689
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRLhM2mFgsTu,mineralogy,unitless,920
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRwKGBTgtouv,correction,unitless,920
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LR9zzOY6E3aO,uncertainty,unitless,920
Botuvercave.Bernal.2016,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRAspqDBPlAk,d13C,unitless,920
Botuvercave.Bernal.2016,compilation member,lipdverseTest,paleoData,S2LRVoKsWZJLdM,notes,unitless,920
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRhGInhVVxLU,mineralogy,unitless,103
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRJtR6bra6ty,correction,unitless,103
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LR3IE77TOiAB,uncertainty,unitless,103
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRE0mu1vGIA8,uncertainty,unitless,103
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRFzHirDaxu8,mineralogy,unitless,757
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRz4fo2Hbsmz,correction,unitless,757
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRSWiRx6UlNc,uncertainty,unitless,757
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRsUrw25MaoB,uncertainty,unitless,757
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRjRV6eFbULs,mineralogy,unitless,759
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRgws7jEwyBV,correction,unitless,759
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRnuV5oNLmzr,uncertainty,unitless,759
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRbquS8pmgGS,uncertainty,unitless,759
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRZTc7E4wEKv,mineralogy,unitless,1619
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRIRO2L5E2gG,correction,unitless,1619
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRluQlNGxv1h,uncertainty,unitless,1619
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRjj0zzZMb76,d13C,unitless,1619
BucadellaRenella.Drysdale.2006,compilation member,lipdverseTest,paleoData,S2LRf3BaPDaAwk,notes,NA,1619
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRbtmCAJ3IfR,mineralogy,unitless,498
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRYuvH7hax6j,correction,unitless,498
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRkjqHwtmLzk,uncertainty,unitless,498
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRoafrC5xvG7,hasHiatus,unitless,498
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRy0ChSiXh4Y,mineralogy,unitless,862
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRET4p0CiVeJ,correction,unitless,862
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRyI1hYfHTGK,uncertainty,unitless,862
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRL4cFRY81WQ,uncertainty,unitless,862
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LROLSv6ur3Zw,mineralogy,unitless,477
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LR46P7igLPAS,correction,unitless,477
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRjKIaPQY2NV,uncertainty,unitless,477
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRAGpyG1jHnU,mineralogy,unitless,3032
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRo2QcCbGePF,correction,unitless,3032
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRfZlAKftWIf,uncertainty,unitless,3032
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRJZlALs56gF,mineralogy,unitless,4869
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRAUMUmrfp2X,correction,unitless,4869
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRI833btasGj,uncertainty,unitless,4869
BukitAssamcave.Carolin.2013,compilation member,SISAL-LiPD,paleoData,S2LRZQNmkgsSv5,hasHiatus,unitless,4869
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRFw1rtb6vsU,mineralogy,unitless,1089
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRn2CqU7TFqa,correction,unitless,1089
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRe07Q8hBxjw,uncertainty,unitless,1089
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRxkCafbfpXy,uncertainty,unitless,1089
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRmEMB4MUinI,mineralogy,unitless,470
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LR63oEMJ5qrS,correction,unitless,470
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRbXuAv5lqLg,uncertainty,unitless,470
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRfBCS6riyBa,uncertainty,unitless,470
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRqhWCyiTNWs,mineralogy,unitless,1008
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRODguDbYm4k,correction,unitless,1008
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LR9BrzgFr78M,uncertainty,unitless,1008
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRixDs1D6pF8,uncertainty,unitless,1008
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRqyBiQO5hVf,mineralogy,unitless,112
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LR5p948nGCLJ,correction,unitless,112
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LR2D5V0qqB8T,uncertainty,unitless,112
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRtbdRJ40p9w,uncertainty,unitless,112
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LReiBtcKIHRe,mineralogy,unitless,2677
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRugtSiEldAi,correction,unitless,2677
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRMGbLAD7vVt,uncertainty,unitless,2677
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRT8BYxb9Ytl,mineralogy,unitless,1052
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRGNjGBxbcXF,correction,unitless,1052
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRhtdsL0Gnw0,uncertainty,unitless,1052
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRkqJOLVMAcQ,uncertainty,unitless,1052
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRoLdCyviVZm,hasHiatus,unitless,1052
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRVZor5xajjZ,mineralogy,unitless,6408
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRxqJkD0hant,correction,unitless,6408
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LR0DmKI64Ev5,uncertainty,unitless,6408
Bunkercave.Fohlmeister.2012,compilation member,SISAL-LiPD,paleoData,S2LRa6GDgVTtxA,d13C,unitless,6408
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LROVOehHJfBS,mineralogy,unitless,38
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRhSVymDIlUY,correction,unitless,38
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LR4nROh4T50F,uncertainty,unitless,38
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRKRUP7Sd4ji,uncertainty,unitless,38
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LR4tVV7Gpjx1,hasHiatus,unitless,38
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRINw6ErONnY,mineralogy,unitless,279
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRo2zwato39A,correction,unitless,279
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRiRQEt8HDVb,uncertainty,unitless,279
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRasD7QMbV7S,uncertainty,unitless,279
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRQAD07ac1fb,mineralogy,unitless,43
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LR27yhOcDFaF,correction,unitless,43
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRvHumuExIeH,uncertainty,unitless,43
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRkUcYoDBXzi,uncertainty,unitless,43
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRTeSqGehqwm,mineralogy,unitless,81
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRlYHNoQqlHR,correction,unitless,81
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRrVP4kRuXTF,uncertainty,unitless,81
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRWSropnShZj,uncertainty,unitless,81
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRBrFoWYglFV,hasHiatus,unitless,81
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRoPGotFdKjy,mineralogy,unitless,968
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LR0N4LtH11Ri,correction,unitless,968
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRsTiXQDkJ1G,uncertainty,unitless,968
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LREenlq0tyV8,uncertainty,unitless,968
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRd12cdmmMhD,hasHiatus,unitless,968
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRsXgUGRCm3y,mineralogy,unitless,1409
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRpXorfT6XFv,correction,unitless,1409
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRSbFs9j52Q5,uncertainty,unitless,1409
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRN1AfVoVNHK,d13C,unitless,1409
BuracaGloriosa.Denniston.2017,compilation member,SISAL-LiPD,paleoData,S2LRQYi5m1jJ7K,hasHiatus,unitless,1409
CenoteSanJoseChulchaca.Leyden.1996,compilation member,LegacyClimate-LiPD,paleoData,lcR3CJ45wAnJsoWi3jr,precipitation,mm/yr,27
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRkNiU3Kl1n1,mineralogy,unitless,121
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LR5XpVAMOYEh,correction,unitless,121
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRZOw9B7JpTj,uncertainty,unitless,121
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LR1Qp1QdeRcN,hasHiatus,unitless,121
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRrrNRcVgucv,mineralogy,unitless,659
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRMbcmWThY66,correction,unitless,659
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRApZte0Lybe,uncertainty,unitless,659
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRgUHQRxO1bI,hasHiatus,unitless,659
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRAHXNhDGt9E,mineralogy,unitless,1575
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LR0kFbQGcnlL,correction,unitless,1575
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRfq0QYOwHXQ,uncertainty,unitless,1575
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRPYCC3rsOWR,hasHiatus,unitless,1575
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRxYxotB4AKS,mineralogy,unitless,2355
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRpSeAXmGD9B,correction,unitless,2355
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRmhTCW8knEI,uncertainty,unitless,2355
Chaaracave.AitBrahim.2018,compilation member,SISAL-LiPD,paleoData,S2LRleUvbdSoBk,hasHiatus,unitless,2355
Colongulac.Gill.1971,compilation member,lipdverseTest,paleoData,OLS_R3vW996pzgS,lakeTrend,unitless,32
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRuVNHJo1azW,mineralogy,unitless,1192
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRcTkEqWbkHS,correction,unitless,1192
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRWz7TgmOU7Q,uncertainty,unitless,1192
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LR3bktB0DYyi,hasHiatus,unitless,1192
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRm9sUwfipRi,mineralogy,unitless,829
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRYyfE8mSm3f,correction,unitless,829
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRZ1GgSqDlzi,uncertainty,unitless,829
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRGLk5xEXp9Z,hasHiatus,unitless,829
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LR4W8a3iAzZR,mineralogy,unitless,2021
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRQFBsntj44i,correction,unitless,2021
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LR6LB8Wf036N,uncertainty,unitless,2021
CuevadeAsiul.Smith.2016,compilation member,SISAL-LiPD,paleoData,S2LRdvN52K6IV2,hasHiatus,unitless,2021
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRfUxoVEglvY,mineralogy,unitless,288
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRbn4B7tx4Uy,correction,unitless,288
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRnQnDVThocE,uncertainty,unitless,288
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRLDiU9jls9a,mineralogy,unitless,302
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRXz9PIDRPjG,correction,unitless,302
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRHest8FrwOI,uncertainty,unitless,302
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LR7Wg1ZrPe8R,mineralogy,unitless,590
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRzPDgsLqZCV,correction,unitless,590
CuevadelTigrePerdido.vanBreukelen.2008,compilation member,SISAL-LiPD,paleoData,S2LRTjTFveZ0hN,uncertainty,unitless,590
Dantecave.Sletten.2013,compilation member,SISAL-LiPD,paleoData,S2LRhfPCVI0nRC,mineralogy,unitless,315
Dantecave.Sletten.2013,compilation member,SISAL-LiPD,paleoData,S2LRFNFEWtfPNm,correction,unitless,315
