dataset,blocker,compilations,block,tsid,variableName,units,n_values
1670,axis,NA,paleoData,T2L_1670_age_original,age,yr BP,33
CO04BAFI,axis,NA,chronData,cdRNCY1ekSfUkmfkrNIchron16,age,years ago,8
CO04BAFI,axis,NA,chronData,cdR9hjFlIkoaaz7P8ohchron16,age,years ago,8
CO04INMI,axis,NA,chronData,chron16_Zo16F3jF,age,years ago,8
CO04LIRA,axis,NA,chronData,cdRp6m6pESxz4ysoM4Bchron16,age,years ago,8
CO13CABL,axis,NA,chronData,cdRx9MWEXctkFyiCcTcchron16,age,years ago,8
CO13CAHN,axis,NA,chronData,cdRiP7nF8o2VmxwjJ35chron16,age,years ago,8
CO13CAHN,axis,NA,chronData,cdRYy9WjbwjSX0tNoenchron16,age,years ago,8
CO13HENG,axis,NA,chronData,cdRwmj7iZc9lnj9BqK0chron16,age,years ago,8
CO13HENG,axis,NA,chronData,cdRHg7dOFmaISjFOd0Ichron16,age,years ago,8
CO13HENG,axis,NA,chronData,cdRMHyYSRshSZaYCzBfchron16,age,years ago,8
CO14WUCL,axis,NA,chronData,cdRcieqQQhDwl8e6lefchron16,age,years ago,8
CO92SHPU,axis,NA,chronData,cdRVyYgwYmNbdXKng3Dchron16,age,years ago,8
CO94HEAQ,axis,NA,chronData,cdRRd1hUBHQ96e9Rwv3chron16,age,years ago,8
CO98SWPR,axis,NA,chronData,cdRV0vGHh7fTpJqQKHXchron16,age,years ago,8
CO99LICL,axis,NA,chronData,cdR4NbnKWWUK3v7UstXchron16,age,years ago,8
CO99LICL,axis,NA,chronData,cdRFPgREAWaqCKvLNGQchron16,age,years ago,8
CO99SWFB,axis,NA,chronData,cdRbDy9q1YMwfNEK7f3chron16,age,years ago,8
CoorongLagoon.Chamberlayne.2023,axis,NA,paleoData,WEB-4667e-21ba-4e5a-a56b-58d93,depth,cm,8
CoorongLagoon.Chamberlayne.2023,axis,NA,paleoData,WEB-940a6-6be4-4ba1-ace4-9c3b5,age,yr AD,8
GIK17049_6.Jung.1996,axis,NA,paleoData,T2L_GIK17049_6_age_original,age,yr BP,230
GIK17051_3.Jung.1996,axis,NA,paleoData,T2L_GIK17051_3_age_original,age,yr BP,217
GIK23351_1,axis,NA,paleoData,T2L_GIK23351_1_age_original,age,yr BP,72
GeoB33131.Lamy.2002,axis,NA,paleoData,T2L_GeoB33131_age_original,age,yr BP,161
HU87033_87017PC.Andrews.1999,axis,NA,paleoData,T2L_HU87033_87017PC_age_original,age,yr BP,52
HU87033_87017TWC,axis,NA,paleoData,T2L_HU87033_87017TWC_age_original,age,yr BP,7
HU87033_87018PC.Andrews.1999,axis,NA,paleoData,T2L_HU87033_87018PC_age_original,age,yr BP,19
HU87033_87018TWC,axis,NA,paleoData,T2L_HU87033_87018TWC_age_original,age,yr BP,9
HU90_013_013.Hillaire-Marcel.1994,axis,NA,paleoData,T2L_HU90_013_013_age_original,age,yr BP,168
Haukdalsvatn.Geirsdottir.2013,axis,NA,paleoData,WEB-f1ec1-2b50-403d-b762-7b210,age,yr BP,8
Haukdalsvatn.Geirsdottir.2013,axis,NA,paleoData,WEB-63483-2253-4927-ba29-f689e,age,yr BP,8
IC10VISB,axis,NA,paleoData,MAT39f0237ab8,depth,cm,193
J11,axis,NA,paleoData,T2L_J11_age_original,age,yr BP,64
LS00SEJU,axis,NA,chronData,cdRdFR8GusN2FdYJ7qgchron15,age,yr BP,8
LS06DENA,axis,NA,paleoData,MATc71241d298,depth,cm,134
LS06JONA,axis,NA,paleoData,MATf326181e82,depth,cm,1065
LS06JONA,axis,NA,chronData,chron1_hIdgTxWg,depth,cm,8
LS06JONA,axis,NA,chronData,chron15_1eDpA5pA,age,yr BP,8
LS06TIST,axis,NA,paleoData,MATf6335d8d19,depth,cm,608
LS08LICA,axis,NA,paleoData,MATde9a727f68,depth,cm,41
LS08LICA,axis,NA,chronData,chron15_R1I9IQ1N,age,yr BP,16
LS10ANBL,axis,NA,chronData,chron1_hTbtIDBp,depth,cm,8
LS10ANBL,axis,NA,chronData,chron15_Ae0eB5Cz,age,yr BP,8
LS10WRNA,axis,NA,chronData,chron1_6Oei0Ucb,depth,cm,8
LS10WRNA,axis,NA,chronData,chron15_lrPCGZHh,age,yr BP,8
LS11TICH,axis,NA,chronData,chron1_Hvqm5Avr,depth,cm,8
LS11TICH,axis,NA,chronData,chron15_VekbJAhW,age,yr BP,8
LS14ZHJU,axis,NA,paleoData,MAT8f1a66f8a2,depth,cm,85
LS15BHAL,axis,NA,chronData,cdRrCOvaEwb93umAdCdchron15,age,yr BP,8
LS15OEPO,axis,NA,chronData,chron1_jrJoaLym,depth,cm,8
LS15OEPO,axis,NA,chronData,chron15_KocuqZOG,age,yr BP,8
LS15SHBO,axis,NA,paleoData,LPDf2047c95_iso2k,depth,cm,146
LS16WIGH,axis,NA,chronData,LPDa6457200,age,NA,8
LS91BEWA,axis,NA,chronData,chron1_aVAsoy6G,depth,cm,8
LS91BEWA,axis,NA,chronData,chron15_8F9EZ4jC,age,yr BP,8
LakeMina.StJacques.2008,axis,NA,paleoData,WEB-3cb9d-26e0-47c2-92e7-c90a2,year,yr AD,8
MD01_2416,axis,NA,paleoData,T2L_MD01_2416_age_original,age,yr BP,1266
MD88_770,axis,NA,paleoData,T2L_MD88_770_age_original,age,yr BP,49
MD95_2012,axis,NA,paleoData,T2L_MD95_2012_age_original,age,yr BP,516
MS07KPPB,axis,NA,chronData,chron1_AFj08svi,depth,cm,8
MS07KPPB,axis,NA,chronData,chron15_dVrK5QKO,age,yr BP,8
MS09TCIS,axis,NA,chronData,chron1_TETE97sb,depth,cm,8
MS09TCIS,axis,NA,chronData,chron15_AyzGAsoD,age,yr BP,8
NA87_22.Duplessy.1992,axis,NA,paleoData,T2L_NA87_22_age_original,age,yr BP,95
PS1730_2,axis,NA,paleoData,T2L_PS1730_2_age_original,age,yr BP,91
PS1919_2,axis,NA,paleoData,T2L_PS1919_2_age_original,age,yr BP,42
PS1927_2,axis,NA,paleoData,T2L_PS1927_2_age_original,age,yr BP,58
PS1951_1,axis,NA,paleoData,T2L_PS1951_1_age_original,age,yr BP,88
PS2138_1,axis,NA,paleoData,T2L_PS2138_1_age_original,age,yr BP,103
PS2208_1,axis,NA,paleoData,T2L_PS2208_1_age_original,age,yr BP,31
RC27_14,axis,NA,paleoData,T2L_RC27_14_age_original,age,yr BP,32
RC27_28.Overpeck.1996,axis,NA,paleoData,T2L_RC27_28_age_original,age,yr BP,51
SP03BMIL,axis,NA,paleoData,MATec32ecc339,depth,cm,1404
SP05CRBR,axis,NA,chronData,chron29_IqxwhKey,year,AD,20
SP07FLOM,axis,NA,paleoData,MAT33c70fdd87,depth,cm,1422
SP07FLOM,axis,NA,chronData,chron29_CQDSQNTH,year,AD,78
SP07WABR,axis,NA,chronData,chron29_mb3b7Vxw,year,AD,16
SP08SPUS,axis,NA,chronData,chron29_KRLcO724,year,AD,14
SP10MEMX,axis,NA,chronData,chron29_Uu4TjNl7,year,AD,12
SP12NOBR,axis,NA,paleoData,MATf540e9cb93,depth,cm,540
SP12NOBR,axis,NA,chronData,chron29_3dDO8md7,year,AD,30
SP98KUCN,axis,NA,chronData,chron16_5amfHSCD,age,years ago,8
SP98KUCN,axis,NA,chronData,chron29_jahQeq2X,year,AD,8
VM12_107.Schmidt.2012,axis,NA,paleoData,T2L_VM12_107_age_original,age,yr BP,421
VM17_178,axis,NA,paleoData,T2L_VM17_178_age_original,age,yr BP,47
Vinogradov_BC_26,axis,NA,paleoData,T2L_Vinogradov_BC_26_age_original,age,yr BP,21
Arrepentimientos.Crausbay.2015,compilation member,LegacyClimate-LiPD,paleoData,lcRo9usZP5JWI1l5AC1,temperature,degC,50
Arrepentimientos.Crausbay.2015,compilation member,LegacyClimate-LiPD,paleoData,lcRjUHxvKMMcpMeQi1u,temperature,degC,50
Attacave.Niggemann.2003,compilation member,SISAL-LiPD,paleoData,S2LR92xgcYK83A,mineralogy,unitless,384
Attacave.Niggemann.2003,compilation member,SISAL-LiPD,paleoData,S2LRlWCvK4jncP,correction,unitless,384
Attacave.Niggemann.2003,compilation member,SISAL-LiPD,paleoData,S2LRFRmeotJzFY,uncertainty,unitless,384
Attacave.Niggemann.2003,compilation member,SISAL-LiPD,paleoData,S2LRJJgcK8R6n7,uncertainty,unitless,384
Baeg-nyongcave.K..2017,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRzuJIo4qN8X,mineralogy,unitless,303
Baeg-nyongcave.K..2017,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LReJwIPZAMzF,correction,unitless,303
Baeg-nyongcave.K..2017,compilation member,lipdverseTest; SISAL-LiPD,paleoData,S2LRPCxfRth88a,uncertainty,unitless,303
