url,lipdName,synonym,append/replace,definition,count
,compilation-specific,geo_sisalSiteId,,,6350
,compilation-specific,LegacyClimateDatasetId,,,77128
,compilation-specific,LegacyClimateSiteId,,,77128
,compilation-specific,paleoData_ch2kCoreCode,,,304
,compilation-specific,paleoData_coralHydro2kGroup,,,304
,compilation-specific,paleoData_iso2kCertification,,,764
,compilation-specific,paleoData_iso2kUI,,,956
,compilation-specific,paleoData_ocean2kID,,,168
,compilation-specific,paleoData_pages2kId,,,81
,compilation-specific,paleoData_pages2kID,,,781
,compilation-specific,paleoData_QCCertification,,,6394
,compilation-specific,paleoData_QCLastUpdated,,,65
,compilation-specific,paleoData_QCnotes,,,4712
,compilation-specific,paleoData_QCRemainingIssues,,,20
,compilation-specific,paleoData_SISALEntityID,,,5211
,contributorEmail,contributorEmail,,,868
,contributorName,contributorName,,,397
,contributorName,dataContributor,,,4777
,createdBy,createdBy,,,104325
,datasetId,datasetId,,,104325
,dataSetName,dataSetName,,,104325
,dataSource,dataSource,,,778
,deleteMe,agesPerKyr,,,15829
,deleteMe,archiveTypeOriginal,,,6524
,deleteMe,calibration_author,,,
,deleteMe,calibration_issue,,,1
,deleteMe,calibration_journal,,,1
,deleteMe,calibration_pages,,,1
,deleteMe,calibration_publicationYear,,,1
,deleteMe,calibration_reference,,,231
,deleteMe,calibration_seasonalityOriginal,,,15
,deleteMe,calibration_title,,,1
,deleteMe,calibration_volume,,,1
,deleteMe,context,,,1577
,deleteMe,data,,,4
,deleteMe,dataPub1_author,,,6
,deleteMe,dataPub1_url,,,68
,deleteMe,datasetDOI,,,4
,deleteMe,dataSetVersion,,,10
,deleteMe,description,,,10
,deleteMe,earliestYear,,,35
,deleteMe,geo_AHT,,,770
,deleteMe,geo_politicalUnit,,,6
,deleteMe,geo_province,,,5
,deleteMe,geo_region,,,24
,deleteMe,geo_state,,,28
,deleteMe,geo_subRegion,,,3732
,deleteMe,geo_unit,,,83
,deleteMe,geo_units,,,638
,deleteMe,googleDataURL,,,4107
,deleteMe,googleMetadataWorksheet,,,6977
,deleteMe,googleSpreadSheetKey,,,6977
,deleteMe,hasChron,,,2205
,deleteMe,hasDepth,,,21267
,deleteMe,hasPaleoDepth,,,2098
,deleteMe,hasResolution_hasMax,,,4413
,deleteMe,hasResolution_hasMaxValue,,,10325
,deleteMe,hasResolution_hasMean,,,4413
,deleteMe,hasResolution_hasMeanValue,,,10406
,deleteMe,hasResolution_hasMedian,,,4413
,deleteMe,hasResolution_hasMedianValue,,,10406
,deleteMe,hasResolution_hasMin,,,4413
,deleteMe,hasResolution_hasMinValue,,,10325
,deleteMe,hasResolution_nominal,,,285
,deleteMe,hasResolution_units,,,5449
,deleteMe,inCompilation1_,,,
,deleteMe,inCompilation2_,,,994
,deleteMe,inCompilation3_,,,988
,deleteMe,interpretation1_coefficient,,,0
,deleteMe,interpretation1_dir,,,1
,deleteMe,Interpretation1_direction,,,0
,deleteMe,interpretation1_directionOriginal,,,11
,deleteMe,interpretation1_fraction,,,5
,deleteMe,interpretation1_isAnnual,,,1630
,deleteMe,interpretation1_reference,,,1
,deleteMe,Interpretation1_scope,,,0
,deleteMe,interpretation1_seasonalityOriginal,,,2472
,deleteMe,interpretation1_seasonGeneral,,,7
,deleteMe,interpretation1_timescale,,,2
,deleteMe,interpretation1_useInGlobalTemperatureAnalysis,,,2
,deleteMe,Interpretation1_variable,,,0
,deleteMe,Interpretation1_variableDetail,,,0
,deleteMe,interpretation1_variableDetailOriginal,,,405
,deleteMe,interpretation1_variableGroupOriginal,,,2940
,deleteMe,interpretation1_variableOriginal,,,2203
,deleteMe,lastUpdated,,,1158
,deleteMe,lipdComplete,,,7976
,deleteMe,measurementArchive,,,9
,deleteMe,measurementNull,,,456
,deleteMe,metadataMD5,,,38
,deleteMe,mode,,,104325
,deleteMe,modifiedDate,,,41
,deleteMe,mostRecentYear,,,35
,deleteMe,NOAAdataType,,,35
,deleteMe,NOAAstudyName,,,35
,deleteMe,nUniqueAges,,,21267
,deleteMe,nUniqueGoodAges,,,17699
,deleteMe,nUniqueOtherAges,,,17699
,deleteMe,onlineResource,,,6
,deleteMe,onlineResourceDescription,,,6
,deleteMe,originalSourceUrlDescription,,,2
,deleteMe,otherAgesPerKyr,,,15829
,deleteMe,paleoData_analyticalErrorUnits,,,274
,deleteMe,paleoData_archiveType,,,4776
,deleteMe,paleoData_archiveTypeOriginal,,,424
,deleteMe,paleoData_axis,,,260
,deleteMe,paleoData_cutDeep,,,1448
,deleteMe,paleoData_cutShallow,,,155
,deleteMe,paleoData_data,,,1
,deleteMe,paleoData_dataMD5,,,26
,deleteMe,paleoData_dataType,,,4095
,deleteMe,paleoData_fromChronData,,,4
,deleteMe,paleoData_frommodel,,,3
,deleteMe,paleoData_fromModel,,,1
,deleteMe,paleoData_googleWorkSheetKey,,,6932
,deleteMe,paleoData_hasChron,,,936
,deleteMe,paleoData_hasDataLink,,,329
,deleteMe,paleoData_hasDOI,,,4
,deleteMe,paleoData_hasMax,,,7366
,deleteMe,paleoData_hasMaxValue,,,13357
,deleteMe,paleoData_hasMean,,,7366
,deleteMe,paleoData_hasMeanValue,,,13357
,deleteMe,paleoData_hasMedian,,,7366
,deleteMe,paleoData_hasMedianValue,,,13357
,deleteMe,paleoData_hasMin,,,7366
,deleteMe,paleoData_hasMinValue,,,13357
,deleteMe,paleoData_hasPaleoDepth,,,936
,deleteMe,paleoData_hasPubDOI,,,358
,deleteMe,paleoData_hasPublication,,,6342
,deleteMe,paleoData_hasUncertainty,,,7
,deleteMe,paleoData_includeInGlobalTemperatureAnalysis,,,1
,deleteMe,paleoData_inferredMaterialGroupOriginal,,,599
,deleteMe,paleoData_inferredVariableType,,,5810
,deleteMe,paleoData_meanValue12k,,,72091
,deleteMe,paleoData_measurementN,,,100
,deleteMe,paleoData_measurementTableMD5,,,9110
,deleteMe,paleoData_measurementTableName,,,11967
,deleteMe,paleoData_medianRes12k,,,73082
,deleteMe,paleoData_modernTemperature,,,151
,deleteMe,paleoData_NOAAdataFormat,,,32
,deleteMe,paleoData_paleoDataMD5,,,4923
,deleteMe,paleoData_paleoDataTableName,,,8004
,deleteMe,paleoData_paleoMeasurementTableMD5,,,6783
,deleteMe,paleoData_paleoMeasurementTableNumber,,,34
,deleteMe,paleoData_positive,,,260
,deleteMe,paleoData_precededBy,,,69
,deleteMe,paleoData_proxyLumpsOriginal,,,2875
,deleteMe,paleoData_proxyObservationType,,,3542
,deleteMe,paleoData_proxyOriginal,,,2784
,deleteMe,paleoData_seasonality,,,268
,deleteMe,paleoData_seasonalityOriginal,,,125
,deleteMe,paleoData_tableMD5,,,75
,deleteMe,paleoData_tableNumber,,,18
,deleteMe,paleoData_tableType,,,14
,deleteMe,paleoData_takenAtDepth,,,38
,deleteMe,paleoData_temp12kDkIndex,,,1644
,deleteMe,paleoData_unitsOriginal,,,7274
,deleteMe,paleoData_useHoloceneTemp,,,27
,deleteMe,paleoData_useInGlabalTemperatureAnalysis,,,1
,deleteMe,paleoData_useInGlobalTemperatureAnalysis,,,6802
,deleteMe,paleoData_useInGlobalTemperatureAnlaysis,,,1
,deleteMe,paleoData_useInNam2kHydro,,,1
,deleteMe,paleoData_variableNameOriginal,,,3163
,deleteMe,pub1__ArrayType_,,,50
,deleteMe,pub1_Core,,,10
,deleteMe,pub1_Urldate,,,700
,deleteMe,tagMD5,,,11720
,deleteMe,takenAtDepth_foundInTable,,,6
,deleteMe,takenAtDepth_hasColumnNumber,,,6
,deleteMe,takenAtDepth_hasMaxValue,,,6
,deleteMe,takenAtDepth_hasMeanValue,,,6
,deleteMe,takenAtDepth_hasMedianValue,,,6
,deleteMe,takenAtDepth_hasMinValue,,,6
,deleteMe,takenAtDepth_hasProxySystem,,,6
,deleteMe,takenAtDepth_hasUnits,,,6
,deleteMe,takenAtDepth_hasVariableID,,,6
,deleteMe,takenAtDepth_name,,,6
,funding*_agency,funding*_agency,,,2055
,funding*_country,funding*_country,,,666
,funding*_grant,funding*_grant,,,1810
,funding*_investigator,funding*_investigator,,,594
,geo_continent,geo_continent,,,77128
,geo_country,geo_country,,,2300
,geo_countryOcean,geo_countryOcean,,,7056
,geo_description,geo_description,,,69331
,geo_elevation,geo_elevation,,,6281
,geo_gcmdLocation,geo_gcmdLocation,,,97906
,geo_geology,geo_geology,,,6350
,geo_geometryType,geo_geometryType,,,12398
,geo_hasMonitoring,geo_hasMonitoring,,,6350
,geo_latitude,geo_latitude,,,104325
,geo_location,geo_location,,,3115
,geo_location,geo_secondarySiteName,,,394
,geo_longitude,geo_longitude,,,104325
,geo_notes,geo_notes,,,1002
,geo_ocean,geo_ocean,,,1029
,geo_ocean,geo_ocean2,,,200
,geo_rockAge,geo_rockAge,,,6350
,geo_siteName,geo_siteName,,,104280
,add to inCompilation_properly,paleoData_inCompilation,,,
,"if true, paleo_datum = mean",paleoData_isAnomaly,,,231
,ignore,age,,,
,ignore,ageEnsemble,,,
,ignore,ageEnsembleUnits,,,49
,ignore,ageUnits,,,97985
,ignore,depth,,,
,ignore,depthUnits,,,92723
,ignore,maxYear,,,103431
,ignore,minYear,,,103431
,ignore,paleoData_paleoNumber,,,52
,ignore,tableNumber,,,104325
,ignore,tableType,,,104325
,ignore,timeID,,,104325
,ignore,timeUnit,,,187
,ignore,whichtables,,,104325
,ignore,year,,,
,ignore,yearUnits,,,8614
,interpretation1_basis,interpretation1_basis,,,1124
,interpretation1_direction,interpretation1_direction,,,69792
,interpretation1_direction,interpretation1_interpDirection,,,2883
,interpretation1_isLocal,interpretation1_local,,,25
,interpretation1_mathematicalRelation,interpretation1_mathematicalRelation,,,53
,interpretation1_notes,interpretation1_dynamical,,,25
,interpretation1_rank,interpretation1_rank,,,97
,interpretation1_scope,interpretation1_scope,,,79570
,interpretation1_seasonality,interpretation1_seasonality,,,68793
,interpretation1_seasonalityGeneral,interpretation1_seasonalityGeneral,,,68851
,interpretation1_variable,interpretation1_variable,,,70806
,interpretation1_variableDetail,interpretation1_variableDetail,,,70318
,interpretation1_variableGeneral,interpretation1_variableGroup,,,4982
,interpretation1_variableGeneralDirection,interpretation1_variableGroupDirection,,,2953
,investigators,investigator,,,1086
,investigators,investigators,,,1726
,lipdverseLink,lipdverseLink,,,21551
,lipdVersion,lipdVersion,,,104325
,modernSystem_description,modernSystem_description,,,247
,modernSystem_instrumentalDatasetCoordinates,modernSystem_instrumentalDatasetCoordinates,,,505
,modernSystem_instrumentalDatasetURL,modernSystem_instrumentalDatasetURL,,,515
,neotomaCoreID,neotomaCoreID,,,1152
,neotomaDatasetId,neotomaDatasetId,,,2616
,neotomaSiteId,neotomaSiteId,,,1408
,compilation-specific,paleoData_coralExtensionRate,,,206
,compilation-specific,paleoData_coralExtensionRateNotes,,,209
,compilation-specific,paleoData_coralTissueThickness,,,9
,compilation-specific,paleoData_jcpCorrected,,,129
,compilation-specific,paleoData_jcpMeasured,,,62
,compilation-specific,paleoData_jcpNotes,,,37
,compilation-specific,paleoData_jcpUsed,,,129
,notes,dataAcquisitionNotes,,,71
,notes,notes,,,8150
,notes,Notes,,,711
,originalDataUrl,additionalDataUrl,append,,144
,originalDataUrl,originaDataURL,,,10
,originalDataUrl,originalDataSource,,,78139
,originalDataUrl,originalDataUrl,,,96443
,originalDataUrl,originalDataURL,,,4111
,originalDataUrl,originalSourceUrl,,,70
,originalDataUrl,paleoData_WDSPaleoUrl,,,3731
,paleoData_uncertaintyAnalytical,paleoData_analyticalError,,,345
,paleoData_uncertaintyAnalytical,paleoData_analyticalUncertainty,,,6
,paleoData_coreName,paleoData_core,,,281
,paleoData_datum,paleoData_datum,,,68108
,paleoData_datum,paleoData_depthReference,,,75
,paleoData_datum,timeseriesType,,,897
,paleoData_description,paleoData_description,,,15935
,paleoData_description,paleoData_detail,,,114
,paleoData_equilibriumEvidence,interpretation1_equilibriumEvidence,,,14
,paleoData_equilibriumEvidence,paleoData_equilibriumEvidence,,,145
,paleoData_inferredMaterial,interpretation1_inferredMaterial,,,63
,paleoData_inferredMaterial,paleoData_inferredMaterial,,,847
,paleoData_inferredMaterialGeneral,paleoData_inferredMaterialGroup,,,848
,paleoData_isComposite,paleoData_isComposite,,,304
,paleoData_isPrimary,paleoData_primaryAgeColumn,,,78447
,paleoData_isPrimary,paleoData_primaryTimeseries,,,78139
,paleoData_measurementInstrument,paleoData_instrument,,,624
,paleoData_measurementInstrument,paleoData_measurementInstrument,,,128
,paleoData_measurementLaboratory,paleoData_measurementLaboratory,,,82
,paleoData_measurementMaterial,paleoData_inferredFrom,,,66
,paleoData_measurementMaterial,paleoData_measurementMaterial,,,1405
,paleoData_measurementMaterial,paleoData_measurementSizeFraction,,,117
,paleoData_measurementMaterialDetail,paleoData_measurementMaterialDetail,,,579
,paleoData_measurementMaterialScreening,paleoData_measurementMaterialScreening,,,255
,paleoData_measurementMethod,paleoData_measurementMethod,,,229
,paleoData_measurementMethod,paleoData_method,,,21
,paleoData_measurementMethod,paleoData_mgcaCleaningProtocol,,,101
,paleoData_measurementStandard,paleoData_measurementStandard,,,674
,paleoData_missingValue,paleoData_missingValue,,,18342
,paleoData_mostRecentCompilations,paleoData_mostRecentCompilations,,,2184
,paleoData_notes,paleoData_iso2kHackathonNotes,,,439
,paleoData_notes,paleoData_notes,,,4459
,paleoData_proxy,paleoData_proxy,,,71736
,paleoData_proxyDetail,paleoData_proxyDetail,,,58409
,paleoData_proxyGeneral,paleoData_proxyGeneral,,,69941
,paleoData_proxyGeneral,paleoData_proxyLumps,,,5661
,paleoData_resolution,paleoData_resolution,,calculated,1
,paleoData_samplingMethod,paleoData_samplingMethod,,,292
,paleoData_samplingMethod,samplingMethod,,,293
,paleoData_samplingNotes,paleoData_samplingNotes,,,204
,paleoData_samplingResolution,paleoData_sampleThickness,,,66
,paleoData_samplingResolution,paleoData_samplingResolution,,,252
,paleoData_sensorGenus,paleoData_archiveGenus,,,74
,paleoData_sensorGenus,paleoData_sensorGenus,,,130
,paleoData_sensorGrowingSeason,paleoData_habitatSeason,,,48
,paleoData_sensorHabitatDepth,paleoData_habitatDepth,,,28
,paleoData_sensorIntegrationTime,interpretation1_integrationTime,,,31
,paleoData_sensorIntegrationTime,paleoData_chronologyIntegrationTime,,,446
,paleoData_sensorIntegrationTime,paleoData_sensorIntegrationTime,,,8
,paleoData_sensorIntegrationTimeBasis,interpretation1_integrationTimeBasis,,,17
,paleoData_sensorIntegrationTimeBasis,paleoData_chronologyIntegrationTimeBasis,,,402
,paleoData_sensorIntegrationTimeBasis,paleoData_sensorIntegrationTimeBasis,,,3
,paleoData_sensorIntegrationTimeUncertainty,interpretation1_integrationTimeUncertainty,,,9
,paleoData_sensorIntegrationTimeUncertainty,paleoData_chronologyIntegrationTimeUncertainty,,,290
,paleoData_sensorIntegrationTimeUncertaintyType,interpretation1_integrationTimeUncertaintyType,,,17
,paleoData_sensorIntegrationTimeUncertaintyType,paleoData_chronologyIntegrationTimeUncertaintyType,,,314
,paleoData_sensorIntegrationTimeUnits,interpretation1_integrationTimeUnits,,,41
,paleoData_sensorIntegrationTimeUnits,paleoData_chronologyIntegrationTimeUnits,,,479
,paleoData_sensorIntegrationTimeUnits,paleoData_sensorIntegrationTimeUnits,,,8
,paleoData_sensorSpecies,paleoData_archiveSpecies,,,367
,paleoData_sensorSpecies,paleoData_sensorSpecies,,,2234
,paleoData_summaryStatistic,paleoData_summaryStatistic,,,78139
,paleoData_tableName,paleoData_tableName,,,104325
,paleoData_TSid,paleoData_TSid,,,104325
,paleoData_uncertainty,paleoData_uncertainty,,,179
,paleoData_uncertainty,paleoData_wNAmUncertainty,,,380
,paleoData_uncertaintyAnalytical,paleoData_uncertaintyAnalytical,,,615
,paleoData_uncertaintyReproducibility,paleoData_reproducibility,,,41
,paleoData_uncertaintyReproducibility,paleoData_uncertaintyReproducibility,,,456
,paleoData_units,paleoData_units,,,101637
,paleoData_values,paleoData_values,,,
,paleoData_variableName,paleoData_variableName,,,104325
,paleoData_variableType,paleoData_variableType,,,16216
,paleoNumber,paleoNumber,,,104325
,proxySystemModel_observationModel,proxySystemModel_observationModel,,,99
,proxySystemModel_sensorModel,proxySystemModel_sensorModel,,,108
,pub1_abstract,pub1_abstract,,,572
,pub1_author,pub1_author,,,89109
,pub1_citation,pub1_citation,,,87183
,pub1_citeKey,pub1_citeKey,,,10245
,pub1_dataUrl,pub1_data_Url,,,7
,pub1_dataUrl,pub1_dataUrl,,,5020
,pub1_dataUrl,pub1_pubDataUrl,,,6525
,pub1_doi,pub1_doi,,,98624
,pub1_edition,pub1_edition,,,6
,pub1_firstAuthor,pub1_firstauthor,,,608
,pub1_firstAuthor,pub1_firstAuthor,,,770
,pub1_institution,pub1_institution,,,692
,pub1_issue,pub1_issue,,,8627
,pub1_journal,pub1_journal,,,85521
,pub1_pages,pub1_page,,,5097
,pub1_pages,pub1_pages,,,11568
,pub1_publisher,pub1_publisher,,,10380
,pub1_report,pub1_report,,,20
,pub1_title,pub1_title,,,88604
,pub1_type,pub1_type,,,11510
,pub1_url,pub1_url,,,713
,pub1_volume,pub1_volume,,,9513
,pub1_year,pub1_pubYear,,,3014
,pub1_year,pub1_year,,,94083
,studyName,studyName,,,839
,compilation-specific,paleoData_iso2kPrimaryTimeseries,,,2030
