url,lipdName,synonym,append/replace,definition,count
,archiveType,archiveType,,,104325
,calibration_datasetRange,calibration_datasetRange,,,163
,calibration_doi,calibration_calibrationDOI,,,48
,calibration_doi,calibration_doi,,,
,calibration_doi,calibration_hasDOI,,,1
,calibration_doi,paleoData_transferFunctionDOI,,,11
,calibration_equation,calibration_calibrationEquation,,,39
,calibration_equation,calibration_equation,,,247
,calibration_equationIntercept,calibration_equationIntercept,,,112
,calibration_equationR2,calibration_equationR2,,,128
,calibration_equationSlope,calibration_equationSlope,,,137
,calibration_equationSlopeUncertainty,calibration_equationSlopeUncertainty,,,93
,calibration_method,calibration_method,,,67979
,calibration_methodDetail,calibration_methodDetail,,,784
,calibration_notes,calibration_Note,,,1
,calibration_notes,calibration_notes,,,130
,calibration_proxyDataset,calibration_proxyDataset,,,
,calibration_proxyDataset,paleoData_transferFunctionTrainingSet,,,8
,calibration_seasonality,calibration_seasonality,,,174
,calibration_targetDataset,calibration_dataset,,,219
,calibration_targetDataset,calibration_target,,,64688
,calibration_uncertainty,calibration_calibrationUncertainty,,,11
,calibration_uncertainty,calibration_uncertainty,,,795
,calibration_uncertainty,paleoData_temperature12kUncertainty,,,1247
,calibration_uncertainty,paleoData_transferFunctionUncertainty,,,8
,calibration_uncertaintyType,calibration_uncertaintyLevel,,,3
,calibration_uncertaintyType,calibration_uncertaintyType,,,1274
,changelog,changelog,,,
,chronData_doi,chronDoi,,,174
,chronData_originalDataUrl,chronUrl,,,188
,collectionName,collectionName,,,2018
,collectionName,collectionName1,,,25
,collectionName,collectionName2,,,23
,collectionName,collectionName3,,,12
,collectionYear,collectionYear,,,2223
,inCompilation family,inCompilationBeta1_compilationName,,,14806
,inCompilation family,inCompilationBeta1_compilationVersion,,,
,inCompilation family,inCompilationBeta2_compilationName,,,2353
,inCompilation family,inCompilationBeta2_compilationVersion,,,
,inCompilation family,inCompilationBeta3_compilationName,,,695
,inCompilation family,inCompilationBeta3_compilationVersion,,,
,inCompilation family,inCompilationBeta4_compilationName,,,92
,inCompilation family,inCompilationBeta4_compilationVersion,,,
,compilation-specific,paleoData_useInNAm2kHydro,,,46
,compilation-specific,paleoData_useInOnset,,,130
,compilation-specific,paleoDIVERDatasetId,,,1011
,compilation-specific,paleoDIVERSiteId,,,1011
,compilation-specific,geo_pages2kRegion,,,4230
,compilation-specific,geo_paleoDIVERSiteId,,,1011
