key,scope,owner,evidence,shared_across_compilations,in_sheet_cs,name_owner,top_compilation,concentration,count,n_datasets
paleoData_iso2kUI,column,iso2k,sheet;name;,TRUE,TRUE,iso2k,hydroclimate2k,0.401,25797,1747
paleoData_SISALEntityID,column,SISAL,sheet;name;concentration;,FALSE,TRUE,SISAL,SISAL-LiPD,0.903,15483,318
paleoData_QCCertification,column,HoloceneAbruptChange,sheet;,TRUE,TRUE,,HoloceneAbruptChange,0.537,15231,4355
paleoData_QCnotes,column,HoloceneAbruptChange,sheet;,TRUE,TRUE,,HoloceneAbruptChange,0.62,12608,3613
paleoData_QCRemainingIssues,column,HoloceneAbruptChange,sheet;,TRUE,TRUE,,HoloceneAbruptChange,0.667,5678,1178
paleoData_pages2kID,column,pages2k,sheet;name;,TRUE,TRUE,pages2k,Pages2kTemperature,0.76,3043,851
LegacyClimateDatasetId,root,LegacyClimate,sheet;name;,TRUE,TRUE,LegacyClimate,LegacyClimate-LiPD,0.899,2653,2653
LegacyClimateSiteId,root,LegacyClimate,sheet;name;,TRUE,TRUE,LegacyClimate,LegacyClimate-LiPD,0.899,2653,2653
paleoData_iso2kPrimaryTimeseries,column,iso2k,sheet;name;concentration;,FALSE,TRUE,iso2k,iso2k,0.99,1864,516
geo_pages2kRegion,geo,pages2k,sheet;name;,TRUE,TRUE,pages2k,Pages2kTemperature,0.681,956,956
paleoData_iso2kCertification,column,iso2k,sheet;name;concentration;,FALSE,TRUE,iso2k,iso2k,0.998,756,491
paleoData_coralExtensionRate,column,CoralHydro2k,sheet;concentration;,FALSE,TRUE,,CoralHydro2k,1,608,179
paleoData_coralHydro2kGroup,column,CoralHydro2k,sheet;name;concentration;,FALSE,TRUE,CoralHydro2k,CoralHydro2k,1,608,179
paleoData_jcpCorrected,column,CoralHydro2k,sheet;concentration;,FALSE,TRUE,,CoralHydro2k,1,608,179
paleoData_jcpMeasured,column,CoralHydro2k,sheet;concentration;,FALSE,TRUE,,CoralHydro2k,1,608,179
paleoData_jcpUsed,column,CoralHydro2k,sheet;concentration;,FALSE,TRUE,,CoralHydro2k,1,608,179
geo_sisalSiteId,geo,SISAL,sheet;name;,TRUE,TRUE,SISAL,SISAL-LiPD,0.544,529,529
paleoDIVERDatasetId,root,paleoDIVER,sheet;name;,TRUE,TRUE,paleoDIVER,NAm21k-noPollen,0.428,458,458
paleoDIVERSiteId,root,paleoDIVER,sheet;name;,TRUE,TRUE,paleoDIVER,NAm21k-noPollen,0.428,458,458
paleoData_useInOnset,column,HoloceneAbruptChange,sheet;concentration;,FALSE,TRUE,,HoloceneAbruptChange,1,457,124
paleoData_ch2kCoreCode,column,ch2k,sheet;name;concentration;,FALSE,TRUE,ch2k,CoralHydro2k,1,304,179
paleoData_coralExtensionRateNotes,column,CoralHydro2k,sheet;concentration;,FALSE,TRUE,,CoralHydro2k,1,209,124
geo_paleoDIVERSiteId,geo,paleoDIVER,sheet;name;concentration;,FALSE,TRUE,paleoDIVER,NAm21k-noPollen,1,190,190
paleoData_ocean2kID,column,ocean2k,sheet;name;,TRUE,TRUE,ocean2k,Pages2kTemperature,0.671,183,152
paleoData_pages2kId,column,pages2k,sheet;name;concentration;,FALSE,TRUE,pages2k,iso2k,0.984,96,62
paleoData_QCLastUpdated,column,HoloceneAbruptChange,sheet;concentration;,FALSE,TRUE,,HoloceneAbruptChange,1,65,8
paleoData_useInNAm2kHydro,column,NAm2k,sheet;name;,TRUE,TRUE,NAm2k,HoloceneAbruptChange,0.821,53,28
paleoData_jcpNotes,column,CoralHydro2k,sheet;concentration;,FALSE,TRUE,,CoralHydro2k,1,37,30
paleoData_coralTissueThickness,column,CoralHydro2k,sheet;concentration;,FALSE,TRUE,,CoralHydro2k,1,9,5
paleoData_temp12kDkIndex,column,Temp12k,name;,TRUE,FALSE,Temp12k,HoloceneAbruptChange,0.899,5584,1322
chronData_SISALEntityID,column,SISAL,name;concentration;,FALSE,FALSE,SISAL,SISAL-LiPD,1,5355,79
paleoData_hydroclimate2kCertification,column,hydroclimate2k,name;concentration;,FALSE,FALSE,hydroclimate2k,hydroclimate2k,1,4911,700
paleoData_useInNAm2k,column,NAm2k,name;concentration;,FALSE,FALSE,NAm2k,Nam2kDendro,1,1837,230
paleoData_iso2kHackathonNotes,column,iso2k,name;concentration;,FALSE,FALSE,iso2k,iso2k,0.979,421,195
chronData_SISALEntityID,table,SISAL,name;concentration;,FALSE,FALSE,SISAL,SISAL-LiPD,1,399,208
chronData_hasIso2kUI,column,iso2k,name;concentration;,FALSE,FALSE,iso2k,iso2k,1,374,310
paleoData_meetsHoloceneHydroclimateCriteria,column,HoloceneHydroclimate,name;concentration;,FALSE,FALSE,HoloceneHydroclimate,SISAL-LiPD,1,343,110
chronData_iso2kUI,column,iso2k,name;concentration;,FALSE,FALSE,iso2k,hydroclimate2k,1,17,9
testField,root,test,name;concentration;,FALSE,FALSE,test,HoloceneAbruptChange,1,6,6
paleoData_useInNam2kHydro,column,NAm2k,name;,FALSE,FALSE,NAm2k,HoloceneAbruptChange,1,1,1
