compilation,version,last_run,years,n_datasets,suggested
HoloceneAbruptChange,0_11_0,2020-10-08 12:47:09,5.8,3394,sheet
Temp12k,1_2_0,2023-01-11 17:13:44,3.6,631,sheet
HoloceneHydroclimate,0_9_1,2023-08-18 23:46:17,3,1685,sheet
test,0_17_5,2023-07-18 19:34:45,3,0,sheet
Hydro21k,0_11_0,2024-02-09 20:53:46,2.5,354,sheet
LakeStatus21k,1_0_0,2024-11-22 23:33:33,1.7,216,sheet
Temp24k,0_8_0,2025-02-19 20:30:30,1.5,1233,sheet
iso2k,1_1_2,2025-05-22 04:53:53,1.2,508,sheet
Pages2kTemperature,2_2_0,2025-06-07 00:20:25,1.2,647,sheet
FreeSoda,0_0_3,2025-06-23 21:35:17,1.1,24,sheet
SISAL-LiPD,2_1_1,2025-06-26 00:19:45,1.1,293,sheet
RapidArcticWarming,0_7_0,2025-06-12 23:12:29,1.1,544,sheet
CoralHydro2k,1_0_1,2025-06-30 20:53:16,1.1,179,sheet
GBRCD,1_0_1,2025-06-23 16:22:54,1.1,0,sheet
LegacyClimate-LiPD,0_0_2,2025-06-26 22:07:24,1.1,2385,sheet
Nam2kDendro,1_0_0,2025-07-11 18:17:43,1.1,230,sheet
PalMod,2_0_0,2025-09-29 17:50:17,0.8,475,sheet
hydroclimate2k,0_4_0,2026-06-22 23:32:28,0.1,435,files
NAm21k,0_0_1,2026-07-23 22:16:20,0,0,files
NAm21k-noPollen,0_0_3,2026-07-24 04:42:01.38785,0,576,files
