file,TSid,variableName,form,value
1670.lpd,T2L_1670_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,bare string,Tverse
AElbiFlue.EPD.lpd,RdTzqxQVgfs,temperature,bare string,Tverse
AElbiFlue.EPD.lpd,RMlWoW2LVnR,temperature,bare string,Tverse
AElbiFlue.EPD.lpd,R13poqA5uYT,temperature,bare string,Tverse
Aletschwald.EPD.lpd,RmJuqikEUVQ,temperature,bare string,Tverse
Aletschwald.EPD.lpd,RtIyYakGebv,temperature,bare string,Tverse
Aletschwald.EPD.lpd,R3vkj9nm4cN,temperature,bare string,Tverse
BeliyaKanton.EPD.lpd,RZYjOhQG29T,temperature,bare string,Tverse
BeliyaKanton.EPD.lpd,RyupXOaROtE,temperature,bare string,Tverse
BeliyaKanton.EPD.lpd,RRSa0LiwJZm,temperature,bare string,Tverse
BlackSea(Southwest1).EPD.lpd,RztxWNJI8Nf,temperature,bare string,Tverse
BlackSea(Southwest1).EPD.lpd,RQrs5Bcvt1T,temperature,bare string,Tverse
BlackSea(Southwest1).EPD.lpd,Rj4kXiUwMjO,temperature,bare string,Tverse
BlackSea(Southwest2).EPD.lpd,RhlRYvQBLWQ,temperature,bare string,Tverse
BlackSea(Southwest2).EPD.lpd,RbZ9wyKWByi,temperature,bare string,Tverse
BlackSea(Southwest2).EPD.lpd,RkMIcfVvIkj,temperature,bare string,Tverse
BOFS5K.lpd,R1Oids7UvUV,temperature,bare string,Tverse
BOFS5K.lpd,RDR0RRA3smX,temperature,bare string,Tverse
DeltadelRioBesos.EPD.lpd,RoeTCQH78k5,temperature,bare string,Tverse
DeltadelRioBesos.EPD.lpd,RhNgYiICliI,temperature,bare string,Tverse
DeltadelRioBesos.EPD.lpd,RhZtaE9y5I0,temperature,bare string,Tverse
DomeF.Kawamura.2007.lpd,GHb1defdc8,temperature,proper entry,Tverse
Fougeres.EPD.lpd,RlCeFfbwi5K,temperature,bare string,Tverse
Fougeres.EPD.lpd,R911b09Pi3c,temperature,bare string,Tverse
Fougeres.EPD.lpd,R3U06XeeZi0,temperature,bare string,Tverse
GeoB10029_4.lpd,T2L_GeoB10029_4_mgca_ruber_stricto_SST_from_mgca_ruber_stricto,temperature,bare string,Tverse
GeoB10029_4.lpd,T2L_GeoB10029_4_mgca_ruber_lato_SST_from_mgca_ruber_lato,temperature,bare string,Tverse
GeoB10029_4.lpd,T2L_GeoB10029_4_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
GeoB10069-3.Gibbons.2014.lpd,LPD78bb3782,temperature,bare string,Tverse
GeoB3202_1.lpd,T2L_GeoB3202_1_d18o_sacculifer_SST_from_d18o_sacculifer,temperature,bare string,Tverse
GeoB3202_1.lpd,T2L_GeoB3202_1_d18o_ruber_pink_SST_from_d18o_ruber_pink,temperature,bare string,Tverse
GeoB3911_3.lpd,T2L_GeoB3911_3_d18o_sacculifer_SST_from_d18o_sacculifer,temperature,bare string,Tverse
GeoB3911_3.lpd,T2L_GeoB3911_3_d18o_ruber_pink_SST_from_d18o_ruber_pink,temperature,bare string,Tverse
GeoB6211_2.lpd,RydRULpkhTx,temperature,bare string,Tverse
GeoB6211_2.lpd,R88xcOosPd2,temperature,bare string,Tverse
GeoB7139_2.lpd,T2L_GeoB7139_2_uk37_SST_from_uk37,temperature,bare string,Tverse
GeoB71392.Kaiser.2008.lpd,LPDae761fd0xxxx,temperature,bare string,Tverse
GeoB7165_1.lpd,T2L_GeoB7165_1_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,bare string,Tverse
Gerzensee.Cladocera.Switzerland.lpd,Ru123glBOSW,temperature,bare string,Tverse
Gerzensee.Pollen.Switzerland.lpd,RfWsTYBdWqH,temperature,bare string,Tverse
GIK17961_2.lpd,T2L_GIK17961_2_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
GIK17964_2.lpd,T2L_GIK17964_2_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
Grindjisee.EPD.lpd,RhKl4Vgz2Xp,temperature,bare string,Tverse
Grindjisee.EPD.lpd,Rslox6C7D6D,temperature,bare string,Tverse
Grindjisee.EPD.lpd,RxJvgQhydP1,temperature,bare string,Tverse
GS07_150_10_3MC_B.lpd,T2L_GS07_150_10_3MC_B_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
HU87033_87017TWC.lpd,T2L_HU87033_87017TWC_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,bare string,Tverse
HU87033_87018TWC.lpd,T2L_HU87033_87018TWC_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,bare string,Tverse
Kamenicky.EPD.lpd,Rne2EJUfWbZ,temperature,bare string,Tverse
Kamenicky.EPD.lpd,RRSjZKAEXAL,temperature,bare string,Tverse
Kamenicky.EPD.lpd,RPiT6xzQIBK,temperature,bare string,Tverse
KH_79_3_L3.lpd,T2L_KH_79_3_L3_uk37_SST_from_uk37,temperature,bare string,Tverse
KH_79_3_L3.lpd,T2L_KH_79_3_L3_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,bare string,Tverse
Kupena.EPD.lpd,Rb9BMzM6eEF,temperature,bare string,Tverse
Kupena.EPD.lpd,RxM5vPdoIFW,temperature,bare string,Tverse
Kupena.EPD.lpd,RY0UvBUTiq4,temperature,bare string,Tverse
LacBrule.Pollen.Canada.lpd,RAt0wcea1H7,temperature,bare string,Tverse
LacBrule.Pollen.Canada.lpd,RCCSxqKRMbv,temperature,bare string,Tverse
LacdeBretaye.EPD.lpd,R0EzAucR8Yx,temperature,bare string,Tverse
LacdeBretaye.EPD.lpd,RWwcsb7nuDx,temperature,bare string,Tverse
LacdeBretaye.EPD.lpd,RPdaJunCjl6,temperature,bare string,Tverse
LacNoir.Pollen.Canada.lpd,RW5NY4lp9VS,temperature,bare string,Tverse
LakeMina.Pollen.USA.lpd,R3YK7ZO5clD,temperature,bare string,Tverse
LakeMina.Pollen.USA.lpd,RAk2fpbI0za,temperature,bare string,Tverse
LakeMina.Pollen.USA.lpd,RiuqXXChSJC,temperature,bare string,Tverse
