file,TSid,variableName,form,value
M77_2_005_3.lpd,T2L_M77_2_005_3_uk37_SST_from_uk37,temperature,bare string,Tverse
MaraisdeCharauze.EPD.lpd,RaTsmqJn6GV,temperature,bare string,Tverse
MaraisdeCharauze.EPD.lpd,RUGG5bttdBj,temperature,bare string,Tverse
MaraisdeCharauze.EPD.lpd,RhTWQkxsRNY,temperature,bare string,Tverse
MD03_2697.lpd,T2L_MD03_2697_d18o_bulloides_SST_from_d18o_bulloides,temperature,bare string,Tverse
MD84_551.lpd,T2L_MD84_551_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,proper entry,Tverse
MD88_770.lpd,T2L_MD88_770_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,bare string,Tverse
MonteSanGiorgio.EPD.lpd,Rparp0jbEXs,temperature,bare string,Tverse
MonteSanGiorgio.EPD.lpd,RBNdEaYLeoh,temperature,bare string,Tverse
MonteSanGiorgio.EPD.lpd,RvL7EFEeLa2,temperature,bare string,Tverse
MV1014_07MC.lpd,T2L_MV1014_07MC_tex86_SST_from_tex86,temperature,bare string,Tverse
MV1014_17JC.lpd,T2L_MV1014_17JC_tex86_SST_from_tex86,temperature,bare string,Tverse
MV1014_17JC.lpd,T2L_MV1014_17JC_mgca_ruber_SST_from_mgca_ruber,temperature,bare string,Tverse
MV99_GC41.lpd,T2L_MV99_GC41_mgca_bulloides_SST_from_mgca_bulloides,temperature,bare string,Tverse
NAP_63_1.lpd,T2L_NAP_63_1_uk37_SST_from_uk37,temperature,bare string,Tverse
NAP_63_1.lpd,T2L_NAP_63_1_tex86_SST_from_tex86,temperature,bare string,Tverse
Naroch.EPD.lpd,RPupPW84LAW,temperature,bare string,Tverse
Naroch.EPD.lpd,RYNgsUHubcx,temperature,bare string,Tverse
Naroch.EPD.lpd,R2YEd7jAM0l,temperature,bare string,Tverse
Nesmeyanov_GGC_15.lpd,T2L_Nesmeyanov_GGC_15_d18o_pachyderma_SST_from_d18o_pachyderma,temperature,bare string,Tverse
O2kLR-Tagusmudpatc.Abrantes.2005.lpd,LPD1028d531xxx,temperature,bare string,Tverse
PicodelSertal.EPD.lpd,RC8UhJSN4xp,temperature,bare string,Tverse
PicodelSertal.EPD.lpd,ReuuHoP1M2x,temperature,bare string,Tverse
PicodelSertal.EPD.lpd,RSch1vR2zFH,temperature,bare string,Tverse
RC08_102.lpd,T2L_RC08_102_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
RC08_102.lpd,T2L_RC08_102_d18o_sacculifer_SST_from_d18o_sacculifer,temperature,bare string,Tverse
RC11_238.lpd,T2L_RC11_238_uk37_SST_from_uk37,temperature,bare string,Tverse
RC11_238.lpd,T2L_RC11_238_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
RC11_238.lpd,T2L_RC11_238_d18o_sacculifer_SST_from_d18o_sacculifer,temperature,bare string,Tverse
RC24_11G.lpd,T2L_RC24_11G_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
RC27_14.lpd,T2L_RC27_14_d18o_bulloides_SST_from_d18o_bulloides,temperature,bare string,Tverse
Schoepfenwaldmoor.EPD.lpd,RLmz8TJDPA5,temperature,bare string,Tverse
Schoepfenwaldmoor.EPD.lpd,RjpliLMztwC,temperature,bare string,Tverse
Schoepfenwaldmoor.EPD.lpd,RB06CbW36T4,temperature,bare string,Tverse
SCS90_36.lpd,T2L_SCS90_36_uk37_SST_from_uk37,temperature,bare string,Tverse
SCS90_36.lpd,T2L_SCS90_36_d18o_sacculifer_SST_from_d18o_sacculifer,temperature,bare string,Tverse
SK157_4.lpd,T2L_SK157_4_mgca_ruber_SST_from_mgca_ruber,temperature,bare string,Tverse
SK168_GC_1.lpd,Rt2KTlfbHBu,Mg/Ca,bare string,Tverse
SK168_GC_1.lpd,RUECFJaPepM,temperature,bare string,Tverse
SK168_GC_1.lpd,RZB4v6iqA3N,d18O,bare string,Tverse
SK168_GC1.lpd,T2L_SK168_GC1_mgca_sacculifer_SST_from_mgca_sacculifer,temperature,bare string,Tverse
SK168_GC1.lpd,T2L_SK168_GC1_d18o_sacculifer_SST_from_d18o_sacculifer,temperature,bare string,Tverse
SK237-GC04.Saraswat.2013.lpd,MS13RSAS01b,temperature,bare string,Tverse
SK237-GC04.Saraswat.2013.lpd,O2kLR_118q,Mg/Ca,bare string,Tverse
SK237-GC04.Saraswat.2013.lpd,MS13RSAS01a,temperature,bare string,Tverse
SK237-GC04.Saraswat.2013.lpd,O2kLR_118_2,temperature,bare string,Tverse
SK237-GC04.Saraswat.2013.lpd,O2kLR_120_2,d18O,bare string,Tverse
Station_6_MC.lpd,T2L_Station_6_MC_uk37_SST_from_uk37,temperature,bare string,Tverse
TourbieredeSantaAnna.EPD.lpd,RqT400awLAh,temperature,bare string,Tverse
TourbieredeSantaAnna.EPD.lpd,Rvvz8itcA42,temperature,bare string,Tverse
TourbieredeSantaAnna.EPD.lpd,RrmKrnG5oF2,temperature,bare string,Tverse
Trogenmoos.EPD.lpd,RKQKWjMOAcW,temperature,bare string,Tverse
Trogenmoos.EPD.lpd,RljZTHj20qj,temperature,bare string,Tverse
Trogenmoos.EPD.lpd,R5Ek0KGz0Mt,temperature,bare string,Tverse
VelkyMaj.EPD.lpd,RLPfK8IMBHh,temperature,bare string,Tverse
VelkyMaj.EPD.lpd,RTpadwJXWuR,temperature,bare string,Tverse
VelkyMaj.EPD.lpd,RnYZK4rUvAJ,temperature,bare string,Tverse
VitoshaMountainsPeatBog.EPD.lpd,RgdeBeLMjxA,temperature,bare string,Tverse
VitoshaMountainsPeatBog.EPD.lpd,RTeYtbDGOGe,temperature,bare string,Tverse
VitoshaMountainsPeatBog.EPD.lpd,Rp3NSN3Cos5,temperature,bare string,Tverse
VM19_27.lpd,T2L_VM19_27_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
VM19_30.lpd,T2L_VM19_30_uk37_SST_from_uk37,temperature,bare string,Tverse
VM21_40.lpd,T2L_VM21_40_d18o_sacculifer_SST_from_d18o_sacculifer,temperature,bare string,Tverse
VM21_40.lpd,T2L_VM21_40_d18o_ruber_SST_from_d18o_ruber,temperature,bare string,Tverse
