dataset,flag,compilations,tsid,variableName,units,n_values,min,max
Gueldaman.Ruan.2016,"b2k axis (ages count from 2000, not 1950)",HoloceneAbruptChange,WEBd4bb17ed,age,yr b2k,201,3243,5843
Kinderlinskaya.Baker.2017,"b2k axis (ages count from 2000, not 1950)",NA,WEBad4e3310,age,yr b2k,933,0,11754
Tuktoyaktuk.Holland.2020,"b2k axis (ages count from 2000, not 1950)",HoloceneAbruptChange; RapidArcticWarming,WEB7b1bc10f,year,yr b2k,36,641,7482
108_658.Tiedemann.2006,kiloyear/megayear axis,PalMod,108_658_TS_001,age,yr ka,1044,0.428295033961803,136.745836076136
108_658.Tiedemann.2006,kiloyear/megayear axis,PalMod,108_658_TS_003,age,yr ka,1044,0.434219497680664,136.801455432349
108_658.Tiedemann.2006,kiloyear/megayear axis,PalMod,108_658_TS_007,age,yr ka,1044,0.59,1949.9
108_658.Tiedemann.2006,kiloyear/megayear axis,PalMod,108_658_TS_014,age,yr ka,1044,4.1,3606.5
108_658C.Zhao.2004,kiloyear/megayear axis,PalMod,108_658C_TS_001,age,yr ka,585,0.699334078979492,23.2113402047056
108_658C.Zhao.2004,kiloyear/megayear axis,PalMod,108_658C_TS_003,age,yr ka,585,0.70114599609375,23.1854417815208
108_658C.Zhao.2004,kiloyear/megayear axis,PalMod,108_658C_TS_017,age,yr ka,585,0.08,79.25
108_658C.Zhao.2004,kiloyear/megayear axis,PalMod,108_658C_TS_021,age,yr ka,585,0.088,23.023
108_659.lastname.year,kiloyear/megayear axis,PalMod,108_659_TS_001,age,yr ka,1236,0.424305921678409,136.324928798677
108_659.lastname.year,kiloyear/megayear axis,PalMod,108_659_TS_003,age,yr ka,1236,0.442781509399414,136.311396724379
108_659.lastname.year,kiloyear/megayear axis,PalMod,108_659_TS_006,age,yr ka,1236,2,4437.7
108_659.lastname.year,kiloyear/megayear axis,PalMod,108_659_TS_014,age,yr ka,1236,2,7979.1
108_664B.Ruddiman.2006,kiloyear/megayear axis,PalMod,108_664B_TS_001,age,yr ka,700,69.6815985273438,137.239835261505
108_664B.Ruddiman.2006,kiloyear/megayear axis,PalMod,108_664B_TS_003,age,yr ka,700,69.7268515625,137.096429074287
108_664B.Ruddiman.2006,kiloyear/megayear axis,PalMod,108_664B_TS_006,age,yr ka,700,33.5,1249
117_723A.Godad.2010,kiloyear/megayear axis,PalMod,117_723A_TS_001,age,yr ka,74,0.466437768173218,22.6703882399735
117_723A.Godad.2010,kiloyear/megayear axis,PalMod,117_723A_TS_003,age,yr ka,74,0.475939514160156,22.6492260333708
117_723A.Godad.2010,kiloyear/megayear axis,PalMod,117_723A_TS_006,age,yr ka,74,0.5,22.26
117_723A.Godad.2010,kiloyear/megayear axis,PalMod,117_723A_TS_009,age,yr ka,74,0.95,19.13
121_758.Farrell.2006,kiloyear/megayear axis,PalMod,121_758_TS_001,age,yr ka,847,10.8283909921875,128.362496190266
121_758.Farrell.2006,kiloyear/megayear axis,PalMod,121_758_TS_003,age,yr ka,847,10.97,128.49452389884
121_758.Farrell.2006,kiloyear/megayear axis,PalMod,121_758_TS_011,age,yr ka,847,0.6,5182.52
121_758.Farrell.2006,kiloyear/megayear axis,PalMod,121_758_TS_012,age,yr ka,847,0.55,1000.23
130_806B.Berger.2006,kiloyear/megayear axis,PalMod,130_806B_TS_001,age,yr ka,1336,2.92447716603851,541.44649752396106
130_806B.Berger.2006,kiloyear/megayear axis,PalMod,130_806B_TS_003,age,yr ka,1336,2.91216491699219,541.67327129977
130_806B.Berger.2006,kiloyear/megayear axis,PalMod,130_806B_TS_007,age,yr ka,1336,3.42,753.12
130_806B.Berger.2006,kiloyear/megayear axis,PalMod,130_806B_TS_015,age,yr ka,1336,4.3,1348
133_819A.Alexer.2006,kiloyear/megayear axis,PalMod,133_819A_TS_001,age,yr ka,563,0.580937432298303,135.458943971429
133_819A.Alexer.2006,kiloyear/megayear axis,PalMod,133_819A_TS_003,age,yr ka,563,0.6020009765625,135.42834511428
154_925C.Wilkens.2017,kiloyear/megayear axis,PalMod,154_925C_TS_001,age,yr ka,57,8.27560994482422,129.411966207991
154_925C.Wilkens.2017,kiloyear/megayear axis,PalMod,154_925C_TS_003,age,yr ka,57,8.41996484375,129.541799687386
154_925C.Wilkens.2017,kiloyear/megayear axis,PalMod,154_925C_TS_011,age,yr ka,57,2.7,161.8
154_927.Wilkens.2017,kiloyear/megayear axis,PalMod,154_927_TS_001,age,yr ka,71,5.32671960302734,136.163195639628
154_927.Wilkens.2017,kiloyear/megayear axis,PalMod,154_927_TS_003,age,yr ka,71,5.3223251953125,136.169491955826
154_927.Wilkens.2017,kiloyear/megayear axis,PalMod,154_927_TS_009,age,yr ka,71,0.6,190.7
154_929.Wilkens.2017,kiloyear/megayear axis,PalMod,154_929_TS_001,age,yr ka,80,2.99598134762383,135.759774886526
154_929.Wilkens.2017,kiloyear/megayear axis,PalMod,154_929_TS_003,age,yr ka,80,2.95493493652344,135.822940781421
154_929.Wilkens.2017,kiloyear/megayear axis,PalMod,154_929_TS_010,age,yr ka,80,4.1,198.7
160_963A.Incarbona.2011,kiloyear/megayear axis,PalMod,160_963A_TS_001,age,yr ka,174,113.867922,137.430659116214
160_963A.Incarbona.2011,kiloyear/megayear axis,PalMod,160_963A_TS_003,age,yr ka,174,114.02,137.32421502018
160_963A.Incarbona.2011,kiloyear/megayear axis,PalMod,160_963A_TS_006,age,yr ka,174,112.73,137.71
161_976.Jimenez‐Amat.2015,kiloyear/megayear axis,PalMod,161_976_TS_001,age,yr ka,1002,1.71528923046875,25.4142414232362
161_976.Jimenez‐Amat.2015,kiloyear/megayear axis,PalMod,161_976_TS_003,age,yr ka,1002,1.68276000976563,25.4281669664089
161_976.Jimenez‐Amat.2015,kiloyear/megayear axis,PalMod,161_976_TS_006,age,yr ka,1002,0.185,149.48
161_976.Jimenez‐Amat.2015,kiloyear/megayear axis,PalMod,161_976_TS_011,age,yr ka,1002,0.15,146.26
162_983.Barker.2015,kiloyear/megayear axis,PalMod,162_983_TS_001,age,yr ka,6972,0.451483538947165,190.471066220041
162_983.Barker.2015,kiloyear/megayear axis,PalMod,162_983_TS_003,age,yr ka,6972,0.460253494262695,190.393911229392
162_983.Barker.2015,kiloyear/megayear axis,PalMod,162_983_TS_006,age,yr ka,6972,1.355,1978.829
162_983.Barker.2015,kiloyear/megayear axis,PalMod,162_983_TS_009,age,yr ka,6972,7.296,450.258
162_983.Barker.2015,kiloyear/megayear axis,PalMod,162_983_TS_012,age,yr ka,6972,0.539,2179.971
167_1011C.Andreasen.2006,kiloyear/megayear axis,PalMod,167_1011C_TS_001,age,yr ka,146,1.75583689258671,131.386242830795
167_1011C.Andreasen.2006,kiloyear/megayear axis,PalMod,167_1011C_TS_003,age,yr ka,146,1.77168499755859,131.374830567155
167_1011C.Andreasen.2006,kiloyear/megayear axis,PalMod,167_1011C_TS_008,age,yr ka,146,2.06,340.03
167_1011C.Andreasen.2006,kiloyear/megayear axis,PalMod,167_1011C_TS_013,age,yr ka,146,0.21,342.4
167_1014.Hendy.2006,kiloyear/megayear axis,PalMod,167_1014_TS_001,age,yr ka,353,2.64908716430664,131.386100875394
167_1014.Hendy.2006,kiloyear/megayear axis,PalMod,167_1014_TS_003,age,yr ka,353,2.6645400390625,131.562067828783
167_1014.Hendy.2006,kiloyear/megayear axis,PalMod,167_1014_TS_007,age,yr ka,353,0,187.24
167_1014.Hendy.2006,kiloyear/megayear axis,PalMod,167_1014_TS_013,age,yr ka,353,0.87,158.1864
167_1017E.Kennett.2006,kiloyear/megayear axis,PalMod,167_1017E_TS_001,age,yr ka,1134,9.60271258789063,117.96803295219
167_1017E.Kennett.2006,kiloyear/megayear axis,PalMod,167_1017E_TS_003,age,yr ka,1134,9.6027197265625,117.850789728683
167_1017E.Kennett.2006,kiloyear/megayear axis,PalMod,167_1017E_TS_007,age,yr ka,1134,0.138,138.46
167_1018C.Andreasen.2006,kiloyear/megayear axis,PalMod,167_1018C_TS_001,age,yr ka,207,4.48460612097168,135.51322116355
167_1018C.Andreasen.2006,kiloyear/megayear axis,PalMod,167_1018C_TS_003,age,yr ka,207,4.4974599609375,135.471197457051
167_1018C.Andreasen.2006,kiloyear/megayear axis,PalMod,167_1018C_TS_007,age,yr ka,207,1.04,188
167_1019C.Barron.2003,kiloyear/megayear axis,PalMod,167_1019C_TS_001,age,yr ka,342,0.388477877851486,17.4470645317019
167_1019C.Barron.2003,kiloyear/megayear axis,PalMod,167_1019C_TS_003,age,yr ka,342,0.403084150314331,17.4808365915045
167_1019C.Barron.2003,kiloyear/megayear axis,PalMod,167_1019C_TS_007,age,yr ka,342,0.16,14.94
167_1019C.Barron.2003,kiloyear/megayear axis,PalMod,167_1019C_TS_012,age,yr ka,342,0.16,15.8
167_1019C.Barron.2003,kiloyear/megayear axis,PalMod,167_1019C_TS_017,age,yr ka,342,1.18,15.8
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_001,age,yr ka,567,70.2236181171875,133.32651295336
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_003,age,yr ka,567,70.25205078125,133.399456237316
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_006,age,yr ka,567,69,144.08
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_010,age,yr ka,567,69,147.19
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_014,age,yr ka,567,0,139.8
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_018,age,yr ka,567,0.77,131.4
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_022,age,yr ka,567,0,149.92
172_1058C.Bahr.2013,kiloyear/megayear axis,PalMod,172_1058C_TS_026,age,yr ka,567,0,149.92
