dataset,flag,compilations,tsid,variableName,units,n_values,min,max
172_1059A.Oppo.2004,kiloyear/megayear axis,PalMod,172_1059A_TS_001,age,yr ka,169,75.5173003046875,132.393131418427
172_1059A.Oppo.2004,kiloyear/megayear axis,PalMod,172_1059A_TS_003,age,yr ka,169,75.504203125,132.376127285502
172_1059A.Oppo.2004,kiloyear/megayear axis,PalMod,172_1059A_TS_007,age,yr ka,169,68.92,156.14
172_1059A.Oppo.2004,kiloyear/megayear axis,PalMod,172_1059A_TS_011,age,yr ka,169,68.92,143.764
175_1078C.Hessler.2011,kiloyear/megayear axis,PalMod,175_1078C_TS_001,age,yr ka,258,0.551382413330078,46.2816626052697
175_1078C.Hessler.2011,kiloyear/megayear axis,PalMod,175_1078C_TS_003,age,yr ka,258,0.543321990966797,46.2007948101158
175_1078C.Hessler.2011,kiloyear/megayear axis,PalMod,175_1078C_TS_006,age,yr ka,258,0.02,24.74
175_1078C.Hessler.2011,kiloyear/megayear axis,PalMod,175_1078C_TS_010,age,yr ka,258,23.46,49.89
175_1078C.Hessler.2011,kiloyear/megayear axis,PalMod,175_1078C_TS_014,age,yr ka,258,23.46,50.1
175_1078C.Hessler.2011,kiloyear/megayear axis,PalMod,175_1078C_TS_018,age,yr ka,258,24.07,49.89
175_1087A.Pierre.2006,kiloyear/megayear axis,PalMod,175_1087A_TS_001,age,yr ka,243,0.496953536026001,136.337671745539
175_1087A.Pierre.2006,kiloyear/megayear axis,PalMod,175_1087A_TS_003,age,yr ka,243,0.497167007446289,136.402121856689
175_1087A.Pierre.2006,kiloyear/megayear axis,PalMod,175_1087A_TS_006,age,yr ka,243,0,500
177_1089.Cortese.2007,kiloyear/megayear axis,PalMod,177_1089_TS_001,age,yr ka,2018,0.545900402516007,132.333774658573
177_1089.Cortese.2007,kiloyear/megayear axis,PalMod,177_1089_TS_003,age,yr ka,2018,0.552611511230469,132.401287473751
177_1089.Cortese.2007,kiloyear/megayear axis,PalMod,177_1089_TS_006,age,yr ka,2018,0.55,614.71
177_1089.Cortese.2007,kiloyear/megayear axis,PalMod,177_1089_TS_013,age,yr ka,2018,1.83495,436.521
181_1123.Elderfield.2012,kiloyear/megayear axis,PalMod,181_1123_TS_001,age,yr ka,2656,1.03402749451351,544.875997975247
181_1123.Elderfield.2012,kiloyear/megayear axis,PalMod,181_1123_TS_003,age,yr ka,2656,1.030875,544.896345166274
181_1123.Elderfield.2012,kiloyear/megayear axis,PalMod,181_1123_TS_008,age,yr ka,2656,7,1546
181_1123.Elderfield.2012,kiloyear/megayear axis,PalMod,181_1123_TS_013,age,yr ka,2656,0,998.835
181_1123.Elderfield.2012,kiloyear/megayear axis,PalMod,181_1123_TS_017,age,yr ka,2656,1,33116
182_1132B.Brooks.2006,kiloyear/megayear axis,PalMod,182_1132B_TS_001,age,yr ka,404,30.2524248715493,131.981194409003
182_1132B.Brooks.2006,kiloyear/megayear axis,PalMod,182_1132B_TS_003,age,yr ka,404,30.1390176074505,131.99160124712
184_1143.Li.2011,kiloyear/megayear axis,PalMod,184_1143_TS_001,age,yr ka,3153,7.44098024560547,628.620750501867
184_1143.Li.2011,kiloyear/megayear axis,PalMod,184_1143_TS_003,age,yr ka,3153,7.45171997070312,628.95375741611
184_1143.Li.2011,kiloyear/megayear axis,PalMod,184_1143_TS_008,age,yr ka,3153,0,5020.61
184_1143.Li.2011,kiloyear/megayear axis,PalMod,184_1143_TS_012,age,yr ka,3153,5.04,4005.19
184_1144A.Wei.2007,kiloyear/megayear axis,PalMod,184_1144A_TS_001,age,yr ka,526,1.7055921277657,48.1249217873221
184_1144A.Wei.2007,kiloyear/megayear axis,PalMod,184_1144A_TS_003,age,yr ka,526,1.61755283093452,48.1109427047693
184_1144A.Wei.2007,kiloyear/megayear axis,PalMod,184_1144A_TS_006,age,yr ka,526,1.74,261.3
184_1146.Herbert.2010,kiloyear/megayear axis,PalMod,184_1146_TS_001,age,yr ka,1432,4.84552922192383,561.878676146597
184_1146.Herbert.2010,kiloyear/megayear axis,PalMod,184_1146_TS_003,age,yr ka,1432,4.83803491210938,561.961434154963
184_1146.Herbert.2010,kiloyear/megayear axis,PalMod,184_1146_TS_008,age,yr ka,1432,8.11,1822.7
184_1146.Herbert.2010,kiloyear/megayear axis,PalMod,184_1146_TS_013,age,yr ka,1432,8.08,1820.7
184_1146.Herbert.2010,kiloyear/megayear axis,PalMod,184_1146_TS_016,age,yr ka,1432,5.044068,1108.27
184_1147.Li.2017,kiloyear/megayear axis,PalMod,184_1147_TS_001,age,yr ka,1089,6.1046526829834,130.600111914705
184_1147.Li.2017,kiloyear/megayear axis,PalMod,184_1147_TS_003,age,yr ka,1089,6.10376489257813,130.595677496147
184_1147.Li.2017,kiloyear/megayear axis,PalMod,184_1147_TS_007,age,yr ka,1089,0.7,1130
184_1147.Li.2017,kiloyear/megayear axis,PalMod,184_1147_TS_010,age,yr ka,1089,10,21528
184_1147.Li.2017,kiloyear/megayear axis,PalMod,184_1147_TS_014,age,yr ka,1089,0.26,683.96
186_1150A.Koizumi.2010,kiloyear/megayear axis,PalMod,186_1150A_TS_001,age,yr ka,108,13.2587856995118,87.0600957403249
186_1150A.Koizumi.2010,kiloyear/megayear axis,PalMod,186_1150A_TS_003,age,yr ka,108,13.333998503685,87.1399278599999
186_1150A.Koizumi.2010,kiloyear/megayear axis,PalMod,186_1150A_TS_007,age,yr ka,108,0.09,86.96
202_1233.Kaiser.2005,kiloyear/megayear axis,PalMod,202_1233_TS_001,age,yr ka,223,8.55825856953882,44.8483503743767
202_1233.Kaiser.2005,kiloyear/megayear axis,PalMod,202_1233_TS_003,age,yr ka,223,8.54602516150475,44.8002501860195
202_1233.Kaiser.2005,kiloyear/megayear axis,PalMod,202_1233_TS_007,age,yr ka,223,-0.05,69.85
202_1240.Jacobel.2019,kiloyear/megayear axis,PalMod,202_1240_TS_001,age,yr ka,1338,1.61177470080566,135.23509040218
202_1240.Jacobel.2019,kiloyear/megayear axis,PalMod,202_1240_TS_003,age,yr ka,1338,1.60951000976562,135.276635727701
202_1240.Jacobel.2019,kiloyear/megayear axis,PalMod,202_1240_TS_008,age,yr ka,1338,2.61,159.458
202_1240.Jacobel.2019,kiloyear/megayear axis,PalMod,202_1240_TS_010,age,yr ka,1338,2.47,189.36
202_1240.Jacobel.2019,kiloyear/megayear axis,PalMod,202_1240_TS_013,age,yr ka,1338,1.91,299.75
202_1240.Jacobel.2019,kiloyear/megayear axis,PalMod,202_1240_TS_016,age,yr ka,1338,3.45,150.71
202_1242.Hoogakker.2018,kiloyear/megayear axis,PalMod,202_1242_TS_001,age,yr ka,190,0.512421231479168,38.6882387392487
202_1242.Hoogakker.2018,kiloyear/megayear axis,PalMod,202_1242_TS_003,age,yr ka,190,0.514174499511719,38.6714043365479
202_1242.Hoogakker.2018,kiloyear/megayear axis,PalMod,202_1242_TS_006,age,yr ka,190,0.766,30.21
202_1242.Hoogakker.2018,kiloyear/megayear axis,PalMod,202_1242_TS_009,age,yr ka,190,0.057,39.42
202_1242.Hoogakker.2018,kiloyear/megayear axis,PalMod,202_1242_TS_012,age,yr ka,190,0.057,43.189
303_U1308.Hodell.2008,kiloyear/megayear axis,PalMod,303_U1308_TS_001,age,yr ka,4975,0.486457604920268,133.481104050407
303_U1308.Hodell.2008,kiloyear/megayear axis,PalMod,303_U1308_TS_003,age,yr ka,4975,0.485925994873047,133.582533242524
303_U1308.Hodell.2008,kiloyear/megayear axis,PalMod,303_U1308_TS_007,age,yr ka,4975,0,1512.9
323_U1340A.Schlung.2012,kiloyear/megayear axis,PalMod,323_U1340A_TS_001,age,yr ka,476,6.29964038990822,69.8062671665502
323_U1340A.Schlung.2012,kiloyear/megayear axis,PalMod,323_U1340A_TS_003,age,yr ka,476,6.29946729755402,69.8239797985985
323_U1340A.Schlung.2012,kiloyear/megayear axis,PalMod,323_U1340A_TS_009,age,yr ka,476,5.8,96.044
3cBx.Sagawa.2012,kiloyear/megayear axis,PalMod,3cBx_TS_001,age,yr ka,19,4.07621584928417,20.9116690191722
3cBx.Sagawa.2012,kiloyear/megayear axis,PalMod,3cBx_TS_003,age,yr ka,19,4.08556221008301,20.9524179325104
3cBx.Sagawa.2012,kiloyear/megayear axis,PalMod,3cBx_TS_006,age,yr ka,19,0.81,24.05
81_552A.Shackleton.2007,kiloyear/megayear axis,PalMod,81_552A_TS_001,age,yr ka,632,14.9738928066406,135.978279689917
81_552A.Shackleton.2007,kiloyear/megayear axis,PalMod,81_552A_TS_003,age,yr ka,632,14.9864497070312,135.813070048451
81_552A.Shackleton.2007,kiloyear/megayear axis,PalMod,81_552A_TS_006,age,yr ka,632,0,586
90_594.Nelson.2008,kiloyear/megayear axis,PalMod,90_594_TS_001,age,yr ka,218,13.6092002708824,129.801403696974
90_594.Nelson.2008,kiloyear/megayear axis,PalMod,90_594_TS_003,age,yr ka,218,13.6097054243088,129.837876144406
90_594.Nelson.2008,kiloyear/megayear axis,PalMod,90_594_TS_006,age,yr ka,218,4.51,161.9
A7.Sun.Palmod.2005,kiloyear/megayear axis,PalMod,A7_TS_001,age,yr ka,225,1.43802437939453,17.7538716159624
A7.Sun.Palmod.2005,kiloyear/megayear axis,PalMod,A7_TS_003,age,yr ka,225,1.43583502197266,17.75530683285
A7.Sun.Palmod.2005,kiloyear/megayear axis,PalMod,A7_TS_006,age,yr ka,225,1.367,18.19333
AAS_9_21.Govil.2010,kiloyear/megayear axis,PalMod,AAS_9_21_TS_001,age,yr ka,64,0.34238799161166,42.0166855580064
AAS_9_21.Govil.2010,kiloyear/megayear axis,PalMod,AAS_9_21_TS_003,age,yr ka,64,0.369740997314453,42.476846468091
AAS_9_21.Govil.2010,kiloyear/megayear axis,PalMod,AAS_9_21_TS_006,age,yr ka,64,0.51,67.8
AC85_4.Grazzini.2008,kiloyear/megayear axis,PalMod,AC85_4_TS_001,age,yr ka,40,4.51497337988281,30.6165388030205
AC85_4.Grazzini.2008,kiloyear/megayear axis,PalMod,AC85_4_TS_003,age,yr ka,40,4.43740991210938,30.6049459086947
AHF_16832.Stott.2002,kiloyear/megayear axis,PalMod,AHF_16832_TS_001,age,yr ka,52,3.60160740093994,39.1314185603033
AHF_16832.Stott.2002,kiloyear/megayear axis,PalMod,AHF_16832_TS_003,age,yr ka,52,3.60102001953125,39.2428910212508
AHF_16832.Stott.2002,kiloyear/megayear axis,PalMod,AHF_16832_TS_006,age,yr ka,52,3.43,48.59
AII107_131.Boyle.2011,kiloyear/megayear axis,PalMod,AII107_131_TS_001,age,yr ka,72,6.20392961499023,136.350132189542
AII107_131.Boyle.2011,kiloyear/megayear axis,PalMod,AII107_131_TS_003,age,yr ka,72,6.19246997070312,136.34944942894
AII107_131.Boyle.2011,kiloyear/megayear axis,PalMod,AII107_131_TS_006,age,yr ka,72,4.235,301.8
ASV13_1200.Duplessy.2005,kiloyear/megayear axis,PalMod,ASV13_1200_TS_001,age,yr ka,53,-0.215521965332389,9.6613793014067
ASV13_1200.Duplessy.2005,kiloyear/megayear axis,PalMod,ASV13_1200_TS_003,age,yr ka,53,-0.223278344631195,9.64088270340896
ASV13_1200.Duplessy.2005,kiloyear/megayear axis,PalMod,ASV13_1200_TS_006,age,yr ka,53,0.01,11.22
B997_328.Castaneda.2004,kiloyear/megayear axis,PalMod,B997_328_TS_001,age,yr ka,147,-0.0059131697189738,4.53400182237571
B997_328.Castaneda.2004,kiloyear/megayear axis,PalMod,B997_328_TS_003,age,yr ka,147,0.00726302117109299,4.544421344171
B997_328.Castaneda.2004,kiloyear/megayear axis,PalMod,B997_328_TS_006,age,yr ka,147,0.02591906,4.61622
B997_330.Castaneda.2004,kiloyear/megayear axis,PalMod,B997_330_TS_001,age,yr ka,108,0.406679545475252,9.97623769304767
B997_330.Castaneda.2004,kiloyear/megayear axis,PalMod,B997_330_TS_003,age,yr ka,108,0.405936573982239,9.98015138916686
B997_330.Castaneda.2004,kiloyear/megayear axis,PalMod,B997_330_TS_006,age,yr ka,108,0,11.07987
BJ8_03_13GGC.Linsley.Palmod.2010,kiloyear/megayear axis,PalMod,BJ8_03_13GGC_TS_001,age,yr ka,388,0.445079754462987,10.4095835071566
BJ8_03_13GGC.Linsley.Palmod.2010,kiloyear/megayear axis,PalMod,BJ8_03_13GGC_TS_003,age,yr ka,388,0.454558618202806,10.4013835276978
BJ8_03_13GGC.Linsley.Palmod.2010,kiloyear/megayear axis,PalMod,BJ8_03_13GGC_TS_006,age,yr ka,388,0.12,10.56
BJ8_03_70GGC.Linsley.Palmod.2010,kiloyear/megayear axis,PalMod,BJ8_03_70GGC_TS_001,age,yr ka,101,2.38661666608539,14.5283861719243
BJ8_03_70GGC.Linsley.Palmod.2010,kiloyear/megayear axis,PalMod,BJ8_03_70GGC_TS_003,age,yr ka,101,2.39114673995972,14.5039729495421
BJ8_03_70GGC.Linsley.Palmod.2010,kiloyear/megayear axis,PalMod,BJ8_03_70GGC_TS_006,age,yr ka,101,0.01,14.29966667
BOFS31_1K.Chapman.2004,kiloyear/megayear axis,PalMod,BOFS31_1K_TS_001,age,yr ka,130,3.10349814575195,17.4386967668957
BOFS31_1K.Chapman.2004,kiloyear/megayear axis,PalMod,BOFS31_1K_TS_003,age,yr ka,130,3.08561999511719,17.4390581436157
BOFS31_1K.Chapman.2004,kiloyear/megayear axis,PalMod,BOFS31_1K_TS_006,age,yr ka,130,0,26.46
BOFS31_1K.Chapman.2004,kiloyear/megayear axis,PalMod,BOFS31_1K_TS_010,age,yr ka,130,0.63,27.32
BOFS31_1K.Chapman.2004,kiloyear/megayear axis,PalMod,BOFS31_1K_TS_013,age,yr ka,130,0.6,76.15
BOFS31_1K.Chapman.2004,kiloyear/megayear axis,PalMod,BOFS31_1K_TS_017,age,yr ka,130,0,26.46
BOFS5K.Maslin.2004,kiloyear/megayear axis,PalMod,BOFS5K_TS_001,age,yr ka,259,1.5228299609375,38.9060937854463
BOFS5K.Maslin.2004,kiloyear/megayear axis,PalMod,BOFS5K_TS_003,age,yr ka,259,1.49292999267578,38.9488205258051
BP00_07_05.SIMSTICH.2010,kiloyear/megayear axis,PalMod,BP00_07_05_TS_001,age,yr ka,77,0.142421021878541,7.07854015984807
BP00_07_05.SIMSTICH.2010,kiloyear/megayear axis,PalMod,BP00_07_05_TS_003,age,yr ka,77,0.133160003662109,7.08535622240603
BS79_33.Cacho.2004,kiloyear/megayear axis,PalMod,BS79_33_TS_001,age,yr ka,97,7.57941732377389,27.5190479162619
BS79_33.Cacho.2004,kiloyear/megayear axis,PalMod,BS79_33_TS_003,age,yr ka,97,7.57150908565521,27.5564152613878
BS79_33.Cacho.2004,kiloyear/megayear axis,PalMod,BS79_33_TS_006,age,yr ka,97,0.684634,29.488
CD17_30.Otto.2004,kiloyear/megayear axis,PalMod,CD17_30_TS_001,age,yr ka,73,3.0329424844799,128.211539176959
CD17_30.Otto.2004,kiloyear/megayear axis,PalMod,CD17_30_TS_003,age,yr ka,73,3.0587099609375,128.142333309934
CD17_30.Otto.2004,kiloyear/megayear axis,PalMod,CD17_30_TS_007,age,yr ka,73,6.73,144.31
CH07_98_GGC_19.Sachs.2007,kiloyear/megayear axis,PalMod,CH07_98_GGC_19_TS_001,age,yr ka,194,0.568791869750977,11.7262197094125
CH07_98_GGC_19.Sachs.2007,kiloyear/megayear axis,PalMod,CH07_98_GGC_19_TS_003,age,yr ka,194,0.567244018554688,11.7099069366769
CH07_98_GGC_19.Sachs.2007,kiloyear/megayear axis,PalMod,CH07_98_GGC_19_TS_006,age,yr ka,194,0.52,11.9
CH69_K09.Govin.2012,kiloyear/megayear axis,PalMod,CH69_K09_TS_001,age,yr ka,116,109.457559,136.701454378298
CH69_K09.Govin.2012,kiloyear/megayear axis,PalMod,CH69_K09_TS_003,age,yr ka,116,109.421,136.669180206299
CH69_K09.Govin.2012,kiloyear/megayear axis,PalMod,CH69_K09_TS_006,age,yr ka,116,110.39,134.91
CH73_139.Labeyrie.2003,kiloyear/megayear axis,PalMod,CH73_139_TS_001,age,yr ka,98,0.405782952844143,136.583570857512
CH73_139.Labeyrie.2003,kiloyear/megayear axis,PalMod,CH73_139_TS_003,age,yr ka,98,0.411822998046875,136.636812312508
CHAT1K.Weaver.2004,kiloyear/megayear axis,PalMod,CHAT1K_TS_001,age,yr ka,107,1.45588354126167,135.385028525865
CHAT1K.Weaver.2004,kiloyear/megayear axis,PalMod,CHAT1K_TS_003,age,yr ka,107,1.45298999023438,135.395143469245
CHAT1K.Weaver.2004,kiloyear/megayear axis,PalMod,CHAT1K_TS_006,age,yr ka,107,0,170
CHAT_16k.Yu.2007,kiloyear/megayear axis,PalMod,CHAT_16k_TS_001,age,yr ka,31,16.2814895932922,20.826733642761
CHAT_16k.Yu.2007,kiloyear/megayear axis,PalMod,CHAT_16k_TS_003,age,yr ka,31,16.3232775039673,20.761344203949
CHAT_16k.Yu.2007,kiloyear/megayear axis,PalMod,CHAT_16k_TS_006,age,yr ka,31,0,32.99
CHN82_24_4PC.Boyle.2002,kiloyear/megayear axis,PalMod,CHN82_24_4PC_TS_001,age,yr ka,214,2.17610264711571,133.685233784778
CHN82_24_4PC.Boyle.2002,kiloyear/megayear axis,PalMod,CHN82_24_4PC_TS_003,age,yr ka,214,2.16592504882813,133.693740780771
CHN82_24_4PC.Boyle.2002,kiloyear/megayear axis,PalMod,CHN82_24_4PC_TS_006,age,yr ka,214,0,220.8
CV15025_GC_07_01.Curran.2019,kiloyear/megayear axis,PalMod,CV15025_GC_07_01_TS_001,age,yr ka,110,1.13487152783203,7.42785290782232
CV15025_GC_07_01.Curran.2019,kiloyear/megayear axis,PalMod,CV15025_GC_07_01_TS_003,age,yr ka,110,1.13422998046875,7.38720784989719
CV15025_GC_07_01.Curran.2019,kiloyear/megayear axis,PalMod,CV15025_GC_07_01_TS_006,age,yr ka,110,0.96,7.61
