disposition,recommendation,dataSetName,datasetId,link,match_dataSetName,match_datasetId,match_link,km,same_doi,same_arch,same_site,var_overlap,ts_overlap,yr_overlap,n_ts,n_ts_b,archiveType,archiveType_b,doi,doi_b
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,74KL_TEX86.Huguet.2006,rRq2mHY2yadzbNANbKy3,https://lipdverse.org/data/rRq2mHY2yadzbNANbKy3,74KL_UK37.Huguet.2006,kq5KxExKbu0TD2prCov1,https://lipdverse.org/data/kq5KxExKbu0TD2prCov1,0,TRUE,TRUE,TRUE,1,0,14600,6,6,marinesediment,marinesediment,10.1029/2005pa001215,10.1029/2005pa001215
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,AB08MEN01,ch2kAB08MEN01,https://lipdverse.org/data/ch2kAB08MEN01,CO08ABSU,gWwpc4lJjcaxkSJus9Ge,https://lipdverse.org/data/gWwpc4lJjcaxkSJus9Ge,0,FALSE,TRUE,FALSE,1,0,140,2,2,coral,coral,10.1038/ngeo357,10.1002/2014pa002717;10.1038/ngeo357
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,AB08MEN01,ch2kAB08MEN01,https://lipdverse.org/data/ch2kAB08MEN01,Ocn-MentawaiIslands.Abram.2008,mW3qQGmBUGGQiJ6NUCFJ,https://lipdverse.org/data/mW3qQGmBUGGQiJ6NUCFJ,0,FALSE,TRUE,FALSE,1,0,140,2,2,coral,coral,10.1038/ngeo357,10.1002/2014pa002717;10.1038/ngeo357
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,AchitNuur.Sun.2013,LCb02585a0c9f4971647ce538669ebace9,https://lipdverse.org/data/LCb02585a0c9f4971647ce538669ebace9,BaikalLakeCON016053.Demske.2005,LC596c19e29182d293cbdb375c52d490fe,https://lipdverse.org/data/LC596c19e29182d293cbdb375c52d490fe,0,FALSE,TRUE,FALSE,1,0,9660,31,31,lakesediment,lakesediment,10.1016/j.quaint.2013.07.002;10.5194/essd-2022-38,"10.5194/essd-2022-38;demske, d., heumann, g., granoszewski, w., nita, m., mamakowa, k., tarasov, p.e. and oberhansli, h., 2005. late glacial and holocene vegetation and regional climate variability evidenced in high-resolution pollen records from lake baikal. global and planetary change, 46(1-4), pp.255-279."
already_present,"This record is already in LiPDverse, and the incoming file covers a longer period. Update the existing dataset from it rather than adding a second copy.",AL16YUC01,ch2kAL16YUC01,https://lipdverse.org/data/ch2kAL16YUC01,RO19YUC01,ch2kRO19YUC01,https://lipdverse.org/data/ch2kRO19YUC01,0,FALSE,TRUE,TRUE,1,0,8,4,6,coral,coral,10.1002/2016pa002976;10.1029/2019pa003571,10.1029/2012pa002313;10.1029/2019pa003571
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,Aletschwald.vanderKnaap.1997,LCded9b526c68da05c011b0c1d20956a68,https://lipdverse.org/data/LCded9b526c68da05c011b0c1d20956a68,Aletschwald.vanderKnaap.2000,LCde1fbf69494807ba12b62140d3c15341,https://lipdverse.org/data/LCde1fbf69494807ba12b62140d3c15341,0,TRUE,TRUE,TRUE,1,0,130,31,31,lakesediment,lakesediment,"10.5194/essd-2022-38;welten, m., 1982. vegetationsgeschichtliche untersuchungen in den westlichen schweizer alpen: bern-wallis. denkschriften der schweizerischen naturforschenden gesellschaft, vol. 95. dsng 95. textheft 104 pp., diagrammheft 37 diagrams.","10.5194/essd-2022-38;welten, m., 1982. vegetationsgeschichtliche untersuchungen in den westlichen schweizer alpen: bern-wallis. denkschriften der schweizerischen naturforschenden gesellschaft, vol. 95. dsng 95. textheft 104 pp., diagrammheft 37 diagrams."
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,Aletschwald.vanderKnaap.1997,LCded9b526c68da05c011b0c1d20956a68,https://lipdverse.org/data/LCded9b526c68da05c011b0c1d20956a68,Aletschwald.Welten.1982,LC507e3ad978353ace0bff2348f00bf698,https://lipdverse.org/data/LC507e3ad978353ace0bff2348f00bf698,0,TRUE,TRUE,TRUE,1,0,7630,31,31,lakesediment,lakesediment,"10.5194/essd-2022-38;welten, m., 1982. vegetationsgeschichtliche untersuchungen in den westlichen schweizer alpen: bern-wallis. denkschriften der schweizerischen naturforschenden gesellschaft, vol. 95. dsng 95. textheft 104 pp., diagrammheft 37 diagrams.","10.5194/essd-2022-38;welten, m., 1982. vegetationsgeschichtliche untersuchungen in den westlichen schweizer alpen: bern-wallis. denkschriften der schweizerischen naturforschenden gesellschaft, vol. 95. dsng 95. textheft 104 pp., diagrammheft 37 diagrams."
already_present,"This record is already in LiPDverse, and the incoming file covers a longer period. Update the existing dataset from it rather than adding a second copy.",Aletschwald.vanderKnaap.2000,LCde1fbf69494807ba12b62140d3c15341,https://lipdverse.org/data/LCde1fbf69494807ba12b62140d3c15341,Aletschwald.Welten.1982,LC507e3ad978353ace0bff2348f00bf698,https://lipdverse.org/data/LC507e3ad978353ace0bff2348f00bf698,0,TRUE,TRUE,TRUE,1,0,40,31,31,lakesediment,lakesediment,"10.5194/essd-2022-38;welten, m., 1982. vegetationsgeschichtliche untersuchungen in den westlichen schweizer alpen: bern-wallis. denkschriften der schweizerischen naturforschenden gesellschaft, vol. 95. dsng 95. textheft 104 pp., diagrammheft 37 diagrams.","10.5194/essd-2022-38;welten, m., 1982. vegetationsgeschichtliche untersuchungen in den westlichen schweizer alpen: bern-wallis. denkschriften der schweizerischen naturforschenden gesellschaft, vol. 95. dsng 95. textheft 104 pp., diagrammheft 37 diagrams."
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,AlmondButterUpper.Jacoby.2005,NAm2kDGtCQIeGrYgJa7H2cU3b2,https://lipdverse.org/data/NAm2kDGtCQIeGrYgJa7H2cU3b2,WindyRidgeAlaska.Jacoby.2005,NAm2kDMVkUEdwnoSkctXJ1eMY0,https://lipdverse.org/data/NAm2kDMVkUEdwnoSkctXJ1eMY0,0,TRUE,TRUE,FALSE,1,0,446,61,49,wood,wood,10.1007/s00382-004-0502-1,10.1007/s00382-004-0502-1
already_present,This record is already in LiPDverse. Do not ingest; add the existing dataset to the compilation through the datasetsInCompilation tab instead.,AMP112.vanderBilt.2016,4ibQlmHt7s44owz5ercW,https://lipdverse.org/data/4ibQlmHt7s44owz5ercW,Hakluytvatnet.vanderBilt.2019,NEiqwj4Yel7XLEcalXkK,https://lipdverse.org/data/NEiqwj4Yel7XLEcalXkK,0,FALSE,TRUE,FALSE,0.83,0,,7,5,lakesediment,lakesediment,,
