compilation,dataSetName,field,sheet,file,sheet_dp,file_dp,finer,is_rounding
hydroclimate2k,LS05ANJE,geo_latitude,60.4,60.35,1,2,file,TRUE
hydroclimate2k,LS07ANMA,geo_latitude,60.1,60.07,1,2,file,TRUE
hydroclimate2k,LS07ANMA,geo_longitude,-133.8,-133.81,1,2,file,TRUE
hydroclimate2k,LS12ANBI,geo_latitude,39.8,39.764,1,3,file,TRUE
hydroclimate2k,LS12ANBI,geo_longitude,-107.3,-107.346,1,3,file,TRUE
hydroclimate2k,LS12ANYE,geo_latitude,39.7,39.652,1,3,file,TRUE
HoloceneAbruptChange,Chenghai.Xu.2020,geo_longitude,100.5,100.66,1,2,file,FALSE
HoloceneAbruptChange,LS16THN301,geo_latitude,68.6389,68.6374,4,4,tie,FALSE
HoloceneAbruptChange,LS05ANJE,geo_latitude,60.4,60.35,1,2,file,TRUE
HoloceneAbruptChange,LS07ANMA,geo_latitude,60.1,60.07,1,2,file,TRUE
HoloceneAbruptChange,LS07ANMA,geo_longitude,-133.8,-133.81,1,2,file,TRUE
NAm21k-noPollen,PinkPanthercave.Asmerom.2007,geo_latitude,32.083,32,3,0,sheet,TRUE
NAm21k-noPollen,PinkPanthercave.Asmerom.2007,geo_longitude,-105.167,-105.2,3,1,sheet,TRUE
iso2k,LS05ANJE,geo_latitude,60.4,60.35,1,2,file,TRUE
iso2k,LS07ANMA,geo_latitude,60.1,60.07,1,2,file,TRUE
iso2k,LS07ANMA,geo_longitude,-133.8,-133.81,1,2,file,TRUE
iso2k,LS12ANBI,geo_latitude,39.8,39.764,1,3,file,TRUE
iso2k,LS12ANBI,geo_longitude,-107.3,-107.346,1,3,file,TRUE
iso2k,LS12ANYE,geo_latitude,39.7,39.652,1,3,file,TRUE
iso2k,LS12ANYE,geo_longitude,-107.4,-107.345,1,3,file,FALSE
lipdverseTest,LS07ANMA,geo_longitude,-133.8,-133.81,1,2,file,TRUE
lipdverseTest,LS07ANMA,geo_latitude,60.1,60.07,1,2,file,TRUE
