file,n_cols,n_empty_interp,n_real_cols,real_vars,unambiguous
CO00COKY.lpd,2,8,1,d18O,TRUE
CO00URMA.lpd,5,21,1,d18O,TRUE
CO01TUNG.lpd,4,16,2,d18O,TRUE
CO02KUBE.lpd,4,11,2,"d18O, Sr/Ca",FALSE
CO03COPM.lpd,24,96,12,d18O,TRUE
CO04BAFI.lpd,8,29,3,d18O,TRUE
CO04KIVA.lpd,4,16,2,"d18O, Sr/Ca",FALSE
CO04LIFI.lpd,3,10,2,"d18O, Sr/Ca",FALSE
CO04LIRA.lpd,6,21,3,d18O,TRUE
CO04PFRE.lpd,2,8,1,d18O,TRUE
CO04ZIMG.lpd,2,7,1,d18O,TRUE
CO05ASGU.lpd,2,8,1,d18O,TRUE
CO05KUBE.lpd,4,11,2,"d18O, Sr/Ca",FALSE
CO06DATZ.lpd,2,8,1,d18O,TRUE
CO06LIFI.lpd,2,8,1,d18O,TRUE
CO06MOTO.lpd,7,24,2,d18O,TRUE
CO06QUNG.lpd,4,16,2,"d18O, Sr/Ca",FALSE
CO08ABSU.lpd,2,8,1,d18O,TRUE
CO08GOBE.lpd,4,12,2,"d18O, Sr/Ca",FALSE
CO08HEVE.lpd,2,8,1,d18O,TRUE
CO08KIPR.lpd,2,8,1,d18O,TRUE
CO09NAKY.lpd,2,8,1,d18O,TRUE
CO10HEIG.lpd,3,10,2,"d18O, Sr/Ca",FALSE
CO13CABL.lpd,4,14,2,d18O,TRUE
CO13CAHN.lpd,4,14,2,d18O,TRUE
CO13COTB.lpd,2,7,1,d18O,TRUE
CO13COXM.lpd,2,7,1,d18O,TRUE
CO14WUCL.lpd,2,5,1,d18O,TRUE
CO14ZIHO.lpd,3,10,2,"d18O, Sr/Ca",FALSE
CO14ZIMG.lpd,4,16,2,d18O,TRUE
CO15ABSP.lpd,2,7,1,d18O,TRUE
CO92SHPU.lpd,2,5,1,d18O,TRUE
CO94HEAQ.lpd,3,9,2,d18O,TRUE
CO96QUVA.lpd,2,8,1,d18O,TRUE
CO97CHSY.lpd,2,8,1,d18O,TRUE
CO98BOFP.lpd,2,8,1,d18O,TRUE
CO98CHPI.lpd,2,7,1,d18O,TRUE
CO98EVXM.lpd,3,11,1,d18O,TRUE
CO98QUNC.lpd,2,8,1,d18O,TRUE
CO99DRGB.lpd,2,7,1,d18O,TRUE
CO99GUMI.lpd,4,10,2,d18O,TRUE
CO99LICL.lpd,6,21,3,d18O,TRUE
ElJunco.Zhang.2014.lpd,21,75,0,,FALSE
Huagapocave.Kanner.2013.lpd,116,522,7,d18O,TRUE
LakeElingamite.Barr.2014.lpd,2,4,1,conductivity,TRUE
LakeSurprise.Barr.2014.lpd,2,4,1,conductivity,TRUE
LS01HUFA.lpd,4,11,2,d18O,TRUE
MS02FLPC.lpd,9,22,4,"d18O, temperature",FALSE
MS03BRNS.lpd,5,10,2,d18O,TRUE
MS03KTCB.lpd,4,4,2,d18O,TRUE
MS03LKNS.lpd,5,12,3,"d18O, temperature",FALSE
MS03SMAS.lpd,4,2,1,d18O,TRUE
MS04BLCB.lpd,5,10,2,d18O,TRUE
MS04ICNI.lpd,3,2,1,d18O,TRUE
MS05LKLF.lpd,4,6,2,d18O,TRUE
MS07MMNP.lpd,8,16,4,"d18O, temperature",FALSE
MS07RCNA.lpd,5,14,1,d18O,TRUE
MS08UAPM.lpd,3,2,1,d18O,TRUE
MS09TCIS.lpd,3,2,1,d18O,TRUE
MS11FAPM.lpd,7,14,4,d18O,TRUE
MS11KWFS.lpd,3,2,1,d18O,TRUE
MS11SENS.lpd,4,8,1,d18O,TRUE
MS14MOLS.lpd,11,38,5,d18O,TRUE
MS15BATP.lpd,5,10,2,d18O,TRUE
MS15VIBC.lpd,10,28,4,d18O,TRUE
MS96LKSS.lpd,6,4,2,d18O,TRUE
MS99LWSC.lpd,4,8,1,d18O,TRUE
SS05ROES.lpd,3,8,2,"d18O, Sr/Ca",FALSE
SS05ROTN.lpd,3,9,1,d18O,TRUE
