dataSetName,key,value,TSid,compilation
CO04LIFI,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_158_iso2k,hydroclimate2k
CO04LIRA,environmentInterpretation1_variable,sea surface temperature,CO04LIRA01A,hydroclimate2k
CO04LIRA,environmentInterpretation1_variable,sea surface temperature,CO04LIRA02A,hydroclimate2k
CO04LIRA,environmentInterpretation1_variable,sea surface temperature,CO04LIRA03A,hydroclimate2k
CO04PFRE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_013_iso2k,hydroclimate2k
CO04ZIMG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_020_iso2k,hydroclimate2k
CO05ASGU,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_166_iso2k,hydroclimate2k
CO05KUBE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_105_iso2k,hydroclimate2k
CO05KUBE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_106_iso2k,hydroclimate2k
CO06DATZ,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_007_iso2k,hydroclimate2k
CO06LIFI,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_156_iso2k,hydroclimate2k
CO06MOTO,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_108_iso2k,hydroclimate2k
CO06MOTO,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_109_iso2k,hydroclimate2k
CO06MOTO,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_110_iso2k,hydroclimate2k
CO06MOTO,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_111_iso2k,hydroclimate2k
CO06QUNG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_144_iso2k,hydroclimate2k
CO06QUNG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_145_iso2k,hydroclimate2k
CO06QUNG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_146_iso2k,hydroclimate2k
CO08ABSU,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_010_iso2k,hydroclimate2k
CO08GOBE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_094_iso2k,hydroclimate2k
CO08GOBE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_095_iso2k,hydroclimate2k
CO08HEVE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_096_iso2k,hydroclimate2k
CO08KIPR,environmentInterpretation1_variable,sea surface temperature,CO08KIPR01A,hydroclimate2k
CO09NAKY,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_012_iso2k,hydroclimate2k
CO10HEIG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_097_iso2k,hydroclimate2k
CO10HEIG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_098_iso2k,hydroclimate2k
CO13CABL,environmentInterpretation1_variable,sea surface temperature,CO13CABL01A,hydroclimate2k
CO13CABL,environmentInterpretation1_variable,sea surface temperature,CO13CABL02A,hydroclimate2k
CO13CAHN,environmentInterpretation1_variable,sea surface temperature,CO13CAHN01A,hydroclimate2k
CO13CAHN,environmentInterpretation1_variable,sea surface temperature,CO13CAHN02A,hydroclimate2k
CO13COTB,environmentInterpretation1_variable,sea surface temperature,CO13COTB00A,hydroclimate2k
CO13COXM,environmentInterpretation1_variable,sea surface temperature,CO13COXM03A,hydroclimate2k
CO14WUCL,environmentInterpretation1_variable,sea surface temperature,CO14WUCL01A,hydroclimate2k
CO14ZIHO,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_026_iso2k,hydroclimate2k
CO14ZIHO,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_027_iso2k,hydroclimate2k
CO14ZIMG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_021_iso2k,hydroclimate2k
CO14ZIMG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_022_iso2k,hydroclimate2k
CO15ABSP,environmentInterpretation1_variable,sea surface temperature,CO15ABSP01A,hydroclimate2k
CO92SHPU,environmentInterpretation1_variable,sea surface temperature,CO92SHPU01A,hydroclimate2k
CO94HEAQ,environmentInterpretation1_variable,sea surface temperature,CO94HEAQ02A,hydroclimate2k
CO94HEAQ,environmentInterpretation1_variable,sea surface temperature,CO94HEAQ01A,hydroclimate2k
CO96QUVA,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_133_iso2k,hydroclimate2k
CO97CHSY,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_011_iso2k,hydroclimate2k
CO98BOFP,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_132_iso2k,hydroclimate2k
CO98CHPI,environmentInterpretation1_variable,sea surface temperature,CO98CHPI01A,hydroclimate2k
CO98EVXM,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_135_iso2k,hydroclimate2k
CO98EVXM,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_136_iso2k,hydroclimate2k
CO98QUNC,environmentInterpretation1_variable,sea surface temperature,CO98QUNC01A,hydroclimate2k
CO99DRGB,environmentInterpretation1_variable,sea surface temperature,CO99DRGB01A,hydroclimate2k
CO99GUMI,environmentInterpretation1_variable,sea surface temperature,CO99GUMI01A,hydroclimate2k
CO99GUMI,environmentInterpretation1_variable,sea surface temperature,CO99GUMI01B,hydroclimate2k
CO99LICL,environmentInterpretation1_variable,sea surface temperature,CO99LICL01A,hydroclimate2k
CO99LICL,environmentInterpretation1_variable,sea surface temperature,CO99LICL02A,hydroclimate2k
CO99LICL,environmentInterpretation1_variable,sea surface temperature,CO99LICL03A,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRHwIjhPDtG0oKnGMB,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRVAoSzRhh7kfnrwuQ,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missR8e2BdMCVKvzxnP6z,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRnYpHc6GlWbmTJuqM,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missR1CK2d6IpH3Qxc7pP,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRUUWW04tx9H2e4rLe,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missR0Wb3BIlN7ykqTXSJ,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRPQemJxQkRyFyegcl,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRJELBajRpykFRIBr6,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRY9E3Nfvr58k9Atpw,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRU3VE8WlVDVbJNR6S,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRjx5eMxo8gwbw0kXV,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missR05tYFx2c2y9c3WUg,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRY4yVAh0HfWJt48dr,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_direction,negative,missRhimC6YWPn6nToeTc,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRHwIjhPDtG0oKnGMB,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRVAoSzRhh7kfnrwuQ,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missR8e2BdMCVKvzxnP6z,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRnYpHc6GlWbmTJuqM,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missR1CK2d6IpH3Qxc7pP,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRUUWW04tx9H2e4rLe,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missR0Wb3BIlN7ykqTXSJ,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRPQemJxQkRyFyegcl,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRJELBajRpykFRIBr6,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRY9E3Nfvr58k9Atpw,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRU3VE8WlVDVbJNR6S,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRjx5eMxo8gwbw0kXV,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missR05tYFx2c2y9c3WUg,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRY4yVAh0HfWJt48dr,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_seasonality,Annual,missRhimC6YWPn6nToeTc,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRHwIjhPDtG0oKnGMB,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRVAoSzRhh7kfnrwuQ,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missR8e2BdMCVKvzxnP6z,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRnYpHc6GlWbmTJuqM,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missR1CK2d6IpH3Qxc7pP,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRUUWW04tx9H2e4rLe,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missR0Wb3BIlN7ykqTXSJ,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRPQemJxQkRyFyegcl,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRJELBajRpykFRIBr6,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRY9E3Nfvr58k9Atpw,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRU3VE8WlVDVbJNR6S,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRjx5eMxo8gwbw0kXV,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missR05tYFx2c2y9c3WUg,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRY4yVAh0HfWJt48dr,hydroclimate2k
ElJunco.Zhang.2014,environmentInterpretation1_variable,effectivePrecipitation,missRhimC6YWPn6nToeTc,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRSP3f7Au9c4,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRRIL8kIxrA6,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRGoKS8OwjUG,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR6REtKecQef,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRQ26Hk2U4qu,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRa5EBGj4p90,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LROeylHYvxgI,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRCm0Xi0gdjM,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRKnudHLKjxE,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR6McxkFVMJE,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRWBLowqwLas,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRK4pgGeSxrK,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRRnatEdMUrW,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRiugLQ8DVMe,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR9W4FqJdhwv,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRMpYdhcCuoU,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRarJoFKXTOI,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR83PTS36dQw,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRXNfYpek87T,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRPtqvkQ3UOu,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRLRxHzxKmDw,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRuWRU1rMoAd,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRLXeY2LhAV1,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRAb3qyeOS4G,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRI939L9cdEk,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR9uXaufNkjW,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR3SE2N9TQki,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRfRXgMgRzTc,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRTuoZwtia5d,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRMKq5LvHsab,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRxmpNzEnW1Z,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRfpKDskjiOj,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR8IwTvX02kQ,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRqXzLjhacY1,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRQuwziHlRgU,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR4D0ZQQJkOW,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRJUcAn0IM63,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR4JfuRUNUQG,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRWUrFkymVzL,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRvGKnNfyjQX,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRhgxxChZFcZ,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRHZrWh5IDfd,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR5aqgzTitC9,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR7WLwW1obAY,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRi0JfBZ4mB5,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR2Wh18SUuDC,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR9bF6DtqLq6,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR4IpkU697iW,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRKHG2QH2cLI,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRkjNf3S7QFh,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR82VfyuGhur,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRoN5dgm3f9Q,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRwGfZvdtzCQ,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR74WpJcVfSG,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRafonmCuuga,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRY3kHx6Mwnk,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRIFuuGkazKW,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR2l7ql2n1X2,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRAp3cXuZumw,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRfoAQ3xTkpL,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRArsOpjvUlh,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LROyH0h0CEyv,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRrudGjZJHd0,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRYziKIJaUis,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRApB1WmbUqo,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR3OxwLH8iln,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRCBwu8dsU2p,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRnwxRPHLIhV,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRwnkgdP2sF0,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRBXVhP2hFuP,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRCBjF7pgOsl,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRkkDBLEZAlx,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRu5vU1QD2I1,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRP2kC7ka7GN,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRWR8HNQiV1Y,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRB6bed7AXhi,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRCUpMsHqzkC,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRKezGdIBb8I,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRiB3fmvSHjw,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRz0eEuK13yb,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRkZM60XsQPX,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRwFmINKsSCu,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRYqDbyCV08Y,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRT7tFbKN0KU,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LR1VhHk6KCJQ,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRxDDKi58ULZ,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LRwJ3xLa7wj7,hydroclimate2k
Huagapocave.Kanner.2013,environmentInterpretation1_variable,precipitationisotope,S2LROUoW6dumYM,hydroclimate2k
LakeElingamite.Barr.2014,environmentInterpretation1_variable,lake water salinity,WEB-26ae4-43ad-4975-b72c-91df2,hydroclimate2k
LakeElingamite.Barr.2014,environmentInterpretation1_basis,location-specific diatom-conductivity transfer function - from observed diatom species assemblages,WEB-26ae4-43ad-4975-b72c-91df2,hydroclimate2k
LakeSurprise.Barr.2014,environmentInterpretation1_variable,lake water salinity,WEB-92254-6027-4abf-b730-d8248,hydroclimate2k
LakeSurprise.Barr.2014,environmentInterpretation1_basis,location-specific diatom-conductivity transfer function - from observed diatom species assemblages,WEB-92254-6027-4abf-b730-d8248,hydroclimate2k
LS01HUFA,environmentInterpretation1_variable,lake water temperature,LS01HUFA01b,hydroclimate2k
LS01HUFA,environmentInterpretation1_variable,lake water temperature,LS01HUFA01a,hydroclimate2k
MS02FLPC,environmentInterpretation1_variable,subsurface seawater temperature,MS02FLPC01a,hydroclimate2k
MS02FLPC,environmentInterpretation1_variable,subsurface seawater temperature,MS02FLPC01b,hydroclimate2k
MS02FLPC,environmentInterpretation1_variable,subsurface seawater temperature,LPD7e8e8eaae,hydroclimate2k
MS02FLPC,environmentInterpretation1_variable,subsurface seawater temperature,O2kLR_187_iso2k,hydroclimate2k
MS02FLPC,environmentInterpretation1_variable,subsurface seawater temperature,O2kLR_189_iso2k,hydroclimate2k
MS03BRNS,environmentInterpretation1_variable,subsurface seawater temperature,MS03BRNS02,hydroclimate2k
MS03BRNS,environmentInterpretation1_variable,subsurface seawater temperature,LPD05340dbb7,hydroclimate2k
MS03BRNS,environmentInterpretation1_variable,subsurface seawater temperature,MS03BRNS01,hydroclimate2k
MS03KTCB,environmentInterpretation1_variable,subsurface seawater temperature,MS03KTCB02,hydroclimate2k
MS03KTCB,environmentInterpretation1_variable,subsurface seawater temperature,MS03KTCB01,hydroclimate2k
MS03LKNS,environmentInterpretation1_variable,subsurface seawater temperature,MS03LKNS01,hydroclimate2k
MS03LKNS,environmentInterpretation1_variable,subsurface seawater temperature,O2kLR_076_iso2k,hydroclimate2k
MS03LKNS,environmentInterpretation1_variable,subsurface seawater temperature,O2kLR_074_iso2k,hydroclimate2k
MS03SMAS,environmentInterpretation1_variable,sea surface temperature,MS03SMAS01,hydroclimate2k
MS04BLCB,environmentInterpretation1_variable,sea surface temperature,MS04BLCB02,hydroclimate2k
MS04BLCB,environmentInterpretation1_variable,sea surface temperature,LPDf8072f4er,hydroclimate2k
MS04BLCB,environmentInterpretation1_variable,sea surface temperature,MS04BLCB01,hydroclimate2k
MS04ICNI,environmentInterpretation1_variable,subsurface seawater temperature,MS04ICNI01,hydroclimate2k
MS05LKLF,environmentInterpretation1_variable,subsurface seawater temperature,MS05LKLF01a,hydroclimate2k
MS05LKLF,environmentInterpretation1_variable,subsurface seawater temperature,MS05LKLF01b,hydroclimate2k
MS07MMNP,environmentInterpretation1_variable,subsurface seawater temperature,MS07MMNP01a,hydroclimate2k
MS07MMNP,environmentInterpretation1_variable,subsurface seawater temperature,MS07MMNP01b,hydroclimate2k
MS07MMNP,environmentInterpretation1_variable,subsurface seawater temperature,O2kLR_195_iso2k,hydroclimate2k
MS07MMNP,environmentInterpretation1_variable,subsurface seawater temperature,O2kLR_197_iso2k,hydroclimate2k
MS07RCNA,environmentInterpretation1_variable,subsurface seawater temperature,MS07RCNA02,hydroclimate2k
MS07RCNA,environmentInterpretation1_variable,subsurface seawater temperature,LPDbe7e07025,hydroclimate2k
MS07RCNA,environmentInterpretation1_variable,subsurface seawater temperature,LPDbe7e0702r,hydroclimate2k
MS08UAPM,environmentInterpretation1_variable,sea surface temperature,MS08UAPM01,hydroclimate2k
MS09TCIS,environmentInterpretation1_variable,sea surface temperature,MS09TCIS01,hydroclimate2k
MS11FAPM,environmentInterpretation1_variable,sea surface temperature,MS11FAPM04,hydroclimate2k
