dataSetName,key,value,TSid,compilation
CO00COKY,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_001_iso2k,hydroclimate2k
CO00URMA,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_177_iso2k,hydroclimate2k
CO00URMA,environmentInterpretation1_variable,sea surface temperature,CO00URMA01A,hydroclimate2k
CO01TUNG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_140_iso2k,hydroclimate2k
CO01TUNG,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_141_iso2k,hydroclimate2k
CO02KUBE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_102_iso2k,hydroclimate2k
CO02KUBE,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_103_iso2k,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_139_iso2k,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM02A,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM03A,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM04C,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM05C,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM06C,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM07C,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM11C,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM08B,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM09B,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM10B,hydroclimate2k
CO03COPM,environmentInterpretation1_variable,sea surface temperature,CO03COPM01A,hydroclimate2k
CO04BAFI,environmentInterpretation1_variable,sea surface temperature,CO04BAFI01A,hydroclimate2k
CO04BAFI,environmentInterpretation1_variable,sea surface temperature,CO04BAFI02A,hydroclimate2k
CO04BAFI,environmentInterpretation1_variable,sea surface temperature,CO04BAFI00A,hydroclimate2k
CO04KIVA,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_174_iso2k,hydroclimate2k
CO04KIVA,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_175_iso2k,hydroclimate2k
CO04KIVA,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_176_iso2k,hydroclimate2k
CO04LIFI,environmentInterpretation1_variable,sea surface temperature,Ocean2kHR_157_iso2k,hydroclimate2k
