paleoData_pastName,paleoData_pastId,lipdName,synonym,paleoData_datum,Freq,definition
isothermal remanent magnetization,1085,Am2/yr,Am2/yr,,1,
atomic ratio,5701,atomic ratio,Atomic ratio,,1,
,,atoms/g,atoms/g,,,
dimensionless (CGS system),631,cgs,cgs,,5,
centimeter,122,cm,cm,,1,
centimeter,122,cm,cm,,4138,
centimeter,122,cm,cmblf,,1,
centimeter per kiloyear,2371,cm/kyr,cm/ka,,,
centimeter per kiloyear,2371,cm/kyr,cm/kyr,,2,
centimeter per year,1713,cm/yr,cm yr-1,,1,
centimeter per year,1713,cm/yr,cm/a,,3,
centimeter per year,1713,cm/yr,cm/yr,,3,
cubic centimeter,1712,cm3,cm3,,1,
count,704,count,#,,1,
count,704,count,cores,,6,
count,704,count,count,,203,
count,704,count,counts,,1,
count,704,count,cts,,3,
count,704,count,dark_sum,,1,
count,704,count,n,,,
count,704,count,no,,203,
count,704,count,number,,6,
count per century,2373,count/century,envents/100yrs,,13,
count per square centimeter,3814,count/cm2,number/cm2,,1,
count per square centimeter per year,1715,count/cm2/yr,grains>255 micron/cm2/yr,,1,
count per square centimeter per year,1715,count/cm2/yr,no/cm2/yr,,1,
count per cubic centimeter,3815,count/cm3,#/cm3,,1,
count per cubic centimeter,3815,count/cm3,bubbles/cm3,,2,
count per cubic centimeter,3815,count/cm3,n_cm3,,,
count per gram,3796,count/g,count per gram,,1,
count per gram,3796,count/g,grains/g,,1,
count per gram,3796,count/g,millions of valves/g dry sed,,1,
count per gram,3796,count/g,n_g,,,
count per gram,3796,count/g,no_g,,,
count per kiloyear,1000203,count/kyr,frequency/1000yrs,,1,
count per milliliter,3801,count/mL,count/mL,,1,
count per year,1720,count/yr,Floods per year,,1,
count per year,1720,count/yr,Floods per yr,,1,
count per year,1720,count/yr,floods/yr,,1,
count per second,1721,cps,count per second,,12,
count per second,1721,cps,cps,,24,
day,270,day,days,,1,
degree Celsius,29,degC,((( ((( null ))) deg C /// degC ))) degC /// degC,,,
degree Celsius,29,degC,((( null ))) deg C /// degC,,12,
degree Celsius,29,degC,Deg,,1,
degree Celsius,29,degC,deg C,,,
degree Celsius,29,degC,degC,,42519,
degree Celsius,29,degC,degrees,,2,
degree Celsius,29,degC,GDD,,1,
degree Celsius,29,degC,GDD5,,185,
degree Celsius,29,degC,kelvin,,1,
degree Celsius,29,degC,ºC,,2,
degree,1264,degree,decimal degrees,,18,
fraction,3820,fraction,fraction,,5,
fraction,3820,fraction,fraction 0 to 1,,1,
fraction,3820,fraction,fractional abundance,,15,
fraction,3820,fraction,relative abundance,,19,
gram,258,g,g,,15,
gram per centimeter per year,1000009,g/cm/yr,g/cm/yr,,27,
gram per square centimeter,1724,g/cm2,g cm-1,,1,
gram per square centimeter,1724,g/cm2,gcm2,,12,
gram per square centimeter per kiloyear,1725,g/cm2/kyr,g/cm2/ka,,3,
gram per square centimeter per kiloyear,1725,g/cm2/kyr,g/cm2/kyr,,4,
gram per square centimeter per kiloyear,1725,g/cm2/kyr,gram/cm2/ka,,,
gram per square centimeter per year,1726,g/cm2/yr,g.cm-2.a-1,,1,
gram per square centimeter per year,1726,g/cm2/yr,g/cm^2/y,,1,
gram per square centimeter per year,1726,g/cm2/yr,g/cm2/yr,,13,
gram per square centimeter per year,1726,g/cm2/yr,g/m^2/a,,2,
gram per square centimeter per year,1726,g/cm2/yr,gcm-2a-1,,1,
gram per square centimeter per year,1726,g/cm2/yr,gcm-2yr-1,,2,
gram per cubic centimeter,1727,g/cm3,g_cm3,,2,
gram per cubic centimeter,1727,g/cm3,g/cc,,3,
gram per cubic centimeter,1727,g/cm3,g/cm3,,64,
gram per cubic centimeter,1727,g/cm3,grams/cubic cm,,1,
gram per liter,3824,g/L,g/L,,2,
gram per square meter,4871,g/m2,g/m,,1,
gram per square meter,4871,g/m2,g/m2,,1,
gram per square meter per year,1729,g/m2/yr,g/m2/yr,,10,
gram per square meter per year,1729,g/m2/yr,gm2yr-1,,1,
grayscale,548,grayscale,grayscale,,4,
kilogram per square meter per year,3832,kg/m2/yr,kg/m2/yr,,7,
kilogram per square meter,4874,kg/m3,kg/m3,,1,
square kilometer,3804,km2,km2,,1,
cubic kilometer,3835,km3,km3,,1,
lightness,2194,lightness,L*,,,
lightness,2194,lightness,lightness,,,
lightness,2194,lightness,reflectance,,,
liter,4478,liter,L,,,
,,ln(cps),ln(cps),,,
,,ln(ratio),ln(cps/cps),,,
,,log(mg/L),log mg/L,,1,
millimole per mole,1745,log(mmol/mol),log(mmol/mol),,,
,,log(ratio),log(cps/cps),,,
meter,124,m,m,,609,
meter,124,m,masl,,,
meter,124,m,mcd,,,
cubic meter per kilogram,1734,m3/kg,10^[-8] m3/kg,10^-8,,
cubic meter per kilogram,1734,m3/kg,m^3 kg^-1,,1,
cubic meter per kilogram,1734,m3/kg,m3kg-1,,1,
cubic meter per kilogram,1734,m3/kg,m3kg1,,1,
cubic meter per second,,m3/s,m3/s,,,
cubic meter per second,,m3/s,m3/s,,,
milligram,637,mg,mg,,1,
milligram per square centimeter per year,1738,mg/cm2/yr,mg/cm2/yr,,2,
milligram per gram,1739,mg/g,mg g-1,,1,
milligram per gram,1739,mg/g,mg/g,,8,
milligram per gram,1739,mg/g,mill/g,,1,
milligram per kilogram,2390,mg/kg,mg/kg,,12,
milligram per liter,3842,mg/L,mg/L,,4,
millimeter,128,mm,depth_sample,,287,
millimeter,128,mm,mm,,408,
millimeters,128,mm,mm,,1,
millimeter per day,3847,mm/day,mm/day,,3,
,,mm/season,mm/season,,7,
millimeter per year,3849,mm/yr,((( null ))) mm /// mm/a,,1,
millimeter per year,3849,mm/yr,mm/a,,25196,
millimeter per year,3849,mm/yr,mm/yr,,2,
millimole per mole,1745,mmol/mol,mmol_mol,,29,
millimole per mole,1745,mmol/mol,mmol/mol,,347,
NA,,months/year,months/year,,14,
,,needsToBeChanged,[±],,1,
,,needsToBeChanged,0.5s,,1,
,,needsToBeChanged,1 sigma,,1,
,,needsToBeChanged,10-5,,1,
,,needsToBeChanged,10^-9 Am2/yr,,1,
,,needsToBeChanged,10^[-8] m3/kg,,1,
,,needsToBeChanged,1s,,2,
,,needsToBeChanged,1sigma,,1,
,,needsToBeChanged,a°,,1,
,,needsToBeChanged,a€°,,2,
,,needsToBeChanged,AfAE’A†a€™AfA¢A¢a€sA¬A…A¡AfAE’A¢a‚¬A¡Afa€sA‚Aug/g,,1,
,,needsToBeChanged,am2kg-1,,1,
,,needsToBeChanged,area,,1,
,,needsToBeChanged,Aug/cm2/ka,,1,
,,needsToBeChanged,cm2yr-1,,2,
,,needsToBeChanged,Floods per 30 years,,2,
,,needsToBeChanged,Floods per 30 yrs (200 yr running average),,2,
,,needsToBeChanged,gomcm2yr-1,,1,
,,needsToBeChanged,HU,,2,
,,needsToBeChanged,layers/200yrs,,2,
,,needsToBeChanged,mcm,,3,
,,needsToBeChanged,mwe,,3,
,,needsToBeChanged,square mm/cubic cm,,1,
,,needsToBeChanged,sum,,1,
,,needsToBeChanged,total,,1,
,,needsToBeChanged,unknown,,8,
nanogram,954,ng,ng/sample,,1,
nanogram per gram,3900,ng/g,nanogram/gram,,,
nanogram per gram,3900,ng/g,ng_g,,,
nanogram per gram,3900,ng/g,ng/g,,4,
nanogram per gram,3900,ng/g,ng/g sed,,6,
nanomole per gram,2401,nmol/g,nmol_g,,,
nanomole per gram,2401,nmol/g,nmol/g,,,
,,octal,octal unit,,,
peak area integral,1754,peak area,pa/kcps,,9,
peak area integral,1754,peak area,peak area,,11,
percent,145,percent,((( null ))) % /// percent,,25,
percent,145,percent,%,,42,
percent,145,percent,% abs,,3,
percent,145,percent,mol%,,2,
percent,145,percent,mole per mole * 100,,1,
percent,145,percent,percent,,333,
percent,145,percent,percent WRT 1982-2000,,25,
percent,145,percent,percent WRT 1982-2000,,25,
percent,145,percent,percentByWeight,,1,
percent,145,percent,Precent,,1,
percent,145,percent,wt %,,4,
per mil,142,permil,((( null ))) per mil /// permil,,79,
