paleoData_pastName,paleoData_pastId,lipdName,synonym,paleoData_datum,Freq,definition
per mil,142,permil,((( null ))) per mil /// unitless,,29,
per mil,142,permil,((( null ))) permil /// per mil,,1,
per mil,142,permil,((( null ))) permil /// unitless,,2,
per mil,142,permil,‰ PDB,,3,
per mil,142,permil,‰ SMOW,SMOW,1,
per mil,142,permil,+/- permil PDB,,2,
per mil,142,permil,+/- permil SMOW,,2,
per mil,142,permil,± permil,,2,
per mil,142,permil,1000*counts/counts,,1,
per mil,142,permil,d18O,,1,
per mil,142,permil,PDB,PDB,1,
per mil,142,permil,pemil,,1,
per mil,142,permil,per mil,,26,
per mil,142,permil,per mil (PDB),,17,
per mil,142,permil,per mil (VPDB),VPDB,23,
per mil,142,permil,per mil vs PDB,PDB,73,
per mil,142,permil,per mil vs VPDB,VPDB,23,
per mil,142,permil,per mil VSMOW,VSMOW,3,
per mil,142,permil,per mil VSMOW 1sig,,2,
per mil,142,permil,permil,,2803,
per mil,142,permil,permil (PBD),PDB,1,
per mil,142,permil,permil (PDB),PDB,12,
per mil,142,permil,"permil (SMOW, not PDB!)",VSMOW,1,
per mil,142,permil,permil (SMOW),SMOW,8,
per mil,142,permil,permil (VPDB),VPDB,6,
per mil,142,permil,permil (VSMOW),VSMOW,20,
per mil,142,permil,permil PDB,PDB,5,
per mil,142,permil,permil SMOW,SMOW,7,
per mil,142,permil,permil v pdb,PDB,1,
per mil,142,permil,permil VMOW,VSMOW,1,
per mil,142,permil,permil VPDB,VPDB,6,
per mil,142,permil,permil VPDB 1sig,VPDB,4,
per mil,142,permil,permil vs PDB,PDB,13,
per mil,142,permil,permil vs VPDB,VPDB,6,
per mil,142,permil,permil VSMOW,VSMOW,7,
per mil,142,permil,permil VSMOW 1sig,VSMOW,1,
per mil,142,permil,permit,,1,
per mil,142,permil,perml,,1,
acidity,773,pH,pH,,3,
,,phi,phi,,,
,,phi,phi,,,
parts per billion,144,ppb,ppb,,33,
parts per million,143,ppm,ppm,,5,
practical salinity unit,3897,practical salinity unit,psu,,14,
relative unit,4144,ratio,((( null ))) ratio /// unitless,,1,
relative unit,4144,ratio,(mg/kg)/(mg/kg),,2,
relative unit,4144,ratio,cps/cps,,2,
relative unit,4144,ratio,g/g,,3,
relative unit,4144,ratio,"grams/dry weight, sediment 130um",,2,
relative unit,4144,ratio,mm/m,,1,
relative unit,4144,ratio,mol_mol,,1,
relative unit,4144,ratio,mol/mol,,1,
relative unit,4144,ratio,R660_670,,1,
relative unit,4144,ratio,ratio,,18,
relative unit,4144,ratio,ratio cps,,2,
dimensionless (SI system),1251,SI,10^-6SI,,1,
dimensionless (SI system),1251,SI,dimensionless (SI),,1,
dimensionless (SI system),1251,SI,si,,1,
dimensionless (SI system),1251,SI,SI,,4,
dimensionless (SI system),1251,SI,SI 10^-5,,1,
microgram,251,ug,ug,,,
microgram per square centimeter per year,4400,ug/cm2/yr,ugcm-2yr-1,,1,
microgram per gram,1740,ug/g,[ug/g],,1,
microgram per gram,1740,ug/g,microg_g,,2,
microgram per gram,1740,ug/g,ug g-1 dw,,10,
microgram per gram,1740,ug/g,ug/g,,11,
microgram per gram,1740,ug/g,ug/g dry sed,,11,
microgram per gram,1740,ug/g,ug/g dry sediment,,26,
microgram per liter,,ug/L,micrograms/L,,4,
microgram per liter,,ug/L,ug/L,,4,
microgram per liter,,ug/L,ug/L,,4,
micrometer,126,um,um,,1,
micromole per mole,2407,umol/mol,umol/mol,,1,
dimensionless,622,unitless,0-10,,12,
dimensionless,622,unitless,absorbance units,,1,
dimensionless,622,unitless,dimensionless,,,
dimensionless,622,unitless,FTIRS absorbance units,,1,
dimensionless,622,unitless,index,,17,
dimensionless,622,unitless,NA,,1,
dimensionless,622,unitless,name,,1,
dimensionless,622,unitless,normalized anomaly,,12,
dimensionless,622,unitless,normalized anomaly,,12,
dimensionless,622,unitless,PC,,3,
dimensionless,622,unitless,standardized,,3,
dimensionless,622,unitless,type,,2,
dimensionless,622,unitless,UK37,,1,
dimensionless,622,unitless,unitless,,2677,
dimensionless,622,unitless,unitless (anomalies),,1,
dimensionless,622,unitless,unitless index,,694,
microsiemens per centimeter,1747,uS/cm,uS/cm,,,
year,273,year,year,,,
year,273,year,years,,,
year,273,year,years,,,
radiocarbon year before present,1288,yr 14C BP,14C yr BP,,3,
radiocarbon year before present,1288,yr 14C BP,bp14C,,2,
radiocarbon year before present,1288,yr 14C BP,C14yr BP,,1,
radiocarbon year before present,1288,yr 14C BP,radiocarbon years BP,1950,6,
radiocarbon year before present,1288,yr 14C BP,yr 14C BP,1950,182,
radiocarbon year before present,1288,yr 14C BP,yr 14C yr BP,1950,3,
year Common Era,132,yr AD,AD,,2122,
year Common Era,132,yr AD,ad/bc,,1,
year Common Era,132,yr AD,cal yr AD,,1,
year Common Era,132,yr AD,CE,,4,
year Common Era,132,yr AD,year A.D.,,1,
year Common Era,132,yr AD,year C.E.,,1,
year Common Era,132,yr AD,year ce,,4,
year Common Era,132,yr AD,year CE,,1,
year Common Era,132,yr AD,yr,,53,
year Common Era,132,yr AD,yr  AD,,1,
year Common Era,132,yr AD,yr ce,,1,
year Common Era,132,yr AD,yrad/bc,,1,
,,yr b2k,b2000,2000,3,
,,yr b2k,cal. BP2000,2000,1,
,,yr b2k,Years before 2k,2000,1,
calendar year before present,133,yr BP,age=1950-year,1950,1,
calendar year before present,133,yr BP,BP,1950,6409,
calendar year before present,133,yr BP,cal age BP,,1,
calendar year before present,133,yr BP,cal bp,,1,
calendar year before present,133,yr BP,cal year BP,,28,
calendar year before present,133,yr BP,cal year BP,,,
calendar year before present,133,yr BP,cal years BP,1950,513,
calendar year before present,133,yr BP,cal years BP,,,
calendar year before present,133,yr BP,cal yr B.P.,,2,
calendar year before present,133,yr BP,cal yr BP,,3,
calendar year before present,133,yr BP,cal yrs BP,,1,
calendar year before present,133,yr BP,Calibrated,,72,
calendar year before present,133,yr BP,year BP,1950,3,
calendar year before present,133,yr BP,years BP,1950,3,
calendar year before present,133,yr BP,yr B.P.,1950,3,
calendar year before present,133,yr BP,yr bo,1950,1,
calendar year before present,133,yr BP,yr BP,1950,10590,
calendar year before present,133,yr BP,yr P,1950,1,
calendar year before present,133,yr BP,yrs bp,1950,3,
calendar kiloyear before present,1702,yr ka,ka,,2,
calendar kiloyear before present,1702,yr ka,ka BP,,,
standard deviation unit,536,z score,sd,,4,
standard deviation unit,536,z score,SD,,1,
standard deviation unit,536,z score,SD units,,2,
standard deviation unit,536,z score,std dev,,2,
standard deviation unit,536,z score,zscore,,3,
