paleoData_pastName,paleoData_pastId,lipdName,synonym,invert_direction,definition
NA,,C3C4Ratio,composition C3-C4 plants,,
circulation index,2270,circulationIndex,MODE,,
circulation index,2270,circulationIndex,NAO index,,
circulation index,2270,circulationIndex,PDO,,
circulation variable,4885,circulationVariable,atmospheric circulation,,
circulation variable,4885,circulationVariable,changes in monsoon intensity.,,
circulation variable,4885,circulationVariable,circulation,,
circulation variable,4885,circulationVariable,Circulation,,
circulation variable,4885,circulationVariable,Monsoon strength,,
,,cloudiness,CloudCover,,
,,cloudiness,cloudiness,,
NA,,deleteMe,anoxia,,
NA,,deleteMe,Carbonate_ion_concentration,,
,,deleteMe,export-productivity,,
NA,,deleteMe,GDGT,,
,,deleteMe,Liso/P-E,,
NA,,deleteMe,mixed,,
NA,,deleteMe,Mixed,,
NA,,deleteMe,NaN,,
,,deleteMe,organic matter source,,
NA,,deleteMe,plant community composition,,
NA,,deleteMe,precipitation d2H + evap,,
NA,,deleteMe,T+ELA,,
NA,,deleteMe,tree ring width,,
NA,,deleteMe,tree ring width,,
dissolved oxygen,4766,dissolvedOxygen,suboxia,,
dust,867,dust,Dust,,
dust,867,dust,DUST,,
precipitation minus evaporation,2312,effectivePrecipitation,E/P,TRUE,
precipitation minus evaporation,2312,effectivePrecipitation,Effective Moisture,,
precipitation minus evaporation,2312,effectivePrecipitation,M,,
precipitation minus evaporation,2312,effectivePrecipitation,P_E,,
precipitation minus evaporation,2312,effectivePrecipitation,P-E,,
precipitation minus evaporation,2312,effectivePrecipitation,P/E,,
precipitation minus evaporation,2312,effectivePrecipitation,P=E,,
precipitation minus evaporation,2312,effectivePrecipitation,PDSI,,
equilibrium line altitude,2303,ELA,ELA,,
evaporation,4733,evaporation,evaporation,,
evaporation,4733,evaporation,Evaporation,,
fire history,115,fire,FIRE,,
NA,,groundWaterIsotope,G_isotope,,
growing degree days,1386,growingDegreeDays,GDD,,
NA,,hydrologicBalance,GW-E,,
NA,,hydrologicBalance,Hydrology,,
NA,,hydrologicBalance,I_E,,
NA,,lakeWaterIsotope,lake water and precipitation d2H,,
NA,,lakeWaterIsotope,lake water d18O,,
NA,,lakeWaterIsotope,lake water d2H,,
,,lakeWaterIsotope,Liso,,
ice melt,4951,meltwater,Meltwater,,
precipitation,560,precipitation,Mean Annual Precipitation,,
precipitation,560,precipitation,P,,
precipitation,560,precipitation,P_amount,,
precipitation,560,precipitation,Pmax,,
precipitation,560,precipitation,Pmin,,
precipitation,560,precipitation,Precipitation amount,,
NA,,precipitationDeuteriumExcess,precipitation d-excess,,
NA,,precipitationIsotope,?18O.precipitation,,
NA,,precipitationIsotope,d18O of precipitation,,
NA,,precipitationIsotope,d18O precipitation,,
NA,,precipitationIsotope,d18Op,,
NA,,precipitationIsotope,dD,,
NA,,precipitationIsotope,P_isotope,,
NA,,precipitationIsotope,Piso,,
NA,,precipitationIsotope,PISO,,
NA,,precipitationIsotope,precipitation d18O,,
NA,,precipitationIsotope,precipitation d2H,,
NA,,precipitationIsotope,Precipitation Isotope,,
NA,,precipitationIsotope,Precipitation source,,
NA,,precipitationIsotope,rainfall d2H,,
NA,,precipitationIsotope,Source,,
NA,,precipitationIsotope,source region,,
productivity,3293,productivity,Algal productivity,,
productivity,3293,productivity,productivity,,
relative humidity,2314,relativeHumidity,relative humidity,,
relative humidity,2314,relativeHumidity,RH,,
relative sea level,2316,relativeSeaLevel,sea level,,
salinity,4396,salinity,S,,
salinity,4396,salinity,salinity,,
salinity,4396,salinity,SSS,,
sea ice cover,2317,seaIce,ICE,,
sea ice cover,2317,seaIce,sea ice,,
seasonality,5,seasonality,seasonality,,
NA,,seawaterIsotope,d18O_seawater,,
NA,,seawaterIsotope,seawater_isotope,,
soil moisture,4911,soilMoisture,soil moisture,,
soil moisture,4911,soilMoisture,soil moisture,,
streamflow,1396,streamflow,Q,,
solar irradiance,4376,sunlight,SUN,,
surface pressure,4720,surfacePressure,surface pressure,,
temperature,4067,temperature,air temperature,,
temperature,4067,temperature,lake water temperature,,
temperature,4067,temperature,SST,,
temperature,4067,temperature,subT,,
temperature,4067,temperature,Surface water temp,,
temperature,4067,temperature,T,,
temperature,4067,temperature,T_air,,
temperature,4067,temperature,T_lake,,
temperature,4067,temperature,T_water,,
temperature,4067,temperature,temperature,,
temperature,4067,temperature,temperature and salinity,,
temperature,4067,temperature,Temperature_water,,
temperature,4067,temperature,temperature/d18Osw,,
Upwelling Index,4771,upwelling,upwelling,,
wind speed,3413,windSpeed,W,,
wind speed,3413,windSpeed,Wind,,
