paleoData_pastName,paleoData_pastId,lipdName,synonym,paleoData_proxyGeneral,paleoData_measurementMaterial,definition
10Be,835,10Be,10Be,isotopic,,
143Nd/144Nd,1308,143Nd/144Nd,,isotopic,,
231Pa/230Th,2436,231Pa/230Th,,isotopic,,
,,accumulation rate,sed accumulation,stratigraphy,,
average chain length,4170,ACL,ACL,biomarker,,
aluminum/calcium,2409,Al/Ca,Al/Ca,elemental,,
,,Al/Si,Al/Si,elemental,,
,,Al/Si,AlSi,elemental,,
aluminum oxide,305,Al2O3,Al2O3,mineral,,
alkenone,2485,alkenone,alkenone,biomarker,,
alkenone,2485,alkenone,Alkenone,biomarker,,
testate amoeba,3577,amoeba,amoeba,faunal assemblage,,
Barium/Aluminum,2410,Ba/Al,Ba/Al,elemental,,
barium/calcium,317,Ba/Ca,Ba/Ca,elemental,,
barium/calcium,317,Ba/Ca,BaCa,elemental,,
,,Ba/Sr,Ba/Sr,elemental,,
,,biomarker,C15 fatty alcohols,biomarker,,
,,biomarker,C37.concentration,biomarker,,
,,biomarker,Cren,biomarker,,
,,biomarker,Cren,biomarker,,
,,biomarker,cren',biomarker,,
,,biomarker,cren',biomarker,,
,,biomarker,Cren/cren',biomarker,,
,,biomarker,Cren/cren',biomarker,,
,,biomarker,dinoflagellate biomarker,biomarker,,
,,biomarker,dinoflagellate biomarker,biomarker,,
,,biomarker,MethaneIndex,biomarker,,
,,biomarker,MethaneIndex,biomarker,,
branched and isoprenoid tetraether index,1676,BIT,BITindex,biomarker,,
borehole,114,borehole,borehole,borehole,,
biogenic silica,4018,BSi,BSi,biogenic,,
,,bubble frequency,bubble frequency,cryophysical,,
,,bulk density,bulk density,sedimentology,,
,,bulk density,gamma,sedimentology,,
dry sediment,1502,bulk sediment,bulk sediment,sedimentology,,
dry sediment,1502,bulk sediment,BulkSed,sedimentology,,
carbon/nitrogen,750,C/N,C/N,elemental,,
calcium,848,Ca,Ca,elemental,,
calcium/potassium,3783,Ca/K,Ca/K,elemental,,
,,Ca/Mg,Ca/Mg,elemental,,
calcium/titanium,1635,Ca/Ti,Ca/Ti,elemental,,
calcium carbonate,1515,CaCO3,CaCO3,mineral,,
calcification rate,756,calcification rate,calcification,mineral,,
calcification rate,756,calcification rate,calcification rate,mineral,,
calcite,482,calcite,calcite,mineral,,
carbonate,692,carbonate,authigenic carbonate,mineral,,
carbonate,692,carbonate,Carbonate content,mineral,,
cyclization index of branched tetraethers,1678,CBT,CBT,biomarker,,
cellulose,689,cellulose,cellulose,biogenic,,
charcoal,630,charcoal,charcoal,pyrogenic,,
midge,1571,chironomid,chironomid,faunal assemblage,,
midge,1571,chironomid,Chironomid,faunal assemblage,,
midge,1571,chironomid,midge,faunal assemblage,,
chlorophyll,1615,chlorophyll,chlorophyll,biogenic,,
chrysophyte assemblage,4080,chrysophyte assemblage,chrysophyte,floral assemblage,,
,,CIA,Chemical Index of Alteration,,,
,,CIA,CIA,,,
cladoceran,3587,cladoceran,Cladocera,faunal assemblage,,
coccolithophore,3250,coccolithophore,coccolith,floral assemblage,,
delta 13C,320,d13C,d13C,isotopic,,
delta 13C,320,d13C,d13Cwax,isotopic,leaf wax,
delta 15N,322,d15N,d15N,isotopic,,
,,d15N/d40Ar,15N/40Ar fractionation,isotopic,,
,,d15N/d40Ar,d15Nd40Ar,isotopic,,
delta 18O,323,d18O,cellulose d18O,isotopic,cellulose,
delta 18O,323,d18O,d18O,isotopic,,
delta 18O,323,d18O,delta18O,isotopic,,
delta 18O,323,d18O,foram d18O,isotopic,foraminifera,
delta 2H,324,dD,d2H,isotopic,,
delta 2H,324,dD,dD,isotopic,,
delta 2H,324,dD,dDwax,isotopic,leaf wax,
delta 2H,324,dD,leaf wax,isotopic,leaf wax,
delta 2H,324,dD,leafWax,isotopic,leaf wax,
delta 2H,324,dD,LeafWax,isotopic,leaf wax,
,,deleteMe,((( calcium carbonate ))) accumulation /// null,,,
,,deleteMe,3-OH-Fatty Acids,,,
,,deleteMe,Age,,,
,,deleteMe,CAS,,,
,,deleteMe,coral,,,
,,deleteMe,element,,,
,,deleteMe,Element Ratio,,,
,,deleteMe,ice,,,
,,deleteMe,isotope,,,
,,deleteMe,isotope diffusion,,,
,,deleteMe,MG0,,,
,,deleteMe,middle-wood cellulose,,,
,,deleteMe,mineral,,,
,,deleteMe,mineralogy,,,
,,deleteMe,PCA,,,
,,deleteMe,percent,,,
,,deleteMe,sediment,,,
,,deleteMe,Sediment,,,
,,deleteMe,TDS,,,
,,deleteMe,trace element / CA,,,
,,deleteMe,TraceElement,,,
,,deleteMe,u Cluster 2,,,
,,deleteMe,,,,
deuterium excess,1426,deuterium excess,deterium excess,isotopic,,
deuterium excess,1426,deuterium excess,dx,isotopic,,
diatom,1601,diatom,diatom,floral assemblage,,
dinoflagellate,4532,dinocyst,dinocyst,faunal assemblage,,
dinoflagellate,4532,dinocyst,dynocist MAT,faunal assemblage,,
dolomite,990,dolomite,CaMg(CO3)2,mineral,,
,,dry bulk density,DBD,sedimentology,,
,,Eu/Zr,Eu/Zr,elemental,,
iron,285,Fe,Fe,elemental,,
iron/aluminum,2416,Fe/Al,Fe/Al,elemental,,
,,Fe/Ca,Fe/Ca,elemental,,
,,Fe/Ca,FeCa,elemental,,
iron/potassium,3785,Fe/K,Fe/K,elemental,,
iron/manganese,1638,Fe/Mn,Fe/Mn,elemental,,
foraminifer,2500,foraminifera,benthic foraminifers,faunal assemblage,,
foraminifer,2500,foraminifera,foraminifer,faunal assemblage,,
foraminifer,2500,foraminifera,foraminifera,faunal assemblage,,
foraminifer,2500,foraminifera,G. bulloides,faunal assemblage,,
foraminifer,2500,foraminifera,N. dutertrei,faunal assemblage,,
foraminifer,2500,foraminifera,planktonic foraminifera,faunal assemblage,,
foraminifer,2500,foraminifera,"planktonic foraminifera, transfer function",faunal assemblage,,
foraminifer,2500,foraminifera,Uvigerina mediterranea,faunal assemblage,,
glycerol dialkyl glycerol tetraether,1680,GDGT,brGDGT,biomarker,,
glycerol dialkyl glycerol tetraether,1680,GDGT,GDGT,biomarker,,
grain size,1233,grain size,particle size,sedimentology,,
grayscale,548,grayscale,grayscale,,,
highly-branched isoprenoid alkene,2283,HBI,HBI,biomarker,,
historical,3460,historical,Documentary,historical,,
historical,3460,historical,historic,historical,,
humification index,2129,humification,humification,sedimentology,,
,,ice accumulation,ice accumulation,cryophysical,,
,,ice accumulation,Ice Accumulation,cryophysical,,
ice melt,4951,ice melt,ice melt,cryophysical,,
ice melt,4951,ice melt,melt,cryophysical,,
ice melt,4951,ice melt,melt layer,cryophysical,,
inorganic carbon,996,inorganic carbon,TIC,mineral,,
ice proxy with 25 carbon atoms,2493,IP25,IP25,biomarker,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT,,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT,,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT-1,,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT-1,,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT-2,,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT-2,,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT-3,,,
isoprenoid glycerol dialkyl glycerol tetraether,1681,isoGDGT,isoGDGT-3,,,
potassium/aluminum,2422,K/Al,K/Al,elemental,,
lake level,2137,lake level,lake level,stratigraphy,,
lake level,2137,lake level,Lake stratigraphy and radiocarbon dating of macrofossils,stratigraphy,,
lake level,2137,lake level,lakelevel,stratigraphy,,
lake level,2137,lake level,lakeLevel,stratigraphy,,
lake level,2137,lake level,LakeStatus,stratigraphy,,
latewood cellulose,1589,latewood cellulose,late-wood cellulose,biogenic,wood,
latewood cellulose,1589,latewood cellulose,latewood cellulose,biogenic,wood,
latewood width,1576,latewood width,latewood width,,,
latewood width,1576,latewood width,latewood width,,,
long-chain diol index,5705,LDI,LDI,biomarker,,
long-chain diol index,5705,LDI,long chain diol,biomarker,,
plant macrofossils,4595,macrofossils,macrofossils,biogenic,,
,,magnetic,ARM/IRM,sedimentology,,
,,magnetic,IRM,sedimentology,,
magnetic susceptibility,1793,magnetic susceptibility,Magnetic Susceptibility,sedimentology,,
magnetic susceptibility,1793,magnetic susceptibility,MS,sedimentology,,
mass per area per time unit,4704,mass accumulation rate,MAR,sedimentology,,
latewood density,1573,maximum latewood density,delta Density,dendrophysical,,
latewood density,1573,maximum latewood density,MXD,dendrophysical,,
magnesium,891,Mg,Mg,elemental,,
magnesium/calcium,327,Mg/Ca,foram Mg/Ca,elemental,foraminifera,
magnesium/calcium,327,Mg/Ca,Foram Mg/Ca,elemental,foraminifera,
magnesium/calcium,327,Mg/Ca,Mg/Ca,elemental,,
magnesium/calcium,327,Mg/Ca,MgCa,elemental,,
manganese/iron,1013,Mn/Fe,MnFe,elemental,,
manganese/titanium,1640,Mn/Ti,MnTi,elemental,,
multiple proxies,3630,multiproxy,hybrid,multiproxy,,
multiple proxies,3630,multiproxy,Hybrid Grain Size,multiproxy,,
multiple proxies,3630,multiproxy,hybrid-ice,multiproxy,,
multiple proxies,3630,multiproxy,hybrid-lake,multiproxy,,
