paleoData_pastName,paleoData_pastId,lipdName,synonym,paleoData_proxyGeneral,paleoData_measurementMaterial,definition
multiple proxies,3630,multiproxy,pore ice d2H and d18O,isotopic,ice,
multiple proxies,3630,multiproxy,"Ti,Ca,K",elemental,,
n-alkane,2246,n-alkane,n-alkane,biomarker,,
neodymium,288,Nd,neodymium,elemental,,
,,needsToBeChanged,needsToBeChanged,,,
,,needsToBeChanged,needsToBeChanged,,,
,,organicNitrogen,organicNitrogen,,,
ostracod,1002,ostracod,ostracod,faunal assemblage,,
P-aqueous,1000103,P-aqueous,Paq,biomarker,,
,,peat ash,peat ash,mineral,,
pH,569,pH,pH,elemental,,
pollen,5578,pollen,aquatic palynomorphs,floral assemblage,,
pollen,5578,pollen,pollen,floral assemblage,,
radiolarian,2796,radiolaria,radiolaria,faunal assemblage,,
rubidium,913,Rb,Rb,elemental,,
,,Rb/Sr,Rb/Sr,elemental,,
reflectance,1005,reflectance,reflectance,reflectance,,
,,RIAN,RIAN,biomarker,,
ring width,3639,ring width,Tree ring,dendrophysical,,
ring width,3639,ring width,Tree ring,dendrophysical,,
ring width,3639,ring width,Tree Ring,dendrophysical,,
ring width,3639,ring width,Tree Ring,dendrophysical,,
ring width,3639,ring width,tree ring width,dendrophysical,,
ring width,3639,ring width,tree ring width,dendrophysical,,
ring width,3639,ring width,Tree ring width,dendrophysical,,
ring width,3639,ring width,Tree ring width,dendrophysical,,
ring width,3639,ring width,Tree-ring width,dendrophysical,,
ring width,3639,ring width,Tree-ring width,dendrophysical,,
ring width,3639,ring width,TRW,dendrophysical,,
sedimentation rate,1007,sedimentation rate,Sedimentation rate,sedimentology,,
strontium,290,Sr,Sr,elemental,,
strontium/calcium,328,Sr/Ca,Ca/Sr,elemental,,
strontium/calcium,328,Sr/Ca,Coral Sr/Ca,elemental,coral,
strontium/calcium,328,Sr/Ca,Sr/Ca,elemental,,
strontium/calcium,328,Sr/Ca,SrCa,elemental,,
,,stratigraphy,Minerogenic layers,stratigraphy,,
,,stratigraphy,Plant detrital layers,stratigraphy,,
,,stratigraphy,stratigraphy,stratigraphy,,
,,stratigraphy,Stratigraphy,stratigraphy,,
sulfur,902,sulfur,S,elemental,,
tetraether index of 86 carbon atoms,1599,TEX86,TEX86,biomarker,,
titanium,292,Ti,Ti,elemental,,
titanium/aluminum,3687,Ti/Al,Ti/Al,elemental,,
titanium/calcium,2426,Ti/Ca,ln(ti/ca),elemental,,
titanium/calcium,2426,Ti/Ca,Ti/Ca,elemental,,
titanium/calcium,2426,Ti/Ca,Ti/CA,elemental,,
titanium/calcium,2426,Ti/Ca,TiCa,elemental,,
organic carbon,995,TOC,LOI,biogenic,,
organic carbon,995,TOC,organicCarbon,biogenic,,
organic carbon,995,TOC,TOC,biogenic,,
,,total nitrogen,TN,elemental,,
varve thickness,1630,varve thickness,varve,stratigraphy,,
varve thickness,1630,varve thickness,Varve,stratigraphy,,
varve thickness,1630,varve thickness,varve property,stratigraphy,,
varve thickness,1630,varve thickness,varve thickness,stratigraphy,,
varve thickness,1630,varve thickness,varves,stratigraphy,,
