qc_name,ts_name,family,role,ownership,nullable_by_curator,cardinality,type,vocab_key,canonical,csm_compilation,csm_field,csm_flat_key,deprecated,n_compilations,n_filled
archiveType,archiveType,archiveType,merged,shared,FALSE,dataset,character,archiveType,,,,,FALSE,18,297030
geo_elevation,,geo_elevation,merged,shared,FALSE,,,,,,,,FALSE,18,290025
geo_latitude,,geo_latitude,merged,shared,FALSE,,,,,,,,FALSE,18,297030
geo_longitude,,geo_longitude,merged,shared,FALSE,,,,,,,,FALSE,18,297030
geo_siteName,,geo_siteName,merged,shared,FALSE,,,,,,,,FALSE,18,296967
inCompilationBeta_struct,,inCompilationBeta_struct,merged,machine,FALSE,,,,,,,,FALSE,18,34287
maxYear,maxYear,maxYear,merged,machine,FALSE,timeseries,numeric,,,,,,FALSE,18,287977
minYear,minYear,minYear,merged,machine,FALSE,timeseries,numeric,,,,,,FALSE,18,287977
paleoData_units,,paleoData_units,merged,shared,FALSE,,,units,,,,,FALSE,18,292859
paleoData_variableName,,paleoData_variableName,merged,shared,FALSE,,,variableName,,,,,FALSE,18,297030
pub1_doi,pub1_doi,pub*_doi,merged,shared,FALSE,dataset,character,,,,,,FALSE,18,279566
pub2_doi,pub2_doi,pub*_doi,merged,shared,FALSE,dataset,character,,,,,,FALSE,18,243452
lipdverseLink,,lipdverseLink,merged,machine,FALSE,,,,,,,,FALSE,17,230266
originalDataUrl,originalDataUrl,originalDataUrl,merged,shared,FALSE,dataset,character,,,,,,FALSE,17,282178
climateInterpretation1_variable,,climateInterpretation*_variable,merged,curator,FALSE,,,,,,,,FALSE,16,211446
paleoData_proxy,,paleoData_proxy,merged,shared,FALSE,,,proxy,,,,,FALSE,16,214866
climateInterpretation1_direction,,climateInterpretation*_direction,merged,curator,FALSE,,,,,,,,FALSE,15,211038
climateInterpretation1_seasonality,,climateInterpretation*_seasonality,merged,curator,FALSE,,,,,,,,FALSE,15,207714
paleoData_notes,,paleoData_notes,merged,curator,TRUE,,,,,,,,FALSE,15,173329
climateInterpretation1_variableDetail,,climateInterpretation*_variableDetail,merged,curator,FALSE,,,,,,,,FALSE,14,155899
createdBy,createdBy,createdBy,merged,machine,FALSE,dataset,character,,,,,,FALSE,13,220216
paleoData_datum,,paleoData_datum,merged,shared,FALSE,,,,,,,,FALSE,13,232663
